Lot_ID,Wafer_ID,Yield,Total,Pass,Bin3,Bin4,Bin6,Bin7,Bin8,Bin9
FA54-5340-325A-250502@203,3,99.30%,142,141,0,0,0,1,0,0
FA54-5340-325A-250502@203,4,98.59%,142,140,0,1,0,1,0,0
FA54-5340-325A-250502@203,5,100.00%,142,142,0,0,0,0,0,0
FA54-5340-325A-250502@203,6,97.89%,142,139,2,0,1,0,0,0
FA54-5340-325A-250502@203,7,97.18%,142,138,4,0,0,0,0,0
FA54-5340-325A-250502@203,8,98.59%,142,140,1,0,0,1,0,0
FA54-5340-325A-250502@203,9,99.30%,142,141,0,0,0,1,0,0
FA54-5340-325A-250502@203,10,100.00%,142,142,0,0,0,0,0,0
FA54-5340-325A-250502@203,11,99.30%,142,141,1,0,0,0,0,0
FA54-5340-325A-250502@203,12,97.89%,142,139,3,0,0,0,0,0
FA54-5340-325A-250502@203,13,99.30%,142,141,0,0,0,1,0,0
FA54-5340-325A-250502@203,14,99.30%,142,141,0,0,1,0,0,0
FA54-5340-325A-250502@203,15,98.59%,142,140,1,0,0,1,0,0
FA54-5340-325A-250502@203,16,98.59%,142,140,1,1,0,0,0,0
FA54-5340-325A-250502@203,17,97.18%,142,138,1,0,0,3,0,0
FA54-5340-325A-250502@203,18,98.59%,142,140,1,0,0,0,0,1
FA54-5340-325A-250502@203,19,96.48%,142,137,3,1,0,1,0,0
FA54-5340-325A-250502@203,20,97.18%,142,138,3,0,0,0,0,0
FA54-5340-325A-250502@203,21,99.30%,142,141,0,0,0,1,0,0
FA54-5340-325A-250502@203,22,97.18%,142,138,1,2,0,0,0,1
FA54-5340-325A-250502@203,23,99.30%,142,141,1,0,0,0,0,0
FA54-5340-325A-250502@203,24,97.18%,142,138,4,0,0,0,0,0
FA54-5340-325A-250502@203,25,97.18%,142,138,3,1,0,0,0,0
FA54-5341-327A-250430@203,1,98.59%,142,140,2,0,0,0,0,0
FA54-5341-327A-250430@203,2,100.00%,142,142,0,0,0,0,0,0
FA54-5341-327A-250430@203,3,100.00%,142,142,0,0,0,0,0,0
FA54-5341-327A-250430@203,4,98.59%,142,140,2,0,0,0,0,0
FA54-5341-327A-250430@203,5,98.59%,142,140,1,0,0,0,0,0
FA54-5341-327A-250430@203,6,97.89%,142,139,2,0,0,0,0,0
FA54-5341-327A-250430@203,7,99.30%,142,141,0,1,0,0,0,0
FA54-5341-327A-250430@203,8,98.59%,142,140,0,0,1,0,0,0
FA54-5341-327A-250430@203,9,100.00%,142,142,0,0,0,0,0,0
FA54-5341-327A-250430@203,10,98.59%,142,140,1,0,0,0,1,0
FA54-5341-327A-250430@203,11,100.00%,142,142,0,0,0,0,0,0
FA54-5341-327A-250430@203,12,100.00%,142,142,0,0,0,0,0,0
FA54-5341-327A-250430@203,13,98.59%,142,140,1,0,0,0,0,1
FA54-5341-327A-250430@203,14,99.30%,142,141,1,0,0,0,0,0
FA54-5341-327A-250430@203,15,100.00%,142,142,0,0,0,0,0,0
FA54-5341-327A-250430@203,16,100.00%,142,142,0,0,0,0,0,0
FA54-5341-327A-250430@203,17,98.59%,142,140,1,0,0,0,0,1
FA54-5341-327A-250430@203,18,99.30%,142,141,1,0,0,0,0,0
FA54-5341-327A-250430@203,19,97.89%,142,139,3,0,0,0,0,0
FA54-5341-327A-250501@203,20,100.00%,142,142,0,0,0,0,0,0
FA54-5341-327A-250501@203,21,99.30%,142,141,1,0,0,0,0,0
FA54-5341-327A-250501@203,22,99.30%,142,141,1,0,0,0,0,0
FA54-5341-327A-250501@203,23,99.30%,142,141,1,0,0,0,0,0
FA54-5341-327A-250501@203,24,100.00%,142,142,0,0,0,0,0,0
FA54-5341-327A-250501@203,25,97.89%,142,139,1,2,0,0,0,0
FA54-5342-325A-250501@203,1,97.89%,142,139,3,0,0,0,0,0
FA54-5342-325A-250501@203,2,97.89%,142,139,2,1,0,0,0,0
FA54-5342-325A-250501@203,3,96.48%,142,137,1,2,0,0,0,2
FA54-5342-325A-250501@203,4,98.59%,142,140,2,0,0,0,0,0
FA54-5342-325A-250501@203,5,97.89%,142,139,1,1,1,0,0,0
FA54-5342-325A-250501@203,6,97.89%,142,139,3,0,0,0,0,0
FA54-5342-325A-250501@203,7,99.30%,142,141,1,0,0,0,0,0
FA54-5342-325A-250501@203,8,99.30%,142,141,0,0,0,0,1,0
FA54-5342-325A-250501@203,9,98.59%,142,140,2,0,0,0,0,0
FA54-5342-325A-250501@203,10,100.00%,142,142,0,0,0,0,0,0
FA54-5342-325A-250501@203,11,96.48%,142,137,3,0,1,0,0,0
FA54-5342-325A-250501@203,12,98.59%,142,140,2,0,0,0,0,0
FA54-5342-325A-250501@203,13,97.89%,142,139,1,0,2,0,0,0
FA54-5342-325A-250501@203,14,97.18%,142,138,3,1,0,0,0,0
FA54-5342-325A-250501@203,15,97.18%,142,138,3,0,0,1,0,0
FA54-5342-325A-250501@203,16,99.30%,142,141,0,1,0,0,0,0
FA54-5342-325A-250501@203,17,100.00%,142,142,0,0,0,0,0,0
FA54-5342-325A-250501@203,18,99.30%,142,141,1,0,0,0,0,0
FA54-5342-325A-250501@203,19,97.89%,142,139,1,1,0,1,0,0
FA54-5342-325A-250501@203,20,99.30%,142,141,1,0,0,0,0,0
FA54-5342-325A-250501@203,21,98.59%,142,140,2,0,0,0,0,0
FA54-5342-325A-250501@203,22,97.18%,142,138,4,0,0,0,0,0
FA54-5342-325A-250501@203,23,100.00%,142,142,0,0,0,0,0,0
FA54-5342-325A-250501@203,24,98.59%,142,140,1,1,0,0,0,0
FA54-5342-325A-250501@203,25,97.18%,142,138,1,3,0,0,0,0
ALL,ALL,98.68%,14200,14013,116,27,10,15,2,8
