,No.U,CONT,IGSS0,IGSS1,IGSSR1,VTH,BVDSS1,BVDSS2,IDSS1,IDSS2,IGSS2,IGSSR2,Wafer_ID,Seq,X,Y,Bin,Lot_ID
54,10.0,0.0,3e-10,2.8e-09,3.256,130.7,130.9,8.9e-09,1.49e-08,2.5e-09,4.5e-09,,1,55,11,1,1.0,FA54-5339-327A-250501@203
55,11.0,1e-08,2.3e-09,4.6e-09,3.232,130.3,130.6,9.1e-09,1.38e-08,3.9e-09,1.4e-09,,1,56,11,1,1.0,FA54-5339-327A-250501@203
56,12.0,0.0,1.5e-09,1e-09,3.272,130.2,130.6,7.6e-09,1.47e-08,7.5e-09,4.2e-09,,1,57,11,1,1.0,FA54-5339-327A-250501@203
57,13.0,1e-08,1.6e-09,3.9e-09,3.318,130.6,130.8,9.5e-09,1.44e-08,4.3e-09,2.6e-09,,1,58,11,1,1.0,FA54-5339-327A-250501@203
58,14.0,0.0,1.4e-09,2.6e-09,3.238,130.5,130.7,8.9e-09,1.64e-08,4.3e-09,2.5e-09,,1,59,11,1,1.0,FA54-5339-327A-250501@203
59,15.0,1e-08,1.6e-09,1.7e-09,3.243,130.2,130.3,8.7e-09,1.6e-08,6.5e-09,3.4e-09,,1,60,11,1,1.0,FA54-5339-327A-250501@203
60,16.0,0.0,1.3e-09,4.1e-09,3.254,130.2,130.4,9.2e-09,1.62e-08,4.8e-09,3.7e-09,,1,61,11,1,1.0,FA54-5339-327A-250501@203
61,17.0,0.0,1.2e-09,2.1e-09,3.243,130.2,130.5,8.5e-09,1.61e-08,4.4e-09,5e-09,,1,62,11,1,1.0,FA54-5339-327A-250501@203
62,17.0,0.0,2.6e-09,1e-09,3.243,130.2,130.4,8.4e-09,1.73e-08,1.9e-09,5e-10,,1,63,12,1,1.0,FA54-5339-327A-250501@203
63,16.0,1e-08,1.5e-09,6e-09,3.216,130.0,130.3,8.5e-09,1.71e-08,1.1e-09,1.4e-09,,1,64,12,1,1.0,FA54-5339-327A-250501@203
64,15.0,1e-08,1.3e-09,4.9e-09,3.179,129.9,130.1,9.8e-09,1.69e-08,5.8e-09,4.4e-09,,1,65,12,1,1.0,FA54-5339-327A-250501@203
65,14.0,0.0,1.3e-09,6e-10,3.233,130.5,130.7,9.5e-09,1.51e-08,4.1e-09,5.5e-09,,1,66,12,1,1.0,FA54-5339-327A-250501@203
66,13.0,0.0,2.7e-09,4e-10,3.351,130.1,130.3,9.2e-09,1.62e-08,0.0,3.3e-09,,1,67,12,1,1.0,FA54-5339-327A-250501@203
67,12.0,1e-08,2e-09,3e-09,3.257,129.4,129.7,9.7e-09,1.65e-08,6.1e-09,2.5e-09,,1,68,12,1,1.0,FA54-5339-327A-250501@203
68,11.0,0.0,6e-10,2e-10,3.269,129.5,129.8,9.2e-09,1.51e-08,2.4e-09,2.7e-09,,1,69,12,1,1.0,FA54-5339-327A-250501@203
69,10.0,0.0,1.8e-09,1.2e-09,3.207,130.5,130.7,9e-09,1.59e-08,5e-10,5e-10,,1,70,12,1,1.0,FA54-5339-327A-250501@203
70,9.0,0.0,7e-10,1.8e-09,3.219,130.9,131.2,8.7e-09,1.48e-08,6.5e-09,1.1e-09,,1,71,12,1,1.0,FA54-5339-327A-250501@203
71,8.0,0.0,3.2e-09,3.4e-09,3.28,130.5,130.7,9.3e-09,1.41e-08,3.9e-09,5.5e-09,,1,72,12,1,1.0,FA54-5339-327A-250501@203
72,7.0,0.0,3.7e-09,5.3e-09,3.163,130.7,130.9,8.2e-09,1.56e-08,1.4e-09,4e-09,,1,73,12,1,1.0,FA54-5339-327A-250501@203
73,6.0,0.0,6e-10,2.9e-09,3.164,130.8,130.9,6.9e-09,1.57e-08,4.8e-09,4e-10,,1,74,12,1,1.0,FA54-5339-327A-250501@203
74,5.0,1e-08,7e-10,1.5e-09,3.139,129.6,130.0,8.7e-09,1.66e-08,1.4e-09,8e-10,,1,75,12,1,1.0,FA54-5339-327A-250501@203
75,5.0,1e-08,3e-10,2.4e-09,3.164,129.3,129.7,8.4e-09,1.76e-08,3.6e-09,6.4e-09,,1,76,13,1,1.0,FA54-5339-327A-250501@203
76,6.0,1e-08,2.8e-09,1.4e-09,3.174,130.7,130.9,7.6e-09,1.55e-08,1.7e-09,2.5e-09,,1,77,13,1,1.0,FA54-5339-327A-250501@203
77,7.0,0.0,1.5e-09,5.6e-09,3.175,130.7,130.9,8.4e-09,1.45e-08,4.6e-09,2.2e-09,,1,78,13,1,1.0,FA54-5339-327A-250501@203
78,8.0,0.0,5e-10,4.3e-09,3.271,130.5,130.7,8.4e-09,1.54e-08,3.2e-09,5.4e-09,,1,79,13,1,1.0,FA54-5339-327A-250501@203
79,9.0,0.0,2e-10,1.6e-09,3.253,130.9,131.1,8e-09,1.41e-08,3.6e-09,3.8e-09,,1,80,13,1,1.0,FA54-5339-327A-250501@203
80,10.0,1e-08,1.8e-09,5.3e-09,3.191,130.4,130.7,1e-08,1.45e-08,4.5e-09,3.5e-09,,1,81,13,1,1.0,FA54-5339-327A-250501@203
81,11.0,0.0,2.1e-09,2.7e-09,3.247,129.5,129.9,9.1e-09,1.69e-08,4.9e-09,2.1e-09,,1,82,13,1,1.0,FA54-5339-327A-250501@203
82,12.0,0.0,3.1e-09,4e-10,3.271,129.6,129.8,8.2e-09,1.63e-08,8.1e-09,4e-09,,1,83,13,1,1.0,FA54-5339-327A-250501@203
83,13.0,1e-08,2.1e-09,3.8e-09,3.33,130.1,130.3,9e-09,1.43e-08,4.7e-09,6.9e-09,,1,84,13,1,1.0,FA54-5339-327A-250501@203
84,14.0,2e-08,4.2e-09,2.8e-09,3.171,130.4,130.6,8.2e-09,1.61e-08,2.1e-09,3.2e-09,,1,85,13,1,1.0,FA54-5339-327A-250501@203
85,15.0,0.0,1.5e-09,4e-09,3.175,129.6,129.9,9e-09,1.77e-08,4.3e-09,2.3e-09,,1,86,13,1,1.0,FA54-5339-327A-250501@203
86,16.0,1e-08,4.3e-09,1e-09,3.215,129.9,130.1,8.3e-09,1.67e-08,0.0,2.4e-09,,1,87,13,1,1.0,FA54-5339-327A-250501@203
87,17.0,0.0,1e-10,4.3e-09,3.207,130.0,130.3,7.9e-09,1.67e-08,2e-10,0.0,,1,88,13,1,1.0,FA54-5339-327A-250501@203
88,17.0,0.0,8e-10,1.3e-09,3.232,129.8,130.1,8.2e-09,1.75e-08,2e-10,1.5e-09,,1,89,14,1,1.0,FA54-5339-327A-250501@203
89,16.0,1e-08,9e-10,2.6e-09,3.224,129.8,130.1,8.3e-09,1.7e-08,5.6e-09,2.5e-09,,1,90,14,1,1.0,FA54-5339-327A-250501@203
90,15.0,1e-08,1e-09,4e-09,3.19,129.5,129.7,9.8e-09,1.76e-08,2e-09,1.3e-09,,1,91,14,1,1.0,FA54-5339-327A-250501@203
91,14.0,1e-08,2.2e-09,5.4e-09,3.218,130.2,130.5,9.7e-09,1.54e-08,4.3e-09,2.6e-09,,1,92,14,1,1.0,FA54-5339-327A-250501@203
92,13.0,0.0,2.3e-09,3.8e-09,3.348,130.3,130.6,8.7e-09,1.68e-08,3.7e-09,3.2e-09,,1,93,14,1,1.0,FA54-5339-327A-250501@203
93,12.0,0.0,1.1e-09,6.8e-09,3.242,130.3,130.6,8.8e-09,1.55e-08,5.5e-09,1e-09,,1,94,14,1,1.0,FA54-5339-327A-250501@203
94,11.0,1e-08,8e-10,2.8e-09,3.294,130.5,130.6,8e-09,1.68e-08,3e-09,9e-10,,1,95,14,1,1.0,FA54-5339-327A-250501@203
95,10.0,0.0,4e-10,7e-10,3.228,130.7,130.9,7.7e-09,1.55e-08,4.1e-09,2.4e-09,,1,96,14,1,1.0,FA54-5339-327A-250501@203
96,9.0,0.0,1.5e-09,3e-10,3.179,130.5,130.9,7.7e-09,1.47e-08,1.9e-09,4.2e-09,,1,97,14,1,1.0,FA54-5339-327A-250501@203
97,8.0,0.0,6e-10,3.8e-09,3.288,130.2,130.5,7.5e-09,1.57e-08,2.4e-09,2e-10,,1,98,14,1,1.0,FA54-5339-327A-250501@203
98,7.0,0.0,1.9e-09,2e-10,3.157,130.5,130.7,8.2e-09,1.43e-08,3.4e-09,3.4e-09,,1,99,14,1,1.0,FA54-5339-327A-250501@203
99,6.0,0.0,2.4e-09,7e-10,3.188,130.3,130.6,8e-09,1.76e-08,9e-10,1e-09,,1,100,14,1,1.0,FA54-5339-327A-250501@203
100,5.0,0.0,1.3e-09,7e-10,3.243,128.9,129.4,8.7e-09,1.76e-08,1.1e-09,2.6e-09,,1,101,14,1,1.0,FA54-5339-327A-250501@203
101,6.0,0.0,7e-10,2.6e-09,3.237,130.1,130.3,7.8e-09,1.74e-08,2.3e-09,2.3e-09,,1,102,15,1,1.0,FA54-5339-327A-250501@203
102,7.0,0.0,2.5e-09,4.5e-09,3.219,130.5,130.7,7.9e-09,1.49e-08,5.7e-09,9e-10,,1,103,15,1,1.0,FA54-5339-327A-250501@203
103,8.0,0.0,5e-10,1.8e-09,3.22,129.9,130.3,8.1e-09,1.45e-08,6e-10,3e-09,,1,104,15,1,1.0,FA54-5339-327A-250501@203
104,9.0,1e-08,2.2e-09,3.2e-09,3.24,130.1,130.4,8.2e-09,1.57e-08,3.5e-09,3.2e-09,,1,105,15,1,1.0,FA54-5339-327A-250501@203
105,10.0,0.0,5e-10,4.6e-09,3.204,130.3,130.6,8.2e-09,1.54e-08,2e-10,2e-10,,1,106,15,1,1.0,FA54-5339-327A-250501@203
106,11.0,1e-08,9e-10,1.9e-09,3.265,130.5,130.7,8.1e-09,1.56e-08,5.9e-09,1.7e-09,,1,107,15,1,1.0,FA54-5339-327A-250501@203
107,12.0,1e-08,2.2e-09,2.5e-09,3.301,130.5,130.8,8.9e-09,1.64e-08,2.8e-09,4.8e-09,,1,108,15,1,1.0,FA54-5339-327A-250501@203
108,13.0,0.0,5e-10,2.3e-09,3.263,130.1,130.4,7.6e-09,1.65e-08,3.2e-09,2e-10,,1,109,15,1,1.0,FA54-5339-327A-250501@203
109,14.0,0.0,1.5e-09,4e-10,3.204,129.8,130.0,9.8e-09,1.6e-08,2.1e-09,3.6e-09,,1,110,15,1,1.0,FA54-5339-327A-250501@203
110,15.0,1e-08,1.5e-09,9e-10,3.19,129.3,129.6,9e-09,1.78e-08,3e-10,3e-10,,1,111,15,1,1.0,FA54-5339-327A-250501@203
111,16.0,0.0,5e-10,2.5e-09,3.218,129.8,130.1,1e-08,1.71e-08,3.6e-09,1.3e-09,,1,112,15,1,1.0,FA54-5339-327A-250501@203
112,16.0,1e-08,1.7e-09,2.3e-09,3.194,129.3,129.5,8.8e-09,1.8e-08,6.6e-09,1e-10,,1,113,16,1,1.0,FA54-5339-327A-250501@203
113,15.0,0.0,1e-10,1.2e-09,3.214,129.6,129.8,8.9e-09,1.81e-08,3.6e-09,2.8e-09,,1,114,16,1,1.0,FA54-5339-327A-250501@203
114,14.0,0.0,2e-10,2.5e-09,3.183,129.7,129.9,9.3e-09,1.7e-08,1.8e-09,5.5e-09,,1,115,16,1,1.0,FA54-5339-327A-250501@203
115,13.0,1e-08,1.2e-09,2.9e-09,3.213,129.6,129.9,8.9e-09,1.72e-08,2e-09,1.5e-09,,1,116,16,1,1.0,FA54-5339-327A-250501@203
116,12.0,0.0,3e-10,2e-10,3.243,129.9,130.1,1e-08,1.64e-08,3.1e-09,1.3e-09,,1,117,16,1,1.0,FA54-5339-327A-250501@203
117,11.0,1e-08,2.3e-09,1.4e-09,3.229,129.8,130.0,8.6e-09,1.8e-08,7e-10,7e-10,,1,118,16,1,1.0,FA54-5339-327A-250501@203
118,10.0,0.0,6e-10,2.1e-09,3.161,129.8,130.0,9.1e-09,1.66e-08,2.1e-09,5.4e-09,,1,119,16,1,1.0,FA54-5339-327A-250501@203
119,9.0,2e-08,2.6e-09,5e-10,3.205,130.0,130.2,7.6e-09,1.64e-08,1.2e-09,6e-10,,1,120,16,1,1.0,FA54-5339-327A-250501@203
120,8.0,0.0,7e-10,1e-10,3.203,130.2,130.5,7e-09,1.53e-08,5.5e-09,1.8e-09,,1,121,16,1,1.0,FA54-5339-327A-250501@203
121,7.0,0.0,1.8e-09,7e-10,3.215,130.3,130.5,8.5e-09,1.49e-08,4.6e-09,4.3e-09,,1,122,16,1,1.0,FA54-5339-327A-250501@203
122,6.0,0.0,3.1e-09,1.3e-09,3.257,129.6,130.0,7.5e-09,1.64e-08,2e-09,3.4e-09,,1,123,16,1,1.0,FA54-5339-327A-250501@203
123,7.0,0.0,8e-10,7.4e-09,3.212,129.8,130.1,8.3e-09,1.56e-08,3.8e-09,5e-10,,1,124,17,1,1.0,FA54-5339-327A-250501@203
124,8.0,0.0,1.6e-09,9e-10,3.25,130.1,130.4,7.9e-09,1.56e-08,2.4e-09,2.6e-09,,1,125,17,1,1.0,FA54-5339-327A-250501@203
125,9.0,1e-08,0.0,5.7e-09,3.167,130.4,130.6,7.2e-09,1.54e-08,3e-10,1.7e-09,,1,126,17,1,1.0,FA54-5339-327A-250501@203
126,10.0,0.0,9e-10,5.7e-09,3.184,129.9,130.2,8.9e-09,1.62e-08,2.8e-09,7e-10,,1,127,17,1,1.0,FA54-5339-327A-250501@203
127,11.0,0.0,2.7e-09,3.2e-09,3.202,129.7,130.0,8.7e-09,1.84e-08,4e-10,5e-10,,1,128,17,1,1.0,FA54-5339-327A-250501@203
128,12.0,0.0,1.2e-09,3.6e-09,3.198,129.6,129.9,9.5e-09,1.77e-08,5.3e-09,3.6e-09,,1,129,17,1,1.0,FA54-5339-327A-250501@203
129,13.0,0.0,3.8e-09,1.2e-09,3.26,129.5,129.9,9.5e-09,1.79e-08,2.6e-09,3.6e-09,,1,130,17,1,1.0,FA54-5339-327A-250501@203
130,14.0,1e-08,1.4e-09,4.2e-09,3.211,130.0,130.3,9.3e-09,1.74e-08,0.0,5e-10,,1,131,17,1,1.0,FA54-5339-327A-250501@203
131,15.0,0.0,7e-10,3.8e-09,3.182,129.4,129.6,9.4e-09,1.89e-08,1.6e-09,1.6e-09,,1,132,17,1,1.0,FA54-5339-327A-250501@203
132,14.0,0.0,2.8e-09,1e-09,3.195,129.3,129.7,8.1e-09,1.81e-08,4e-09,2.6e-09,,1,133,18,1,1.0,FA54-5339-327A-250501@203
133,13.0,0.0,1.4e-09,5.5e-09,3.221,129.2,129.5,9.5e-09,1.83e-08,5.7e-09,1.6e-09,,1,134,18,1,1.0,FA54-5339-327A-250501@203
134,12.0,1e-08,1e-09,2.9e-09,3.205,129.8,130.0,1.04e-08,1.76e-08,1.8e-09,2.1e-09,,1,135,18,1,1.0,FA54-5339-327A-250501@203
135,11.0,0.0,2.6e-09,3e-09,3.183,130.0,130.3,9.6e-09,1.56e-08,5.1e-09,5e-09,,1,136,18,1,1.0,FA54-5339-327A-250501@203
136,10.0,0.0,4.2e-09,4e-10,3.145,130.1,130.3,8.6e-09,1.69e-08,2.4e-09,2e-09,,1,137,18,1,1.0,FA54-5339-327A-250501@203
137,9.0,0.0,1.1e-09,2.3e-09,3.193,130.1,130.3,8.1e-09,1.51e-08,1.2e-09,4.5e-09,,1,138,18,1,1.0,FA54-5339-327A-250501@203
138,8.0,1e-08,2.1e-09,6e-10,3.205,129.3,129.6,8.7e-09,1.78e-08,3e-09,3.2e-09,,1,139,18,1,1.0,FA54-5339-327A-250501@203
139,10.0,0.0,3.1e-09,6.6e-09,3.103,129.1,129.5,9.9e-09,1.89e-08,4.4e-09,1e-09,,1,140,19,1,1.0,FA54-5339-327A-250501@203
140,11.0,0.0,5e-10,3.1e-09,3.16,129.2,129.6,9.9e-09,1.99e-08,2.9e-09,4.3e-09,,1,141,19,1,1.0,FA54-5339-327A-250501@203
141,12.0,1e-08,8e-10,2.3e-09,3.145,128.6,128.9,1.16e-08,2.25e-08,5.5e-09,5.4e-09,,1,142,19,1,1.0,FA54-5339-327A-250501@203
142,11.0,0.0,0.0,4e-10,3.408,129.8,130.2,1.03e-08,1.99e-08,3.8e-09,0.0,,2,1,5,1,1.0,FA54-5339-327A-250501@203
143,14.0,0.0,7e-10,8e-10,3.383,130.1,130.2,1.07e-08,2e-08,5.2e-09,4.7e-09,,2,2,6,1,1.0,FA54-5339-327A-250501@203
144,13.0,0.0,6e-10,1.4e-09,3.309,130.1,130.3,1.02e-08,1.94e-08,6.1e-09,3e-09,,2,3,6,1,1.0,FA54-5339-327A-250501@203
145,12.0,1e-08,3e-10,1.4e-09,3.358,130.1,130.3,1.09e-08,2.06e-08,2.5e-09,2.1e-09,,2,4,6,1,1.0,FA54-5339-327A-250501@203
146,11.0,0.0,2.8e-09,9e-10,3.324,130.1,130.3,1.1e-08,1.99e-08,1.3e-09,3.3e-09,,2,5,6,1,1.0,FA54-5339-327A-250501@203
147,10.0,0.0,1e-09,3.3e-09,3.32,130.1,130.2,1.15e-08,2.14e-08,4.6e-09,7.2e-09,,2,6,6,1,1.0,FA54-5339-327A-250501@203
148,9.0,0.0,5e-10,4.2e-09,3.281,130.1,130.3,1.08e-08,2.18e-08,1.3e-09,1e-09,,2,7,6,1,1.0,FA54-5339-327A-250501@203
149,7.0,1e-08,3e-10,1.3e-09,3.2,129.6,130.0,1.1e-08,1.8e-08,1.6e-09,3.9e-09,,2,8,7,1,1.0,FA54-5339-327A-250501@203
150,8.0,1e-08,3.6e-09,9e-10,3.24,130.0,130.3,1.13e-08,2.14e-08,7.4e-09,2.5e-09,,2,9,7,1,1.0,FA54-5339-327A-250501@203
151,9.0,0.0,2.1e-09,3.3e-09,3.239,130.0,130.0,1.2e-08,1.98e-08,2.8e-09,3.3e-09,,2,10,7,1,1.0,FA54-5339-327A-250501@203
152,10.0,0.0,1.4e-09,3e-09,3.251,130.0,130.3,1.08e-08,2.12e-08,3.4e-09,1e-09,,2,11,7,1,1.0,FA54-5339-327A-250501@203
153,11.0,0.0,1.1e-09,8e-10,3.349,130.0,130.3,9.2e-09,1.98e-08,2.9e-09,2.8e-09,,2,12,7,1,1.0,FA54-5339-327A-250501@203
