Lot_ID,Wafer_ID,Yield,Total,Pass,Bin3,Bin4,Bin6,Bin7,Bin8,Bin9
FA55-5136-323A-250509@203,1,95.51%,178,170,3,3,0,0,0,0
FA55-5136-323A-250509@203,2,97.75%,178,174,0,4,0,0,0,0
FA55-5136-323A-250509@203,3,97.75%,178,174,0,4,0,0,0,0
FA55-5136-323A-250509@203,4,97.75%,178,174,2,1,0,1,0,0
FA55-5136-323A-250509@203,5,97.75%,178,174,1,2,0,0,0,1
FA55-5136-323A-250509@203,6,98.31%,178,175,0,3,0,0,0,0
FA55-5136-323A-250509@203,7,96.63%,178,172,3,1,0,2,0,0
FA55-5136-323A-250509@203,8,100.00%,178,178,0,0,0,0,0,0
FA55-5136-323A-250509@203,9,96.07%,178,171,1,4,0,2,0,0
FA55-5136-323A-250509@203,10,98.88%,178,176,1,1,0,0,0,0
FA55-5136-323A-250509@203,11,98.88%,178,176,0,2,0,0,0,0
FA55-5136-323A-250509@203,12,98.31%,178,175,0,3,0,0,0,0
FA55-5136-323A-250509@203,13,94.94%,178,169,3,4,0,2,0,0
FA55-5136-323A-250509@203,14,98.31%,178,175,2,1,0,0,0,0
FA55-5136-323A-250509@203,15,97.75%,178,174,2,0,0,2,0,0
FA55-5136-323A-250509@203,16,97.19%,178,173,1,0,4,0,0,0
FA55-5136-323A-250509@203,17,95.51%,178,170,2,3,1,0,0,1
FA55-5136-323A-250509@203,18,87.64%,178,156,2,0,20,0,0,0
FA55-5136-323A-250509@203,19,97.19%,178,173,1,3,1,0,0,0
FA55-5136-323A-250509@203,20,96.07%,178,171,0,1,6,0,0,0
FA55-5136-323A-250509@203,21,94.38%,178,168,3,6,1,0,0,0
FA55-5136-323A-250509@203,22,92.70%,178,165,3,3,7,0,0,0
FA55-5136-323A-250509@203,23,96.63%,178,172,1,3,0,2,0,0
FA55-5136-323A-250509@203,24,90.45%,178,161,0,3,14,0,0,0
FA55-5136-323A-250509@203,25,97.75%,178,174,0,2,0,2,0,0
FA55-5183-323A-250509@203,1,98.88%,178,176,0,1,0,0,0,1
FA55-5183-323A-250509@203,2,98.31%,178,175,1,2,0,0,0,0
FA55-5183-323A-250509@203,3,99.44%,178,177,0,1,0,0,0,0
FA55-5183-323A-250509@203,4,99.44%,178,177,1,0,0,0,0,0
FA55-5183-323A-250509@203,5,98.88%,178,176,0,1,0,0,0,0
FA55-5183-323A-250509@203,6,98.88%,178,176,0,2,0,0,0,0
FA55-5183-323A-250509@203,7,98.88%,178,176,0,1,0,1,0,0
FA55-5183-323A-250509@203,8,97.19%,178,173,0,5,0,0,0,0
FA55-5183-323A-250509@203,9,97.19%,178,173,2,2,0,0,0,0
FA55-5183-323A-250509@203,10,99.44%,178,177,0,1,0,0,0,0
FA55-5183-323A-250509@203,11,99.44%,178,177,0,1,0,0,0,0
FA55-5183-323A-250509@203,12,99.44%,178,177,0,1,0,0,0,0
FA55-5183-323A-250509@203,13,98.88%,178,176,1,1,0,0,0,0
FA55-5183-323A-250509@203,14,100.00%,178,178,0,0,0,0,0,0
FA55-5183-323A-250509@203,15,99.44%,178,177,0,0,0,1,0,0
FA55-5183-323A-250509@203,16,99.44%,178,177,0,1,0,0,0,0
FA55-5183-323A-250509@203,17,98.88%,178,176,0,1,0,1,0,0
FA55-5183-323A-250509@203,18,99.44%,178,177,0,1,0,0,0,0
FA55-5183-323A-250509@203,19,99.44%,178,177,0,1,0,0,0,0
FA55-5183-323A-250509@203,20,98.88%,178,176,1,1,0,0,0,0
FA55-5183-323A-250509@203,21,97.75%,178,174,0,2,0,0,1,0
FA55-5183-323A-250509@203,22,98.31%,178,175,0,3,0,0,0,0
FA55-5183-323A-250509@203,23,98.88%,178,176,1,1,0,0,0,0
FA55-5183-323A-250509@203,24,99.44%,178,177,0,0,1,0,0,0
FA55-5183-323A-250510@203,25,98.88%,178,176,1,0,0,1,0,0
ALL,ALL,97.58%,21716,21190,110,277,85,32,1,11
