Program name	H0206AD_E4_CP1.dll
Lot number	C127251.00-CPTSTE11-241023-002348@CP
Wafer number	01
Date	2024/10/23
Time	00:23:52

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH1	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
20	17	6	1	1.27000E-002	1.30000E-003	8.00000E-004	5.58000E-008	3.00000E-010	2.76200E-007	3.43880E+000	7.37881E+002	7.39924E+002	2.04260E+000	1.26408E-001	6.90800E-001	4.21500E-010	7.02000E-011	1.38500E-007
24	15	6	1	1.28000E-002	1.30000E-003	8.00000E-004	5.25000E-008	5.00000E-010	2.94500E-007	3.42900E+000	7.36953E+002	7.38890E+002	1.93710E+000	1.26088E-001	6.90400E-001	1.85000E-010	6.56000E-011	1.55200E-007
28	13	6	1	1.28000E-002	1.40000E-003	9.00000E-004	3.90000E-008	5.00000E-010	3.21100E-007	3.42620E+000	7.31221E+002	7.33461E+002	2.24080E+000	1.25299E-001	6.89500E-001	1.87000E-011	1.56900E-010	1.56200E-007
32	11	6	1	1.28000E-002	1.40000E-003	8.00000E-004	1.67000E-008	3.00000E-010	6.21700E-007	3.44560E+000	7.27089E+002	7.29457E+002	2.36830E+000	1.26908E-001	6.89900E-001	3.25500E-010	1.56900E-010	2.24400E-007
42	9	8	1	1.28000E-002	1.30000E-003	8.00000E-004	3.26000E-008	6.00000E-010	3.37300E-007	3.40920E+000	7.31643E+002	7.33908E+002	2.26510E+000	1.25525E-001	6.89700E-001	2.34100E-010	4.07400E-010	1.65200E-007
46	11	8	1	1.27000E-002	1.40000E-003	8.00000E-004	4.96000E-008	4.00000E-010	3.83300E-007	3.38930E+000	7.44210E+002	7.45880E+002	1.67020E+000	1.27929E-001	6.90200E-001	2.41200E-010	1.33500E-010	1.88300E-007
50	13	8	1	1.27000E-002	1.40000E-003	8.00000E-004	6.05000E-008	3.00000E-010	4.32800E-007	3.39260E+000	7.43653E+002	7.46027E+002	2.37390E+000	1.29665E-001	6.90900E-001	3.34800E-010	3.28000E-011	2.05700E-007
54	15	8	1	1.28000E-002	1.30000E-003	8.00000E-004	6.74000E-008	7.00000E-010	4.69200E-007	3.38140E+000	7.44527E+002	7.46878E+002	2.35070E+000	1.30142E-001	6.90600E-001	3.04400E-010	8.66000E-011	2.23300E-007
58	17	8	1	1.28000E-002	1.40000E-003	8.00000E-004	7.48000E-008	5.00000E-010	4.58600E-007	3.38460E+000	7.42409E+002	7.44881E+002	2.47130E+000	1.29680E-001	6.91300E-001	4.70000E-012	8.66000E-011	2.13000E-007
62	19	8	1	1.27000E-002	1.50000E-003	8.00000E-004	7.04000E-008	4.00000E-010	4.78700E-007	3.38700E+000	7.43904E+002	7.46297E+002	2.39260E+000	1.30357E-001	6.90800E-001	1.87300E-010	3.58200E-010	2.25700E-007
66	21	8	1	1.28000E-002	1.50000E-003	8.00000E-004	6.44000E-008	4.00000E-010	4.24300E-007	3.38610E+000	7.44359E+002	7.46754E+002	2.39450E+000	1.29708E-001	6.91000E-001	1.45200E-010	2.22400E-010	2.02200E-007
70	23	8	1	1.28000E-002	1.40000E-003	8.00000E-004	5.27000E-008	5.00000E-010	3.40600E-007	3.39720E+000	7.43562E+002	7.45202E+002	1.63990E+000	1.26807E-001	6.89800E-001	4.02700E-010	2.74000E-010	1.70900E-007
74	25	8	1	1.25000E-002	1.40000E-003	8.00000E-004	2.95000E-008	4.00000E-010	3.51300E-007	3.44070E+000	7.30200E+002	7.32416E+002	2.21570E+000	1.25508E-001	6.89600E-001	3.81700E-010	2.59900E-010	1.59100E-007
77	26	10	1	1.27000E-002	1.40000E-003	9.00000E-004	4.35000E-008	5.00000E-010	3.09500E-007	3.39040E+000	7.35185E+002	7.36869E+002	1.68440E+000	1.25201E-001	6.89800E-001	2.78600E-010	1.40500E-010	1.54300E-007
81	24	10	1	1.27000E-002	1.40000E-003	8.00000E-004	5.48000E-008	4.00000E-010	4.22000E-007	3.37450E+000	7.48859E+002	7.51043E+002	2.18400E+000	1.28528E-001	6.90300E-001	4.35500E-010	2.11000E-011	2.08300E-007
85	22	10	1	1.28000E-002	1.40000E-003	9.00000E-004	6.91000E-008	6.00000E-010	4.29000E-007	3.38000E+000	7.47487E+002	7.49720E+002	2.23300E+000	1.29035E-001	6.90500E-001	2.29500E-010	5.85000E-011	2.08700E-007
89	20	10	1	1.28000E-002	1.40000E-003	8.00000E-004	7.73000E-008	5.00000E-010	3.82400E-007	3.38550E+000	7.44842E+002	7.46972E+002	2.13000E+000	1.28198E-001	6.90500E-001	2.38800E-010	1.17100E-010	1.86600E-007
93	18	10	1	1.28000E-002	1.40000E-003	9.00000E-004	7.96000E-008	6.00000E-010	2.87700E-007	3.39420E+000	7.43720E+002	7.45516E+002	1.79610E+000	1.26327E-001	6.90300E-001	3.98000E-011	1.73300E-010	1.46200E-007
97	16	10	1	1.28000E-002	1.40000E-003	8.00000E-004	8.24000E-008	5.00000E-010	2.82400E-007	3.40910E+000	7.41876E+002	7.43945E+002	2.06920E+000	1.26334E-001	6.90500E-001	2.36500E-010	2.74000E-010	1.43500E-007
101	14	10	1	1.28000E-002	1.40000E-003	9.00000E-004	7.83000E-008	5.00000E-010	3.29400E-007	3.38030E+000	7.44294E+002	7.45889E+002	1.59510E+000	1.27571E-001	6.90100E-001	2.95000E-010	1.99000E-010	1.62500E-007
105	12	10	1	1.28000E-002	1.40000E-003	8.00000E-004	6.41000E-008	5.00000E-010	4.32300E-007	3.37770E+000	7.44997E+002	7.47185E+002	2.18800E+000	1.29005E-001	6.90600E-001	4.49600E-010	4.21000E-011	2.07300E-007
109	10	10	1	1.27000E-002	1.40000E-003	9.00000E-004	5.53000E-008	5.00000E-010	4.35900E-007	3.37100E+000	7.45538E+002	7.47993E+002	2.45520E+000	1.28376E-001	6.90700E-001	2.71600E-010	2.69300E-010	2.09600E-007
113	8	10	1	1.27000E-002	1.40000E-003	8.00000E-004	4.58000E-008	6.00000E-010	4.24000E-007	3.36340E+000	7.38619E+002	7.40056E+002	1.43680E+000	1.25833E-001	6.90200E-001	1.73300E-010	1.03000E-010	2.04900E-007
117	6	10	1	1.28000E-002	1.40000E-003	8.00000E-004	1.19000E-008	3.00000E-010	3.56300E-007	3.45270E+000	7.21092E+002	7.24057E+002	2.96500E+000	1.28107E-001	6.89900E-001	4.12100E-010	2.74000E-010	1.65600E-007
121	5	12	1	1.28000E-002	1.30000E-003	8.00000E-004	9.90000E-009	4.00000E-010	4.25800E-007	3.46440E+000	7.09506E+002	7.14045E+002	4.53900E+000	1.29768E-001	6.90800E-001	2.83300E-010	1.64000E-011	1.86600E-007
125	7	12	1	1.27000E-002	1.40000E-003	9.00000E-004	4.82000E-008	7.00000E-010	3.71600E-007	3.37540E+000	7.39076E+002	7.40589E+002	1.51290E+000	1.26011E-001	6.88700E-001	3.20800E-010	1.35800E-010	1.83700E-007
129	9	12	1	1.28000E-002	1.40000E-003	8.00000E-004	5.80000E-008	6.00000E-010	4.88900E-007	3.36020E+000	7.45821E+002	7.47244E+002	1.42220E+000	1.29212E-001	6.91600E-001	1.12400E-010	1.45200E-010	2.30100E-007
133	11	12	1	1.28000E-002	1.30000E-003	9.00000E-004	7.08000E-008	5.00000E-010	4.54600E-007	3.36310E+000	7.44508E+002	7.46022E+002	1.51470E+000	1.28108E-001	6.91300E-001	1.40500E-010	2.13100E-010	2.15500E-007
137	13	12	1	1.28000E-002	1.40000E-003	9.00000E-004	7.86000E-008	5.00000E-010	3.07900E-007	3.37580E+000	7.40776E+002	7.42326E+002	1.54970E+000	1.25849E-001	6.90000E-001	2.99700E-010	9.13000E-011	1.54600E-007
141	15	12	1	1.28000E-002	1.50000E-003	8.00000E-004	8.49000E-008	6.00000E-010	2.47700E-007	3.35220E+000	7.30423E+002	7.32612E+002	2.18910E+000	1.22958E-001	6.90600E-001	2.95000E-010	1.33500E-010	1.24300E-007
145	17	12	1	1.28000E-002	1.50000E-003	8.00000E-004	8.80000E-008	4.00000E-010	2.55700E-007	3.35940E+000	7.28938E+002	7.30862E+002	1.92400E+000	1.22854E-001	6.90300E-001	2.66900E-010	6.32000E-011	1.26500E-007
149	19	12	1	1.28000E-002	1.60000E-003	8.00000E-004	8.58000E-008	5.00000E-010	2.40900E-007	3.35630E+000	7.32304E+002	7.34760E+002	2.45610E+000	1.22974E-001	6.90500E-001	3.62900E-010	2.41200E-010	1.21700E-007
153	21	12	1	1.28000E-002	1.60000E-003	9.00000E-004	8.11000E-008	4.00000E-010	4.01500E-007	3.34510E+000	7.43189E+002	7.44550E+002	1.36170E+000	1.26167E-001	6.89800E-001	3.11400E-010	9.40000E-012	1.95900E-007
157	23	12	1	1.29000E-002	1.60000E-003	8.00000E-004	7.44000E-008	6.00000E-010	5.11400E-007	3.37550E+000	7.45642E+002	7.47223E+002	1.58030E+000	1.29150E-001	6.91300E-001	2.13100E-010	1.92000E-010	2.41000E-007
161	25	12	1	1.27000E-002	1.50000E-003	8.00000E-004	5.69000E-008	5.00000E-010	4.74500E-007	3.37500E+000	7.46714E+002	7.48141E+002	1.42690E+000	1.29154E-001	6.91700E-001	4.23800E-010	1.87300E-010	2.26700E-007
165	27	12	1	1.27000E-002	1.50000E-003	9.00000E-004	4.78000E-008	4.00000E-010	3.83500E-007	3.38560E+000	7.34039E+002	7.35757E+002	1.71760E+000	1.25610E-001	6.88700E-001	2.85700E-010	2.11000E-011	1.86200E-007
169	27	14	1	1.28000E-002	1.40000E-003	8.00000E-004	4.88000E-008	6.00000E-010	3.78200E-007	3.38890E+000	7.37449E+002	7.39240E+002	1.79120E+000	1.25617E-001	6.88900E-001	2.74000E-010	9.13000E-011	1.87200E-007
173	25	14	1	1.28000E-002	1.50000E-003	8.00000E-004	6.04000E-008	6.00000E-010	4.97300E-007	3.36740E+000	7.47276E+002	7.48750E+002	1.47470E+000	1.29670E-001	6.91700E-001	1.78000E-010	2.41200E-010	2.36300E-007
177	23	14	1	1.28000E-002	1.60000E-003	9.00000E-004	7.47000E-008	5.00000E-010	4.78600E-007	3.39030E+000	7.45876E+002	7.47228E+002	1.35200E+000	1.28571E-001	6.92000E-001	2.55200E-010	6.32000E-011	2.25300E-007
181	21	14	1	1.28000E-002	1.80000E-003	8.00000E-004	8.03000E-008	5.00000E-010	4.21400E-007	3.35410E+000	7.38082E+002	7.39641E+002	1.55870E+000	1.24647E-001	6.90100E-001	1.63900E-010	1.87300E-010	2.01300E-007
185	19	14	1	1.27000E-002	1.80000E-003	9.00000E-004	8.16000E-008	6.00000E-010	2.42000E-007	3.34980E+000	7.26382E+002	7.28326E+002	1.94350E+000	1.23082E-001	6.90900E-001	2.27100E-010	3.51000E-011	1.18400E-007
189	17	14	1	1.28000E-002	1.40000E-003	9.00000E-004	8.68000E-008	6.00000E-010	3.32200E-007	3.35680E+000	7.17325E+002	7.19296E+002	1.97080E+000	1.23398E-001	6.90100E-001	1.10000E-010	2.13100E-010	1.51500E-007
193	15	14	1	1.28000E-002	1.50000E-003	8.00000E-004	8.28000E-008	4.00000E-010	2.53300E-007	3.35990E+000	7.24025E+002	7.25732E+002	1.70730E+000	1.23233E-001	6.91300E-001	3.16100E-010	7.02000E-011	1.21400E-007
197	13	14	1	1.28000E-002	1.50000E-003	8.00000E-004	8.12000E-008	5.00000E-010	2.71800E-007	3.37580E+000	7.35482E+002	7.37133E+002	1.65150E+000	1.23688E-001	6.90100E-001	7.02000E-011	7.73000E-011	1.35400E-007
201	11	14	1	1.28000E-002	1.60000E-003	8.00000E-004	7.41000E-008	6.00000E-010	4.65900E-007	3.35800E+000	7.43289E+002	7.44746E+002	1.45720E+000	1.28135E-001	6.90700E-001	7.00000E-012	2.34100E-010	2.20700E-007
205	9	14	1	1.28000E-002	1.60000E-003	8.00000E-004	6.36000E-008	6.00000E-010	4.80600E-007	3.34160E+000	7.45554E+002	7.47023E+002	1.46890E+000	1.29925E-001	6.90400E-001	4.19100E-010	1.73300E-010	2.27500E-007
209	7	14	1	1.28000E-002	1.60000E-003	8.00000E-004	4.78000E-008	5.00000E-010	3.20300E-007	3.40090E+000	7.43514E+002	7.45194E+002	1.67970E+000	1.26585E-001	6.89300E-001	4.37900E-010	2.20100E-010	1.62500E-007
213	5	14	1	1.28000E-002	1.40000E-003	9.00000E-004	1.47000E-008	7.00000E-010	3.05700E-007	3.47350E+000	7.25699E+002	7.28284E+002	2.58460E+000	1.27345E-001	6.91400E-001	5.85000E-011	3.30100E-010	1.47800E-007
217	6	16	1	1.28000E-002	1.40000E-003	8.00000E-004	2.78000E-008	5.00000E-010	2.87900E-007	3.43110E+000	7.31685E+002	7.33067E+002	1.38210E+000	1.24599E-001	6.90200E-001	1.35800E-010	2.78600E-010	1.42800E-007
221	8	16	1	1.28000E-002	1.50000E-003	9.00000E-004	5.45000E-008	4.00000E-010	3.20700E-007	3.37430E+000	7.46070E+002	7.47526E+002	1.45600E+000	1.28400E-001	6.89400E-001	3.25500E-010	1.68600E-010	1.61800E-007
225	10	16	1	1.27000E-002	1.60000E-003	8.00000E-004	6.67000E-008	5.00000E-010	4.59500E-007	3.35350E+000	7.45417E+002	7.47408E+002	1.99110E+000	1.29114E-001	6.90700E-001	3.32500E-010	1.12400E-010	2.18900E-007
229	12	16	1	1.28000E-002	1.50000E-003	9.00000E-004	7.48000E-008	4.00000E-010	4.27500E-007	3.36600E+000	7.42243E+002	7.43676E+002	1.43320E+000	1.27371E-001	6.90700E-001	3.32500E-010	2.34100E-010	2.02300E-007
233	14	16	1	1.28000E-002	1.60000E-003	8.00000E-004	8.14000E-008	5.00000E-010	2.77700E-007	3.37020E+000	7.35794E+002	7.37720E+002	1.92620E+000	1.23262E-001	6.90400E-001	7.96000E-011	1.26400E-010	1.36400E-007
237	16	16	1	1.28000E-002	1.70000E-003	9.00000E-004	8.44000E-008	6.00000E-010	2.78300E-007	3.35690E+000	7.27894E+002	7.29909E+002	2.01560E+000	1.23796E-001	6.90300E-001	2.69300E-010	3.65300E-010	1.35600E-007
241	18	16	1	1.28000E-002	1.70000E-003	9.00000E-004	8.14000E-008	6.00000E-010	2.56800E-007	3.36270E+000	7.31522E+002	7.33045E+002	1.52390E+000	1.22777E-001	6.90300E-001	5.03400E-010	1.47500E-010	1.28400E-007
245	20	16	1	1.28000E-002	1.70000E-003	8.00000E-004	8.10000E-008	5.00000E-010	3.68200E-007	3.36160E+000	7.34806E+002	7.37113E+002	2.30670E+000	1.24396E-001	6.89900E-001	1.78000E-010	9.37000E-011	1.76800E-007
249	22	16	1	1.28000E-002	1.50000E-003	9.00000E-004	7.44000E-008	7.00000E-010	4.49700E-007	3.38070E+000	7.44990E+002	7.46648E+002	1.65760E+000	1.27711E-001	6.90500E-001	2.92700E-010	2.81000E-011	2.16500E-007
253	24	16	1	1.28000E-002	1.50000E-003	8.00000E-004	6.34000E-008	6.00000E-010	5.02600E-007	3.36580E+000	7.47171E+002	7.48672E+002	1.50130E+000	1.29822E-001	6.91300E-001	2.15400E-010	3.70000E-010	2.39600E-007
257	26	16	1	1.27000E-002	1.50000E-003	8.00000E-004	4.79000E-008	6.00000E-010	4.04100E-007	3.37070E+000	7.47101E+002	7.48742E+002	1.64140E+000	1.27299E-001	6.90300E-001	1.40000E-011	1.63900E-010	2.01400E-007
261	25	18	1	1.28000E-002	1.40000E-003	9.00000E-004	5.06000E-008	6.00000E-010	3.79700E-007	3.36780E+000	7.45031E+002	7.46579E+002	1.54840E+000	1.27017E-001	6.90700E-001	3.55900E-010	2.41200E-010	1.88200E-007
265	23	18	1	1.27000E-002	1.60000E-003	9.00000E-004	6.29000E-008	5.00000E-010	4.64300E-007	3.35670E+000	7.46021E+002	7.48356E+002	2.33550E+000	1.29377E-001	6.91100E-001	3.44200E-010	1.05400E-010	2.22100E-007
269	21	18	1	1.28000E-002	1.60000E-003	8.00000E-004	7.21000E-008	4.00000E-010	4.68400E-007	3.36920E+000	7.43355E+002	7.45469E+002	2.11340E+000	1.28818E-001	6.91000E-001	2.88000E-010	4.68000E-011	2.20600E-007
273	19	18	1	1.28000E-002	1.50000E-003	9.00000E-004	7.98000E-008	5.00000E-010	4.59700E-007	3.35960E+000	7.40358E+002	7.42675E+002	2.31650E+000	1.27181E-001	6.90600E-001	4.23800E-010	3.28000E-011	2.15600E-007
277	17	18	1	1.28000E-002	1.60000E-003	8.00000E-004	8.22000E-008	6.00000E-010	4.22600E-007	3.35250E+000	7.39001E+002	7.41416E+002	2.41460E+000	1.26350E-001	6.90700E-001	3.98000E-011	1.80300E-010	2.00500E-007
281	15	18	1	1.29000E-002	1.60000E-003	9.00000E-004	8.06000E-008	5.00000E-010	4.25300E-007	3.35340E+000	7.40014E+002	7.42095E+002	2.08180E+000	1.27173E-001	6.90700E-001	9.83000E-011	2.34000E-011	2.00500E-007
285	13	18	1	1.27000E-002	1.60000E-003	8.00000E-004	7.66000E-008	7.00000E-010	4.04200E-007	3.35570E+000	7.42403E+002	7.44547E+002	2.14410E+000	1.28325E-001	6.90400E-001	1.40000E-011	1.07700E-010	1.92400E-007
289	11	18	1	1.27000E-002	1.60000E-003	8.00000E-004	6.63000E-008	5.00000E-010	3.81600E-007	3.35040E+000	7.45000E+002	7.47153E+002	2.15280E+000	1.29031E-001	6.90000E-001	2.66900E-010	1.54500E-010	1.85100E-007
293	9	18	1	1.28000E-002	1.50000E-003	8.00000E-004	5.55000E-008	5.00000E-010	2.44500E-007	3.38790E+000	7.46786E+002	7.48633E+002	1.84770E+000	1.27525E-001	6.90600E-001	4.47200E-010	2.13100E-010	1.28600E-007
297	7	18	1	1.28000E-002	1.60000E-003	8.00000E-004	3.40000E-008	5.00000E-010	2.53200E-007	3.42820E+000	7.31321E+002	7.33110E+002	1.78870E+000	1.24482E-001	6.90600E-001	2.27100E-010	1.78000E-010	1.28200E-007
301	8	20	1	1.30000E-002	1.50000E-003	7.00000E-004	2.00000E-008	6.00000E-010	2.36400E-007	3.45740E+000	7.29020E+002	7.31342E+002	2.32170E+000	1.24207E-001	6.91800E-001	1.12400E-010	2.48200E-010	1.24300E-007
303	10	20	1	1.28000E-002	1.60000E-003	9.00000E-004	5.14000E-008	5.00000E-010	2.04700E-007	3.41910E+000	7.40443E+002	7.41948E+002	1.50560E+000	1.24674E-001	6.91600E-001	4.21500E-010	1.00700E-010	1.10000E-007
307	12	20	1	1.29000E-002	1.60000E-003	9.00000E-004	6.02000E-008	8.00000E-010	2.82400E-007	3.38290E+000	7.46599E+002	7.49119E+002	2.51950E+000	1.28092E-001	6.90100E-001	2.38800E-010	2.11000E-011	1.45800E-007
311	14	20	1	1.27000E-002	1.60000E-003	8.00000E-004	6.60000E-008	7.00000E-010	4.13600E-007	3.34060E+000	7.44793E+002	7.47352E+002	2.55950E+000	1.29106E-001	6.90000E-001	1.56900E-010	1.28800E-010	2.00200E-007
315	16	20	1	1.28000E-002	1.50000E-003	8.00000E-004	6.76000E-008	5.00000E-010	4.36300E-007	3.34410E+000	7.46345E+002	7.48823E+002	2.47840E+000	1.27881E-001	6.90300E-001	1.19400E-010	1.82600E-010	2.12200E-007
319	18	20	1	1.27000E-002	1.60000E-003	8.00000E-004	6.78000E-008	5.00000E-010	4.68500E-007	3.35120E+000	7.44649E+002	7.47065E+002	2.41640E+000	1.28684E-001	6.90500E-001	2.27100E-010	1.54500E-010	2.22700E-007
323	20	20	1	1.29000E-002	1.60000E-003	8.00000E-004	6.22000E-008	5.00000E-010	4.41700E-007	3.34790E+000	7.44946E+002	7.47353E+002	2.40640E+000	1.29202E-001	6.90500E-001	4.49600E-010	2.15400E-010	2.12200E-007
327	22	20	1	1.27000E-002	1.60000E-003	9.00000E-004	5.14000E-008	8.00000E-010	3.44200E-007	3.38360E+000	7.46769E+002	7.49046E+002	2.27670E+000	1.27843E-001	6.90100E-001	1.52200E-010	1.64000E-011	1.72600E-007
331	24	20	7	1.30000E-002	1.50000E-003	8.00000E-004	4.73000E-008	7.00000E-010	2.80300E-007	3.42230E+000	8.29720E+001
333	20	22	1	1.30000E-002	1.60000E-003	7.00000E-004	4.82000E-008	5.00000E-010	2.68300E-007	3.42670E+000	7.33919E+002	7.35482E+002	1.56260E+000	1.24322E-001	6.91000E-001	2.88000E-010	5.39000E-011	1.39300E-007
335	18	22	1	1.30000E-002	1.50000E-003	9.00000E-004	5.30000E-008	6.00000E-010	2.50300E-007	3.42300E+000	7.39735E+002	7.41133E+002	1.39780E+000	1.24862E-001	6.90900E-001	3.77000E-010	1.19400E-010	1.30000E-007
338	16	22	1	1.27000E-002	1.60000E-003	9.00000E-004	5.12000E-008	6.00000E-010	2.48100E-007	3.42280E+000	7.40201E+002	7.41575E+002	1.37390E+000	1.24872E-001	6.91100E-001	4.68300E-010	7.96000E-011	1.26400E-007
342	14	22	1	1.27000E-002	1.50000E-003	8.00000E-004	5.41000E-008	8.00000E-010	2.92600E-007	3.43660E+000	7.35459E+002	7.37028E+002	1.56860E+000	1.24268E-001	6.91200E-001	3.11400E-010	2.24800E-010	1.41400E-007
345	12	22	1	1.30000E-002	1.50000E-003	8.00000E-004	3.30000E-008	7.00000E-010	2.68400E-007	3.46260E+000	7.28141E+002	7.30521E+002	2.38020E+000	1.23719E-001	6.90700E-001	1.05400E-010	1.92000E-010	1.38900E-007

13	22	6	1	1.29000E-002	2.40000E-003	1.90000E-003	2.58000E-008	9.00000E-010	3.18200E-007	3.46120E+000	7.27938E+002	7.30305E+002	2.36680E+000	1.25983E-001	6.88700E-001	6.46400E-010	1.10100E-010	1.56300E-007
17	20	6	1	1.28000E-002	2.30000E-003	1.90000E-003	4.98000E-008	9.00000E-010	2.90900E-007	3.44350E+000	7.33478E+002	7.35582E+002	2.10340E+000	1.25339E-001	6.89300E-001	5.71400E-010	1.35800E-010	1.44900E-007
21	18	6	1	1.27000E-002	2.40000E-003	1.90000E-003	5.43000E-008	0.00000E+000	1.09530E-006	3.43320E+000	7.38700E+002	7.40451E+002	1.75110E+000	1.26323E-001	6.89500E-001	9.71900E-010	2.34000E-011	3.87100E-007
25	16	6	1	1.28000E-002	2.40000E-003	1.90000E-003	5.53000E-008	7.00000E-010	2.73400E-007	3.44080E+000	7.38118E+002	7.40150E+002	2.03190E+000	1.26159E-001	6.89800E-001	7.07200E-010	2.34000E-011	1.39500E-007
29	14	6	1	1.28000E-002	2.40000E-003	1.90000E-003	4.79000E-008	8.00000E-010	2.86700E-007	3.43850E+000	7.34616E+002	7.36612E+002	1.99550E+000	1.25489E-001	6.89600E-001	4.82400E-010	1.31100E-010	1.44400E-007
33	12	6	1	1.28000E-002	2.40000E-003	1.90000E-003	2.75000E-008	5.00000E-010	3.22000E-007	3.44550E+000	7.29322E+002	7.31649E+002	2.32670E+000	1.25607E-001	6.88300E-001	7.63400E-010	1.75600E-010	1.58900E-007
36	10	6	1	1.33000E-002	2.30000E-003	1.90000E-003	9.40000E-009	5.00000E-010	4.63400E-007	3.44300E+000	6.99421E+002	7.05622E+002	6.20050E+000	1.30167E-001	6.88600E-001	7.89200E-010	3.32500E-010	1.98700E-007
39	8	8	1	1.32000E-002	2.40000E-003	1.90000E-003	1.66000E-008	7.00000E-010	3.05600E-007	3.45010E+000	7.28874E+002	7.31198E+002	2.32400E+000	1.26603E-001	6.88900E-001	6.76800E-010	1.68600E-010	1.52000E-007
43	10	8	1	1.28000E-002	2.40000E-003	1.90000E-003	4.63000E-008	7.00000E-010	3.37500E-007	3.41090E+000	7.38681E+002	7.40316E+002	1.63510E+000	1.25863E-001	6.89000E-001	6.69800E-010	3.13800E-010	1.69200E-007
47	12	8	1	1.27000E-002	2.40000E-003	1.90000E-003	5.57000E-008	1.00000E-010	4.00700E-007	3.39540E+000	7.44697E+002	7.47001E+002	2.30350E+000	1.29177E-001	6.89400E-001	6.39300E-010	1.12400E-010	1.96500E-007
51	14	8	1	1.27000E-002	2.40000E-003	1.90000E-003	6.39000E-008	1.00000E-010	4.46600E-007	3.38560E+000	7.45788E+002	7.48073E+002	2.28530E+000	1.29908E-001	6.89900E-001	8.61800E-010	7.00000E-012	2.14400E-007
55	16	8	1	1.28000E-002	2.40000E-003	1.90000E-003	6.86000E-008	8.00000E-010	4.43400E-007	3.38990E+000	7.44198E+002	7.46627E+002	2.42870E+000	1.29822E-001	6.90300E-001	8.03300E-010	9.13000E-011	2.10800E-007
59	18	8	1	1.28000E-002	2.40000E-003	1.90000E-003	7.21000E-008	7.00000E-010	4.69200E-007	3.38640E+000	7.45171E+002	7.47633E+002	2.46140E+000	1.30398E-001	6.89900E-001	4.52000E-010	5.85000E-011	2.24500E-007
63	20	8	1	1.27000E-002	2.50000E-003	1.90000E-003	6.58000E-008	7.00000E-010	4.35300E-007	3.39660E+000	7.44894E+002	7.47049E+002	2.15530E+000	1.30045E-001	6.90100E-001	6.20600E-010	3.32500E-010	2.08100E-007
67	22	8	1	1.28000E-002	2.40000E-003	1.90000E-003	5.65000E-008	7.00000E-010	3.82600E-007	3.39970E+000	7.47788E+002	7.49854E+002	2.06680E+000	1.28738E-001	6.89000E-001	5.71400E-010	2.67000E-010	1.91600E-007
71	24	8	1	1.28000E-002	2.40000E-003	1.90000E-003	4.59000E-008	7.00000E-010	2.92100E-007	3.42700E+000	7.36302E+002	7.37997E+002	1.69490E+000	1.25104E-001	6.89000E-001	9.04000E-010	2.78700E-010	1.47500E-007
78	27	10	1	1.27000E-002	2.40000E-003	1.90000E-003	2.38000E-008	6.00000E-010	3.61800E-007	3.41660E+000	7.28970E+002	7.30712E+002	1.74120E+000	1.26990E-001	6.88800E-001	6.30000E-010	4.22000E-011	1.73800E-007
