Program name	H0206AD_E4_CP1.dll
Lot number	C127251.00-CPTSTE11-241023-003706@CP
Wafer number	03
Date	2024/10/23
Time	00:37:09

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH1	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
20	17	6	1	1.29000E-002	1.40000E-003	8.00000E-004	4.68000E-008	3.00000E-010	4.32800E-007	3.45220E+000	7.29528E+002	7.31670E+002	2.14200E+000	1.27929E-001	6.88700E-001	3.67600E-010	1.89700E-010	2.01000E-007
24	15	6	1	1.28000E-002	1.40000E-003	8.00000E-004	4.71000E-008	4.00000E-010	4.26600E-007	3.45630E+000	7.28847E+002	7.30930E+002	2.08270E+000	1.27531E-001	6.88900E-001	4.00400E-010	2.15400E-010	1.98500E-007
28	13	6	1	1.28000E-002	1.40000E-003	9.00000E-004	3.48000E-008	6.00000E-010	5.05500E-007	3.46640E+000	7.24963E+002	7.27144E+002	2.18120E+000	1.26913E-001	6.88300E-001	1.68600E-010	1.35800E-010	2.28400E-007
32	11	6	1	1.28000E-002	1.40000E-003	8.00000E-004	2.31000E-008	5.00000E-010	5.00100E-007	3.48950E+000	7.17927E+002	7.19599E+002	1.67260E+000	1.28628E-001	6.89000E-001	2.57600E-010	1.73300E-010	2.18600E-007
42	9	8	1	1.28000E-002	1.50000E-003	8.00000E-004	3.11000E-008	7.00000E-010	6.11300E-007	3.46180E+000	7.25461E+002	7.27204E+002	1.74320E+000	1.26994E-001	6.90500E-001	1.07700E-010	2.24800E-010	2.70400E-007
46	11	8	1	1.28000E-002	1.40000E-003	8.00000E-004	4.34000E-008	5.00000E-010	5.78700E-007	3.46800E+000	7.36469E+002	7.38328E+002	1.85920E+000	1.29104E-001	6.90700E-001	1.94300E-010	2.38800E-010	2.64800E-007
50	13	8	1	1.28000E-002	1.40000E-003	8.00000E-004	5.62000E-008	3.00000E-010	6.33500E-007	3.46070E+000	7.36642E+002	7.38703E+002	2.06140E+000	1.30689E-001	6.91100E-001	2.38800E-010	5.15000E-011	2.82300E-007
54	15	8	1	1.28000E-002	1.40000E-003	9.00000E-004	6.64000E-008	6.00000E-010	6.59600E-007	3.44650E+000	7.37949E+002	7.39977E+002	2.02810E+000	1.31167E-001	6.90500E-001	2.38800E-010	2.08400E-010	2.95300E-007
58	17	8	1	1.28000E-002	1.40000E-003	9.00000E-004	6.84000E-008	4.00000E-010	6.63300E-007	3.42630E+000	7.36756E+002	7.39188E+002	2.43170E+000	1.30861E-001	6.90300E-001	3.27800E-010	2.50500E-010	2.95000E-007
62	19	8	1	1.28000E-002	1.40000E-003	8.00000E-004	6.45000E-008	4.00000E-010	6.51800E-007	3.43590E+000	7.36480E+002	7.38407E+002	1.92780E+000	1.31187E-001	6.90500E-001	3.70000E-010	9.83000E-011	2.90300E-007
66	21	8	1	1.28000E-002	1.40000E-003	9.00000E-004	5.44000E-008	5.00000E-010	6.26900E-007	3.44690E+000	7.34502E+002	7.36826E+002	2.32390E+000	1.30779E-001	6.91100E-001	1.35800E-010	1.68600E-010	2.76100E-007
70	23	8	1	1.28000E-002	1.50000E-003	8.00000E-004	4.30000E-008	5.00000E-010	5.48600E-007	3.44850E+000	7.34161E+002	7.36056E+002	1.89560E+000	1.28546E-001	6.90200E-001	4.47200E-010	2.20100E-010	2.51100E-007
74	25	8	1	1.24000E-002	1.40000E-003	8.00000E-004	2.78000E-008	6.00000E-010	5.26400E-007	3.45240E+000	7.23788E+002	7.25705E+002	1.91700E+000	1.26803E-001	6.89000E-001	3.98100E-010	7.26000E-011	2.37200E-007
77	26	10	1	1.28000E-002	1.40000E-003	9.00000E-004	4.09000E-008	6.00000E-010	5.74400E-007	3.42740E+000	7.29030E+002	7.30787E+002	1.75670E+000	1.26891E-001	6.90000E-001	9.13000E-011	2.11000E-011	2.60700E-007
81	24	10	1	1.28000E-002	1.40000E-003	8.00000E-004	5.02000E-008	6.00000E-010	5.79800E-007	3.44480E+000	7.40478E+002	7.42505E+002	2.02670E+000	1.29423E-001	6.90300E-001	1.63900E-010	2.97400E-010	2.67200E-007
85	22	10	1	1.28000E-002	1.30000E-003	8.00000E-004	6.67000E-008	4.00000E-010	5.75000E-007	3.43660E+000	7.38318E+002	7.40335E+002	2.01770E+000	1.29928E-001	6.90400E-001	3.84000E-010	1.07700E-010	2.61600E-007
89	20	10	1	1.28000E-002	1.40000E-003	9.00000E-004	7.73000E-008	6.00000E-010	5.76100E-007	3.40490E+000	7.37032E+002	7.39238E+002	2.20580E+000	1.29235E-001	6.90300E-001	2.38800E-010	1.89700E-010	2.61400E-007
93	18	10	1	1.27000E-002	1.40000E-003	9.00000E-004	7.99000E-008	6.00000E-010	5.71800E-007	3.37350E+000	7.35974E+002	7.37688E+002	1.71390E+000	1.27842E-001	6.90000E-001	3.55900E-010	2.24800E-010	2.58200E-007
97	16	10	1	1.27000E-002	1.50000E-003	9.00000E-004	8.21000E-008	6.00000E-010	5.62000E-007	3.37170E+000	7.36136E+002	7.37775E+002	1.63910E+000	1.27631E-001	6.89900E-001	3.09100E-010	1.24100E-010	2.55100E-007
101	14	10	1	1.28000E-002	1.40000E-003	8.00000E-004	8.21000E-008	7.00000E-010	5.67000E-007	3.39110E+000	7.40121E+002	7.41830E+002	1.70880E+000	1.28607E-001	6.89900E-001	2.92700E-010	1.28800E-010	2.61600E-007
105	12	10	1	1.27000E-002	1.40000E-003	8.00000E-004	6.78000E-008	3.00000E-010	5.77400E-007	3.42630E+000	7.41930E+002	7.43868E+002	1.93860E+000	1.29658E-001	6.90500E-001	2.92700E-010	1.73300E-010	2.66300E-007
109	10	10	1	1.27000E-002	1.40000E-003	8.00000E-004	5.21000E-008	4.00000E-010	5.78700E-007	3.43160E+000	7.41488E+002	7.43271E+002	1.78300E+000	1.28996E-001	6.90800E-001	3.91000E-010	9.60000E-011	2.66500E-007
113	8	10	1	1.28000E-002	1.30000E-003	8.00000E-004	3.85000E-008	7.00000E-010	5.17900E-007	3.46330E+000	7.33795E+002	7.35364E+002	1.56920E+000	1.26134E-001	6.89900E-001	1.89700E-010	1.89700E-010	2.41300E-007
117	6	10	1	1.28000E-002	1.40000E-003	8.00000E-004	1.49000E-008	5.00000E-010	4.35600E-007	3.49130E+000	7.08533E+002	7.13401E+002	4.86810E+000	1.28812E-001	6.90000E-001	3.62900E-010	9.60000E-011	1.91400E-007
121	5	12	1	1.28000E-002	1.30000E-003	8.00000E-004	1.46000E-008	7.00000E-010	6.17800E-007	3.44560E+000	6.96047E+002	7.01856E+002	5.80880E+000	1.30868E-001	6.89700E-001	1.66200E-010	1.47500E-010	2.46700E-007
125	7	12	1	1.28000E-002	1.30000E-003	8.00000E-004	3.77000E-008	7.00000E-010	4.34800E-007	3.46650E+000	7.34254E+002	7.35925E+002	1.67040E+000	1.26065E-001	6.88700E-001	2.45900E-010	2.45900E-010	2.07500E-007
129	9	12	1	1.27000E-002	1.40000E-003	8.00000E-004	5.60000E-008	4.00000E-010	5.53600E-007	3.44510E+000	7.42309E+002	7.43671E+002	1.36220E+000	1.29317E-001	6.90900E-001	3.65300E-010	4.68000E-011	2.57100E-007
133	11	12	1	1.28000E-002	1.40000E-003	9.00000E-004	7.39000E-008	7.00000E-010	5.48100E-007	3.39580E+000	7.43333E+002	7.44662E+002	1.32920E+000	1.28323E-001	6.90300E-001	4.21500E-010	1.68600E-010	2.56200E-007
137	13	12	1	1.28000E-002	1.50000E-003	8.00000E-004	8.59000E-008	4.00000E-010	5.38300E-007	3.31730E+000	7.37171E+002	7.38527E+002	1.35650E+000	1.26884E-001	6.89300E-001	2.69300E-010	3.02100E-010	2.48600E-007
141	15	12	1	1.28000E-002	1.50000E-003	8.00000E-004	8.74000E-008	5.00000E-010	3.42400E-007	2.84280E+000	7.28052E+002	7.29564E+002	1.51190E+000	1.23112E-001	6.84500E-001	2.66900E-010	1.17000E-011	1.61600E-007
145	17	12	1	1.28000E-002	1.60000E-003	9.00000E-004	9.06000E-008	6.00000E-010	3.11200E-007	2.66840E+000	7.25773E+002	7.27330E+002	1.55710E+000	1.22823E-001	6.81700E-001	3.32500E-010	2.64600E-010	1.49400E-007
149	19	12	1	1.27000E-002	1.60000E-003	8.00000E-004	8.57000E-008	5.00000E-010	3.81600E-007	2.98050E+000	7.28146E+002	7.30133E+002	1.98660E+000	1.23650E-001	6.85200E-001	2.64600E-010	1.42800E-010	1.78100E-007
153	21	12	1	1.28000E-002	1.60000E-003	8.00000E-004	8.42000E-008	4.00000E-010	5.35700E-007	3.35530E+000	7.36496E+002	7.37821E+002	1.32540E+000	1.27422E-001	6.89500E-001	2.17800E-010	2.17800E-010	2.44300E-007
157	23	12	1	1.28000E-002	1.70000E-003	8.00000E-004	7.49000E-008	7.00000E-010	5.90300E-007	3.42640E+000	7.39155E+002	7.40854E+002	1.69890E+000	1.29380E-001	6.90400E-001	2.17800E-010	6.32000E-011	2.69000E-007
161	25	12	1	1.28000E-002	1.60000E-003	8.00000E-004	5.57000E-008	4.00000E-010	5.88700E-007	3.47250E+000	7.38803E+002	7.40250E+002	1.44740E+000	1.29839E-001	6.91200E-001	2.27100E-010	2.48200E-010	2.66000E-007
165	27	12	1	1.28000E-002	1.60000E-003	8.00000E-004	3.96000E-008	6.00000E-010	5.80000E-007	3.45500E+000	7.28504E+002	7.30135E+002	1.63120E+000	1.26883E-001	6.89700E-001	2.29500E-010	1.26400E-010	2.62200E-007
169	27	14	1	1.28000E-002	1.40000E-003	8.00000E-004	4.16000E-008	5.00000E-010	5.16400E-007	3.46950E+000	7.31728E+002	7.33391E+002	1.66310E+000	1.26667E-001	6.89100E-001	2.57600E-010	2.66900E-010	2.39900E-007
173	25	14	1	1.27000E-002	1.70000E-003	8.00000E-004	5.92000E-008	5.00000E-010	5.76000E-007	3.45880E+000	7.40634E+002	7.42025E+002	1.39070E+000	1.30146E-001	6.90700E-001	1.96700E-010	2.08400E-010	2.64100E-007
177	23	14	1	1.28000E-002	1.70000E-003	9.00000E-004	7.86000E-008	5.00000E-010	5.74900E-007	3.42210E+000	7.39580E+002	7.41177E+002	1.59780E+000	1.29099E-001	6.90600E-001	2.62200E-010	1.35800E-010	2.62800E-007
181	21	14	1	1.27000E-002	1.70000E-003	9.00000E-004	8.48000E-008	7.00000E-010	5.14800E-007	3.29910E+000	7.33508E+002	7.34952E+002	1.44420E+000	1.25563E-001	6.88600E-001	2.83300E-010	1.85000E-010	2.36000E-007
185	19	14	1	1.28000E-002	1.90000E-003	8.00000E-004	9.11000E-008	3.00000E-010	2.77500E-007	2.61260E+000	7.24495E+002	7.26193E+002	1.69810E+000	1.23076E-001	6.81600E-001	4.35500E-010	2.34000E-011	1.33500E-007
189	17	14	1	1.28000E-002	1.50000E-003	9.00000E-004	9.19000E-008	4.00000E-010	3.56300E-007	2.50270E+000	7.15993E+002	7.17722E+002	1.72810E+000	1.23102E-001	6.78700E-001	2.57600E-010	4.21000E-011	1.62400E-007
193	15	14	1	1.28000E-002	1.60000E-003	8.00000E-004	9.05000E-008	5.00000E-010	2.70500E-007	2.59910E+000	7.23146E+002	7.25081E+002	1.93520E+000	1.22868E-001	6.81700E-001	3.84000E-010	2.64600E-010	1.29800E-007
197	13	14	1	1.27000E-002	1.60000E-003	9.00000E-004	8.54000E-008	4.00000E-010	4.11200E-007	3.08260E+000	7.33515E+002	7.34991E+002	1.47570E+000	1.24123E-001	6.86000E-001	3.62900E-010	2.11000E-011	1.94200E-007
201	11	14	1	1.28000E-002	1.70000E-003	8.00000E-004	7.82000E-008	7.00000E-010	5.48200E-007	3.35530E+000	7.40160E+002	7.41576E+002	1.41650E+000	1.28389E-001	6.89600E-001	1.35800E-010	1.56900E-010	2.54200E-007
205	9	14	1	1.28000E-002	1.70000E-003	9.00000E-004	6.00000E-008	7.00000E-010	5.57900E-007	3.41780E+000	7.43522E+002	7.44924E+002	1.40270E+000	1.29945E-001	6.90200E-001	2.83300E-010	1.96700E-010	2.60000E-007
209	7	14	1	1.28000E-002	1.60000E-003	8.00000E-004	4.01000E-008	4.00000E-010	4.09800E-007	3.42820E+000	7.38898E+002	7.40679E+002	1.78120E+000	1.26507E-001	6.88400E-001	3.32500E-010	1.24100E-010	1.99800E-007
213	5	14	1	1.28000E-002	1.40000E-003	8.00000E-004	1.66000E-008	7.00000E-010	4.46400E-007	3.48920E+000	7.17518E+002	7.20025E+002	2.50660E+000	1.28177E-001	6.89400E-001	2.57600E-010	6.79000E-011	2.00000E-007
217	6	16	1	1.28000E-002	1.40000E-003	8.00000E-004	2.53000E-008	7.00000E-010	5.03100E-007	3.46840E+000	7.27074E+002	7.28392E+002	1.31870E+000	1.25273E-001	6.88500E-001	1.31100E-010	2.08400E-010	1.96500E-007
221	8	16	1	1.28000E-002	1.50000E-003	9.00000E-004	4.63000E-008	5.00000E-010	5.04900E-007	3.43910E+000	7.41911E+002	7.43261E+002	1.35040E+000	1.28856E-001	6.89800E-001	2.85700E-010	2.45900E-010	2.39200E-007
225	10	16	1	1.27000E-002	1.70000E-003	8.00000E-004	6.58000E-008	6.00000E-010	5.28800E-007	3.40500E+000	7.41292E+002	7.43633E+002	2.34180E+000	1.29052E-001	6.90600E-001	5.15000E-011	8.20000E-011	2.45100E-007
229	12	16	1	1.29000E-002	1.80000E-003	9.00000E-004	7.97000E-008	7.00000E-010	4.99600E-007	3.28790E+000	7.38253E+002	7.39838E+002	1.58510E+000	1.28206E-001	6.88900E-001	1.82600E-010	1.31100E-010	2.32300E-007
233	14	16	1	1.28000E-002	1.70000E-003	9.00000E-004	8.42000E-008	4.00000E-010	3.66800E-007	3.04060E+000	7.33308E+002	7.35174E+002	1.86600E+000	1.23558E-001	6.85800E-001	2.15400E-010	3.44200E-010	1.76500E-007
237	16	16	1	1.27000E-002	1.90000E-003	8.00000E-004	8.93000E-008	6.00000E-010	3.26100E-007	2.67870E+000	7.25064E+002	7.26470E+002	1.40680E+000	1.23718E-001	6.82200E-001	2.29500E-010	1.70900E-010	1.52400E-007
241	18	16	1	1.27000E-002	1.80000E-003	9.00000E-004	9.08000E-008	5.00000E-010	2.82700E-007	2.68670E+000	7.28066E+002	7.29784E+002	1.71830E+000	1.22582E-001	6.82700E-001	4.21500E-010	3.04000E-011	1.39400E-007
245	20	16	1	1.28000E-002	1.70000E-003	9.00000E-004	8.70000E-008	5.00000E-010	4.43000E-007	3.15730E+000	7.30724E+002	7.32635E+002	1.91140E+000	1.25052E-001	6.86900E-001	2.76300E-010	2.15400E-010	2.04700E-007
249	22	16	1	1.28000E-002	1.90000E-003	9.00000E-004	7.97000E-008	7.00000E-010	5.53800E-007	3.36750E+000	7.40185E+002	7.41666E+002	1.48150E+000	1.28122E-001	6.89500E-001	2.85700E-010	1.45200E-010	2.57300E-007
253	24	16	1	1.28000E-002	1.70000E-003	9.00000E-004	6.55000E-008	4.00000E-010	5.74200E-007	3.43520E+000	7.40792E+002	7.42526E+002	1.73480E+000	1.30170E-001	6.90700E-001	3.88700E-010	1.26400E-010	2.66000E-007
257	26	16	1	1.27000E-002	1.60000E-003	9.00000E-004	4.51000E-008	5.00000E-010	4.90200E-007	3.45780E+000	7.40056E+002	7.41870E+002	1.81440E+000	1.27827E-001	6.89800E-001	1.10000E-010	2.24800E-010	2.33400E-007
261	25	18	1	1.28000E-002	1.50000E-003	9.00000E-004	4.48000E-008	6.00000E-010	5.01800E-007	3.46670E+000	7.38026E+002	7.39614E+002	1.58780E+000	1.27778E-001	6.90400E-001	2.62200E-010	2.17800E-010	2.35900E-007
265	23	18	1	1.28000E-002	1.70000E-003	8.00000E-004	6.38000E-008	6.00000E-010	5.64800E-007	3.43750E+000	7.39550E+002	7.41047E+002	1.49770E+000	1.29761E-001	6.91200E-001	4.63600E-010	2.90300E-010	2.56400E-007
269	21	18	1	1.28000E-002	1.70000E-003	8.00000E-004	7.71000E-008	5.00000E-010	5.65100E-007	3.39230E+000	7.38704E+002	7.40292E+002	1.58770E+000	1.29010E-001	6.90300E-001	3.41900E-010	7.96000E-011	2.58700E-007
273	19	18	1	1.28000E-002	1.80000E-003	9.00000E-004	8.27000E-008	5.00000E-010	5.57900E-007	3.33260E+000	7.36741E+002	7.38487E+002	1.74590E+000	1.27749E-001	6.89200E-001	1.00700E-010	2.88000E-010	2.54100E-007
277	17	18	1	1.28000E-002	1.80000E-003	8.00000E-004	8.33000E-008	4.00000E-010	5.48800E-007	3.33220E+000	7.35343E+002	7.37519E+002	2.17530E+000	1.27128E-001	6.89400E-001	3.34800E-010	2.22400E-010	2.50000E-007
281	15	18	1	1.28000E-002	1.70000E-003	8.00000E-004	8.17000E-008	8.00000E-010	5.39000E-007	3.31700E+000	7.36764E+002	7.38976E+002	2.21200E+000	1.27634E-001	6.89200E-001	3.11400E-010	9.40000E-012	2.48100E-007
285	13	18	1	1.27000E-002	1.70000E-003	9.00000E-004	7.73000E-008	7.00000E-010	4.86700E-007	3.34330E+000	7.40183E+002	7.42493E+002	2.30950E+000	1.28288E-001	6.89500E-001	5.39000E-011	9.37000E-011	2.27000E-007
289	11	18	1	1.27000E-002	1.60000E-003	8.00000E-004	6.30000E-008	5.00000E-010	4.81400E-007	3.37950E+000	7.42401E+002	7.44219E+002	1.81820E+000	1.29171E-001	6.89400E-001	3.02100E-010	3.04000E-011	2.27400E-007
293	9	18	1	1.28000E-002	1.60000E-003	9.00000E-004	4.52000E-008	6.00000E-010	4.99200E-007	3.44030E+000	7.42548E+002	7.44155E+002	1.60730E+000	1.28424E-001	6.89600E-001	1.92000E-010	2.10700E-010	2.38300E-007
297	7	18	1	1.27000E-002	1.60000E-003	8.00000E-004	2.81000E-008	5.00000E-010	3.38100E-007	3.47790E+000	7.26807E+002	7.28174E+002	1.36680E+000	1.25217E-001	6.89300E-001	2.41200E-010	1.00700E-010	1.62200E-007
301	8	20	1	1.30000E-002	1.50000E-003	8.00000E-004	1.93000E-008	6.00000E-010	4.14800E-007	3.51460E+000	7.24130E+002	7.26269E+002	2.13960E+000	1.25540E-001	6.89200E-001	3.13800E-010	1.56900E-010	1.92800E-007
303	10	20	1	1.29000E-002	1.70000E-003	9.00000E-004	3.85000E-008	8.00000E-010	4.07000E-007	3.44870E+000	7.35336E+002	7.36938E+002	1.60240E+000	1.25341E-001	6.89400E-001	2.38800E-010	1.00700E-010	1.95200E-007
307	12	20	1	1.28000E-002	1.80000E-003	1.00000E-003	4.92000E-008	5.00000E-010	5.03500E-007	3.44930E+000	7.42283E+002	7.44320E+002	2.03690E+000	1.29848E-001	6.90800E-001	4.07400E-010	2.78600E-010	2.38400E-007
311	14	20	1	1.28000E-002	1.40000E-003	9.00000E-004	5.77000E-008	8.00000E-010	5.42500E-007	3.43920E+000	7.41908E+002	7.44277E+002	2.36910E+000	1.29332E-001	6.90500E-001	4.07400E-010	9.37000E-011	2.54500E-007
315	16	20	1	1.28000E-002	1.60000E-003	8.00000E-004	6.29000E-008	7.00000E-010	5.40400E-007	3.42300E+000	7.43182E+002	7.45696E+002	2.51400E+000	1.28323E-001	6.90300E-001	2.50500E-010	1.75600E-010	2.55300E-007
319	18	20	1	1.27000E-002	1.70000E-003	8.00000E-004	6.39000E-008	5.00000E-010	5.50400E-007	3.42560E+000	7.40318E+002	7.42677E+002	2.35960E+000	1.28853E-001	6.90100E-001	2.01400E-010	2.71600E-010	2.55600E-007
323	20	20	1	1.28000E-002	1.70000E-003	8.00000E-004	5.87000E-008	5.00000E-010	4.99800E-007	3.43760E+000	7.38936E+002	7.41185E+002	2.24930E+000	1.29472E-001	6.90200E-001	3.84000E-010	8.20000E-011	2.30900E-007
327	22	20	1	1.28000E-002	1.60000E-003	9.00000E-004	4.95000E-008	7.00000E-010	4.25200E-007	3.42890E+000	7.41018E+002	7.42925E+002	1.90610E+000	1.28340E-001	6.89100E-001	1.40500E-010	2.31800E-010	2.05700E-007
331	24	20	1	1.30000E-002	1.70000E-003	8.00000E-004	4.01000E-008	4.00000E-010	3.30500E-007	3.45400E+000	7.30253E+002	7.31924E+002	1.67110E+000	1.24571E-001	6.89800E-001	2.34100E-010	1.05400E-010	1.64300E-007
333	20	22	1	1.29000E-002	1.70000E-003	8.00000E-004	3.58000E-008	4.00000E-010	3.23600E-007	3.44160E+000	7.29625E+002	7.31269E+002	1.64330E+000	1.24778E-001	6.89900E-001	1.85000E-010	1.17000E-011	1.61800E-007
335	18	22	1	1.29000E-002	1.60000E-003	8.00000E-004	3.89000E-008	5.00000E-010	3.20400E-007	3.40850E+000	7.35253E+002	7.36732E+002	1.47890E+000	1.25184E-001	6.89700E-001	3.44200E-010	7.96000E-011	1.59300E-007
338	16	22	1	1.28000E-002	1.70000E-003	9.00000E-004	4.00000E-008	7.00000E-010	3.16400E-007	3.40120E+000	7.35889E+002	7.37258E+002	1.36930E+000	1.24966E-001	6.89400E-001	2.57600E-010	9.13000E-011	1.57800E-007
342	14	22	1	1.28000E-002	1.60000E-003	8.00000E-004	3.56000E-008	8.00000E-010	3.28500E-007	3.43020E+000	7.31146E+002	7.32745E+002	1.59910E+000	1.24618E-001	6.89700E-001	2.10700E-010	1.17100E-010	1.63100E-007
345	12	22	1	1.30000E-002	1.60000E-003	8.00000E-004	2.61000E-008	6.00000E-010	3.71900E-007	3.49500E+000	7.24757E+002	7.26910E+002	2.15270E+000	1.24408E-001	6.88900E-001	1.59200E-010	3.91000E-010	1.80600E-007

13	22	6	1	1.28000E-002	2.30000E-003	1.90000E-003	2.38000E-008	8.00000E-010	4.46900E-007	3.48830E+000	7.21553E+002	7.23823E+002	2.26980E+000	1.27114E-001	6.87800E-001	6.79100E-010	4.22000E-011	2.04400E-007
17	20	6	1	1.27000E-002	2.30000E-003	1.90000E-003	3.82000E-008	7.00000E-010	4.12400E-007	3.46970E+000	7.26986E+002	7.29237E+002	2.25060E+000	1.26804E-001	6.87700E-001	5.59700E-010	1.26500E-010	1.93800E-007
21	18	6	1	1.29000E-002	2.30000E-003	1.90000E-003	4.73000E-008	6.00000E-010	3.84800E-007	3.45000E+000	7.30193E+002	7.32319E+002	2.12600E+000	1.27517E-001	6.88500E-001	8.40700E-010	1.82700E-010	1.81400E-007
25	16	6	1	1.28000E-002	2.30000E-003	1.90000E-003	4.56000E-008	5.00000E-010	4.23000E-007	3.45320E+000	7.30144E+002	7.32397E+002	2.25330E+000	1.27629E-001	6.88000E-001	9.22700E-010	2.31800E-010	1.99400E-007
29	14	6	1	1.28000E-002	2.30000E-003	1.90000E-003	4.16000E-008	4.00000E-010	4.59900E-007	3.46590E+000	7.28577E+002	7.30399E+002	1.82180E+000	1.27151E-001	6.87700E-001	6.48700E-010	4.70000E-012	2.13100E-007
33	12	6	1	1.28000E-002	2.30000E-003	1.90000E-003	2.65000E-008	8.00000E-010	5.05100E-007	3.47440E+000	7.22767E+002	7.25036E+002	2.26910E+000	1.27181E-001	6.87800E-001	6.90800E-010	1.07700E-010	2.27200E-007
36	10	6	5	1.32000E-002	2.20000E-003	1.90000E-003	1.14000E-008	1.30000E-009	1.38623E-005
39	8	8	1	1.32000E-002	2.30000E-003	1.80000E-003	2.00000E-008	8.00000E-010	4.76000E-007	3.49870E+000	7.21875E+002	7.23556E+002	1.68090E+000	1.27531E-001	6.88700E-001	6.27600E-010	5.15000E-011	2.16100E-007
43	10	8	1	1.28000E-002	2.30000E-003	1.90000E-003	3.92000E-008	4.00000E-010	5.64600E-007	3.46250E+000	7.33030E+002	7.34364E+002	1.33420E+000	1.27339E-001	6.89700E-001	5.55000E-010	1.45200E-010	2.60800E-007
47	12	8	1	1.28000E-002	2.30000E-003	1.90000E-003	5.12000E-008	8.00000E-010	6.15500E-007	3.45720E+000	7.38492E+002	7.40345E+002	1.85310E+000	1.30434E-001	6.89700E-001	6.69800E-010	2.59900E-010	2.81100E-007
51	14	8	1	1.28000E-002	2.30000E-003	1.90000E-003	6.23000E-008	4.00000E-010	6.22600E-007	3.46040E+000	7.38825E+002	7.40376E+002	1.55060E+000	1.30901E-001	6.90300E-001	7.49400E-010	5.39000E-011	2.81800E-007
55	16	8	1	1.28000E-002	2.40000E-003	1.90000E-003	6.60000E-008	7.00000E-010	6.35700E-007	3.44370E+000	7.40064E+002	7.41631E+002	1.56670E+000	1.31013E-001	6.89700E-001	7.42400E-010	2.03700E-010	2.87700E-007
59	18	8	1	1.28000E-002	2.40000E-003	1.90000E-003	6.56000E-008	6.00000E-010	6.26400E-007	3.44180E+000	7.37089E+002	7.39191E+002	2.10200E+000	1.31116E-001	6.90400E-001	8.75900E-010	2.13100E-010	2.78700E-007
63	20	8	1	1.28000E-002	2.50000E-003	1.90000E-003	5.97000E-008	5.00000E-010	6.39400E-007	3.44630E+000	7.36003E+002	7.37618E+002	1.61520E+000	1.31237E-001	6.89900E-001	9.36700E-010	7.73000E-011	2.84100E-007
67	22	8	1	1.28000E-002	2.50000E-003	1.90000E-003	4.80000E-008	8.00000E-010	5.78500E-007	3.44990E+000	7.36211E+002	7.38452E+002	2.24140E+000	1.30102E-001	6.89400E-001	6.83800E-010	5.85000E-011	2.64600E-007
71	24	8	1	1.28000E-002	2.40000E-003	1.90000E-003	4.09000E-008	6.00000E-010	4.98700E-007	3.44150E+000	7.29759E+002	7.31497E+002	1.73770E+000	1.26552E-001	6.88500E-001	9.25000E-010	1.28800E-010	2.29300E-007
78	27	10	1	1.28000E-002	2.50000E-003	1.90000E-003	2.43000E-008	6.00000E-010	5.03500E-007	3.47030E+000	7.21353E+002	7.23030E+002	1.67730E+000	1.27583E-001	6.88700E-001	5.64400E-010	2.81000E-011	2.25500E-007
