Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-164618@CP
Wafer number	04
Date	2025/03/12
Time	16:49:16

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
83	9	12	1	1.33000E-002	1.50000E-003	9.00000E-004	3.37940E-009	1.70000E-009	4.00930E-009	3.46260E+000	7.81101E+002	7.82538E+002	1.43630E+000	5.68879E-001	7.97100E-001	1.19440E-009	1.71430E-009	3.09130E-009
87	11	12	1	1.33000E-002	1.20000E-003	9.00000E-004	5.22480E-009	1.60000E-009	1.61120E-009	3.46890E+000	7.70274E+002	7.71840E+002	1.56660E+000	5.80444E-001	7.97100E-001	1.21540E-009	1.55030E-009	2.65100E-009
91	13	12	1	1.32000E-002	1.20000E-003	9.00000E-004	5.91570E-009	1.60000E-009	2.26700E-009	3.47380E+000	7.57393E+002	7.59131E+002	1.73730E+000	5.88131E-001	7.96700E-001	1.19910E-009	1.95550E-009	7.02600E-010
95	15	12	1	1.32000E-002	1.30000E-003	9.00000E-004	6.33020E-009	1.40000E-009	2.24820E-009	3.46380E+000	7.56638E+002	7.58320E+002	1.68280E+000	5.96084E-001	7.96500E-001	8.08000E-010	1.77280E-009	3.30680E-009
99	17	12	1	1.32000E-002	1.30000E-003	1.00000E-003	5.83840E-009	1.50000E-009	2.47310E-009	3.46090E+000	7.55370E+002	7.57089E+002	1.71840E+000	5.89659E-001	7.96700E-001	1.16160E-009	2.05850E-009	4.96500E-010
103	19	12	1	1.32000E-002	1.30000E-003	9.00000E-004	5.21780E-009	1.60000E-009	2.25760E-009	3.45040E+000	7.56468E+002	7.57951E+002	1.48310E+000	5.85885E-001	7.96400E-001	1.16160E-009	2.00000E-009	2.85710E-009
107	21	12	1	1.32000E-002	1.30000E-003	1.00000E-003	4.01170E-009	1.60000E-009	6.60420E-009	3.44840E+000	7.71001E+002	7.72485E+002	1.48340E+000	5.74579E-001	7.96700E-001	1.31850E-009	1.84540E-009	1.63930E-009
111	23	12	1	1.31000E-002	1.20000E-003	9.00000E-004	3.66980E-009	1.40000E-009	7.03510E-009	3.46770E+000	7.76247E+002	7.78220E+002	1.97360E+000	5.46058E-001	7.97100E-001	1.29740E-009	1.79160E-009	2.99800E-010
113	23	14	1	1.31000E-002	1.30000E-003	1.00000E-003	3.64870E-009	1.60000E-009	3.57840E-009	3.46830E+000	7.84130E+002	7.85851E+002	1.72140E+000	5.52344E-001	7.96700E-001	1.31850E-009	1.61590E-009	1.87350E-009
117	21	14	1	1.32000E-002	1.30000E-003	1.00000E-003	4.51520E-009	1.60000E-009	4.78690E-009	3.43270E+000	7.63644E+002	7.65387E+002	1.74290E+000	5.73039E-001	7.96600E-001	1.26700E-009	1.80560E-009	1.77050E-009
121	19	14	1	1.33000E-002	1.30000E-003	1.00000E-003	5.96720E-009	1.50000E-009	1.82670E-009	3.45410E+000	7.56117E+002	7.57715E+002	1.59800E+000	5.81494E-001	7.95900E-001	1.27870E-009	1.70720E-009	1.95780E-009
125	17	14	1	1.32000E-002	1.30000E-003	9.00000E-004	6.36530E-009	1.50000E-009	1.48010E-009	3.45350E+000	7.61861E+002	7.63374E+002	1.51240E+000	5.84666E-001	7.96400E-001	1.02580E-009	1.79160E-009	2.88520E-009
129	15	14	1	1.32000E-002	1.30000E-003	9.00000E-004	6.15690E-009	1.70000E-009	1.56440E-009	3.44410E+000	7.65073E+002	7.66668E+002	1.59500E+000	5.80420E-001	7.96100E-001	1.10770E-009	2.00940E-009	2.58550E-009
133	13	14	1	1.32000E-002	1.30000E-003	9.00000E-004	6.49180E-009	1.30000E-009	2.12640E-009	3.46000E+000	7.64311E+002	7.65718E+002	1.40670E+000	5.84749E-001	7.97000E-001	8.99300E-010	1.84780E-009	1.01170E-009
137	11	14	1	1.32000E-002	1.40000E-003	9.00000E-004	5.55970E-009	1.50000E-009	1.55500E-009	3.47190E+000	7.71221E+002	7.73003E+002	1.78200E+000	5.71080E-001	7.96500E-001	1.17330E-009	2.01170E-009	2.38870E-009
141	9	14	1	1.32000E-002	1.30000E-003	1.00000E-003	4.60180E-009	1.50000E-009	4.13110E-009	3.45820E+000	7.73870E+002	7.75303E+002	1.43300E+000	5.75195E-001	7.96900E-001	1.11940E-009	1.69790E-009	3.93400E-010
145	7	14	1	1.32000E-002	1.30000E-003	9.00000E-004	3.21080E-009	1.70000E-009	5.01170E-009	3.46810E+000	7.82034E+002	7.84040E+002	2.00640E+000	5.56743E-001	7.96600E-001	1.11470E-009	1.95780E-009	6.74500E-010
151	5	16	3	1.32000E-002	2.50000E-003	1.20000E-003	1.38700E-005
155	7	16	1	1.32000E-002	1.30000E-003	9.00000E-004	3.90630E-009	1.40000E-009	4.11240E-009	3.46660E+000	7.85919E+002	7.88031E+002	2.11220E+000	5.62236E-001	7.96700E-001	1.04920E-009	1.81970E-009	2.35130E-009
159	9	16	1	1.32000E-002	1.40000E-003	9.00000E-004	4.38170E-009	1.80000E-009	4.50580E-009	3.46060E+000	7.67596E+002	7.69118E+002	1.52150E+000	5.82282E-001	7.97800E-001	1.15220E-009	1.91330E-009	2.42620E-009
163	11	16	1	1.32000E-002	1.30000E-003	1.00000E-003	6.05620E-009	1.30000E-009	2.16390E-009	3.48640E+000	7.73469E+002	7.75310E+002	1.84050E+000	5.73152E-001	7.96100E-001	7.91600E-010	1.58080E-009	1.20840E-009
167	13	16	1	1.31000E-002	1.30000E-003	9.00000E-004	6.60890E-009	1.60000E-009	2.03280E-009	3.44640E+000	7.66694E+002	7.68298E+002	1.60370E+000	5.75806E-001	7.97300E-001	1.11470E-009	1.64170E-009	2.22950E-009
171	15	16	1	1.31000E-002	1.30000E-003	9.00000E-004	6.08190E-009	1.80000E-009	3.20370E-009	3.43240E+000	7.59962E+002	7.61646E+002	1.68420E+000	5.69449E-001	7.96600E-001	1.25990E-009	1.86180E-009	8.24400E-010
175	17	16	1	1.32000E-002	1.30000E-003	1.00000E-003	6.14280E-009	1.40000E-009	2.28570E-009	3.43900E+000	7.61502E+002	7.63326E+002	1.82380E+000	5.76009E-001	7.96100E-001	1.05620E-009	1.96490E-009	1.92970E-009
179	19	16	1	1.32000E-002	1.30000E-003	1.00000E-003	6.04210E-009	1.60000E-009	2.57610E-009	3.45650E+000	7.58923E+002	7.60447E+002	1.52390E+000	5.79883E-001	7.96100E-001	1.25530E-009	1.91100E-009	2.52930E-009
183	21	16	1	1.32000E-002	1.40000E-003	9.00000E-004	5.33950E-009	1.50000E-009	4.33720E-009	3.46460E+000	7.64275E+002	7.66092E+002	1.81710E+000	5.78969E-001	7.97400E-001	1.07490E-009	1.83140E-009	2.30440E-009
187	23	16	1	1.31000E-002	1.40000E-003	1.00000E-003	3.40510E-009	1.60000E-009	1.84540E-009	3.47150E+000	7.83260E+002	7.84931E+002	1.67150E+000	5.66655E-001	7.97300E-001	1.36060E-009	1.75410E-009	2.63230E-009
191	23	18	1	1.32000E-002	1.30000E-003	1.00000E-003	3.94850E-009	1.70000E-009	1.40510E-009	3.46770E+000	7.84842E+002	7.87007E+002	2.16560E+000	5.67926E-001	7.97600E-001	1.09840E-009	1.93210E-009	2.09830E-009
195	21	18	1	1.32000E-002	1.30000E-003	1.00000E-003	4.77280E-009	1.60000E-009	3.78450E-009	3.45620E+000	7.64939E+002	7.66743E+002	1.80380E+000	5.79094E-001	7.97000E-001	9.67200E-010	2.03510E-009	1.33020E-009
199	19	18	1	1.32000E-002	1.30000E-003	1.00000E-003	5.87120E-009	1.70000E-009	2.19200E-009	3.44570E+000	7.63958E+002	7.65411E+002	1.45280E+000	5.79591E-001	7.96200E-001	1.18500E-009	2.03040E-009	2.32320E-009
203	17	18	1	1.33000E-002	1.30000E-003	1.00000E-003	6.31850E-009	1.40000E-009	2.12640E-009	3.43350E+000	7.65767E+002	7.67636E+002	1.86980E+000	5.72794E-001	7.95500E-001	1.13580E-009	1.82900E-009	1.91100E-009
207	15	18	1	1.32000E-002	1.20000E-003	1.00000E-003	5.85710E-009	1.60000E-009	1.61120E-009	3.43000E+000	7.58258E+002	7.59917E+002	1.65910E+000	5.59526E-001	7.96600E-001	1.02340E-009	1.73300E-009	2.40750E-009
211	13	18	1	1.32000E-002	1.30000E-003	1.00000E-003	6.68150E-009	1.70000E-009	1.24590E-009	3.44610E+000	7.69058E+002	7.70588E+002	1.52930E+000	5.72321E-001	7.95500E-001	1.30680E-009	1.96490E-009	4.30900E-010
215	11	18	1	1.31000E-002	1.30000E-003	1.00000E-003	5.49180E-009	1.50000E-009	2.53860E-009	3.48350E+000	7.74312E+002	7.76412E+002	2.10020E+000	5.74482E-001	7.96600E-001	1.02340E-009	1.88760E-009	2.24820E-009
219	9	18	1	1.32000E-002	1.30000E-003	9.00000E-004	4.23420E-009	1.60000E-009	4.25290E-009	3.44910E+000	7.66204E+002	7.67625E+002	1.42080E+000	5.82995E-001	7.97000E-001	1.37700E-009	2.03040E-009	1.49900E-010
223	7	18	1	1.31000E-002	1.30000E-003	1.00000E-003	3.42150E-009	1.40000E-009	4.14050E-009	3.45930E+000	7.82329E+002	7.85883E+002	3.55420E+000	5.61010E-001	7.96800E-001	1.10540E-009	1.85480E-009	2.81000E-011
231	7	20	1	1.32000E-002	1.30000E-003	9.00000E-004	3.17800E-009	1.50000E-009	5.45200E-009	3.45100E+000	7.82676E+002	7.84967E+002	2.29070E+000	5.61794E-001	7.96900E-001	1.44030E-009	1.67910E-009	7.96200E-010
235	9	20	1	1.32000E-002	1.40000E-003	1.00000E-003	4.40040E-009	1.60000E-009	4.21540E-009	3.44590E+000	7.72282E+002	7.73723E+002	1.44090E+000	5.81354E-001	7.95800E-001	1.01170E-009	1.75640E-009	2.22950E-009
239	11	20	1	1.32000E-002	1.30000E-003	1.00000E-003	5.86880E-009	1.50000E-009	2.05150E-009	3.47170E+000	7.72754E+002	7.74669E+002	1.91530E+000	5.76981E-001	7.95500E-001	1.20840E-009	1.99530E-009	1.49880E-009
243	13	20	1	1.32000E-002	1.30000E-003	9.00000E-004	6.46600E-009	1.40000E-009	1.77050E-009	3.45250E+000	7.66509E+002	7.68045E+002	1.53650E+000	5.81058E-001	7.96200E-001	1.27170E-009	1.97190E-009	1.34890E-009
247	15	20	1	1.31000E-002	1.30000E-003	1.00000E-003	6.33720E-009	1.60000E-009	2.15460E-009	3.43190E+000	7.63390E+002	7.64880E+002	1.48940E+000	5.76310E-001	7.96400E-001	9.97700E-010	1.94850E-009	1.52690E-009
251	17	20	1	1.32000E-002	1.40000E-003	9.00000E-004	6.21310E-009	1.40000E-009	2.38870E-009	3.43210E+000	7.65765E+002	7.67369E+002	1.60350E+000	5.77144E-001	7.96200E-001	9.62500E-010	1.88050E-009	1.71430E-009
255	19	20	1	1.32000E-002	1.30000E-003	9.00000E-004	5.98830E-009	1.60000E-009	2.12640E-009	3.44560E+000	7.69844E+002	7.71284E+002	1.43990E+000	5.80531E-001	7.95800E-001	1.03750E-009	1.91570E-009	1.81730E-009
259	21	20	1	1.32000E-002	1.40000E-003	1.00000E-003	5.16160E-009	1.50000E-009	5.84540E-009	3.45900E+000	7.73378E+002	7.75002E+002	1.62460E+000	5.79099E-001	7.96900E-001	1.03510E-009	1.74470E-009	9.37000E-011
263	23	20	1	1.30000E-002	1.30000E-003	9.00000E-004	3.64870E-009	1.70000E-009	2.57610E-009	3.46390E+000	7.90804E+002	7.92486E+002	1.68210E+000	5.63638E-001	7.97400E-001	1.51990E-009	1.90400E-009	2.51990E-009
265	23	22	1	1.33000E-002	1.30000E-003	8.00000E-004	3.69550E-009	1.30000E-009	5.79860E-009	3.45060E+000	7.86233E+002	7.88132E+002	1.89890E+000	5.54056E-001	7.96600E-001	1.76110E-009	1.57140E-009	1.04920E-009
266	21	22	1	1.32000E-002	1.30000E-003	1.00000E-003	4.23420E-009	1.70000E-009	5.94840E-009	3.45620E+000	7.80323E+002	7.81848E+002	1.52460E+000	5.77115E-001	7.96400E-001	1.25060E-009	1.69090E-009	1.87400E-010
270	19	22	1	1.32000E-002	1.30000E-003	1.00000E-003	5.16160E-009	1.50000E-009	1.70490E-009	3.45280E+000	7.64820E+002	7.66234E+002	1.41410E+000	5.80703E-001	7.95900E-001	1.09370E-009	1.97890E-009	1.16160E-009
274	17	22	1	1.32000E-002	1.30000E-003	1.00000E-003	5.95080E-009	1.40000E-009	1.55500E-009	3.45480E+000	7.69475E+002	7.71000E+002	1.52560E+000	5.85925E-001	7.96300E-001	9.83600E-010	1.86180E-009	2.38870E-009
278	15	22	1	1.32000E-002	1.30000E-003	9.00000E-004	6.30210E-009	1.50000E-009	2.24820E-009	3.44640E+000	7.66516E+002	7.68556E+002	2.03980E+000	5.83315E-001	7.96300E-001	9.46100E-010	1.85950E-009	2.44490E-009
282	13	22	1	1.32000E-002	1.30000E-003	9.00000E-004	6.48710E-009	1.70000E-009	1.29270E-009	3.46400E+000	7.64532E+002	7.66078E+002	1.54580E+000	5.88752E-001	7.97000E-001	1.21080E-009	1.86420E-009	1.77980E-009
286	11	22	1	1.31000E-002	1.30000E-003	9.00000E-004	6.14520E-009	1.80000E-009	1.33960E-009	3.46730E+000	7.69896E+002	7.71400E+002	1.50380E+000	5.82424E-001	7.95800E-001	1.10540E-009	1.52460E-009	9.64900E-010
290	9	22	1	1.32000E-002	1.30000E-003	1.00000E-003	3.83840E-009	1.60000E-009	1.02110E-009	3.46030E+000	7.77969E+002	7.79361E+002	1.39220E+000	5.78473E-001	7.95400E-001	1.26930E-009	1.70260E-009	1.73300E-009
294	7	22	1	1.32000E-002	1.30000E-003	9.00000E-004	2.96950E-009	1.80000E-009	5.49880E-009	3.48650E+000	7.78011E+002	7.80074E+002	2.06230E+000	5.62644E-001	7.96900E-001	1.19910E-009	1.76810E-009	1.44260E-009
300	9	24	1	1.31000E-002	1.30000E-003	9.00000E-004	3.92970E-009	1.70000E-009	4.96500E-010	3.45400E+000	7.89398E+002	7.89837E+002	4.39600E-001	5.63512E-001	7.95200E-001	1.39580E-009	1.71190E-009	1.18030E-009
304	11	24	1	1.32000E-002	1.30000E-003	9.00000E-004	4.74700E-009	1.70000E-009	5.52700E-010	3.45520E+000	7.80047E+002	7.81487E+002	1.43930E+000	5.81259E-001	7.95800E-001	1.20370E-009	1.84540E-009	8.33700E-010
308	13	24	1	1.32000E-002	1.30000E-003	1.00000E-003	5.18030E-009	1.60000E-009	1.64870E-009	3.46010E+000	7.70986E+002	7.72688E+002	1.70120E+000	5.91263E-001	7.96600E-001	1.26460E-009	1.76350E-009	2.49180E-009
312	15	24	1	1.32000E-002	1.30000E-003	1.00000E-003	5.45430E-009	1.50000E-009	9.40000E-012	3.45900E+000	7.65544E+002	7.67336E+002	1.79180E+000	5.89720E-001	7.96500E-001	9.71900E-010	2.00470E-009	1.29270E-009
316	17	24	1	1.32000E-002	1.40000E-003	1.00000E-003	5.18500E-009	1.50000E-009	1.59250E-009	3.45730E+000	7.70077E+002	7.71972E+002	1.89510E+000	5.91241E-001	7.96500E-001	1.05620E-009	1.91100E-009	2.64170E-009
320	19	24	1	1.32000E-002	1.30000E-003	1.00000E-003	4.44030E-009	1.20000E-009	9.83600E-010	3.44950E+000	7.74299E+002	7.76057E+002	1.75840E+000	5.82353E-001	7.96900E-001	1.08200E-009	1.74000E-009	2.39810E-009
324	21	24	1	1.34000E-002	1.40000E-003	9.00000E-004	3.97890E-009	1.50000E-009	1.92970E-009	3.45980E+000	7.86736E+002	7.88245E+002	1.50890E+000	5.69954E-001	7.95500E-001	1.37700E-009	1.72130E-009	2.82900E-009
327	19	26	1	1.33000E-002	1.30000E-003	9.00000E-004	4.09600E-009	1.70000E-009	5.90200E-010	3.45220E+000	7.88120E+002	7.90406E+002	2.28660E+000	5.70674E-001	7.95300E-001	1.31150E-009	1.70720E-009	3.25060E-009
330	17	26	1	1.32000E-002	1.30000E-003	1.00000E-003	4.08430E-009	1.60000E-009	8.43000E-011	3.44510E+000	7.79574E+002	7.81185E+002	1.61090E+000	5.85459E-001	7.96800E-001	1.01870E-009	1.83370E-009	1.29270E-009
334	15	26	1	1.32000E-002	1.30000E-003	1.00000E-003	4.48010E-009	1.70000E-009	2.61360E-009	3.44560E+000	7.75948E+002	7.77793E+002	1.84510E+000	5.87168E-001	7.96600E-001	1.18730E-009	1.87120E-009	2.19200E-009
338	13	26	1	1.32000E-002	1.20000E-003	1.00000E-003	3.98590E-009	1.50000E-009	1.21780E-009	3.44750E+000	7.80930E+002	7.82399E+002	1.46830E+000	5.85090E-001	7.96800E-001	1.02810E-009	2.02110E-009	1.21800E-010
342	11	26	1	1.32000E-002	1.20000E-003	9.00000E-004	4.41450E-009	1.40000E-009	1.70490E-009	3.45520E+000	7.91016E+002	7.90769E+002	-2.46900E-001	5.62138E-001	7.95400E-001	1.06560E-009	1.86650E-009	1.26460E-009
346	9	26	1	1.31000E-002	1.20000E-003	9.00000E-004	3.25760E-009	1.40000E-009	5.43300E-010	3.48100E+000	7.69003E+002	7.71648E+002	2.64520E+000	5.69167E-001	7.97000E-001	1.55270E-009	2.04920E-009	1.19910E-009
350	13	28	1	1.34000E-002	1.20000E-003	9.00000E-004	3.45670E-009	1.60000E-009	1.50820E-009	3.46420E+000	7.78327E+002	7.80319E+002	1.99260E+000	5.63328E-001	7.95700E-001	1.72360E-009	1.61360E-009	3.05380E-009
352	15	28	1	1.35000E-002	1.20000E-003	9.00000E-004	3.77050E-009	1.50000E-009	2.62300E-010	3.45620E+000	7.81332E+002	7.83357E+002	2.02510E+000	5.64974E-001	7.96000E-001	1.68150E-009	1.68850E-009	3.54100E-009
354	17	28	1	1.33000E-002	1.20000E-003	8.00000E-004	4.13580E-009	1.40000E-009	2.25760E-009	3.46370E+000	7.79710E+002	7.82155E+002	2.44550E+000	5.63692E-001	7.96100E-001	2.18500E-009	1.67210E-009	2.11710E-009

4	18	6	5	1.32000E-002	2.40000E-003	2.00000E-003	3.17990E-009	1.90000E-009	2.21741E-007
8	16	6	1	1.32000E-002	2.40000E-003	2.00000E-003	3.27590E-009	1.80000E-009	5.45130E-009	3.49280E+000	7.46683E+002	7.49442E+002	2.75920E+000	5.81020E-001	7.96500E-001	1.52200E-009	2.11210E-009	2.44460E-009
12	14	6	1	1.32000E-002	2.40000E-003	2.00000E-003	3.84490E-009	1.90000E-009	1.07902E-008	3.50400E+000	7.44658E+002	7.47527E+002	2.86930E+000	5.78056E-001	7.97300E-001	2.00210E-009	1.83350E-009	2.51020E-009
15	12	6	5	1.35000E-002	2.40000E-003	1.90000E-003	3.57100E-009	1.20000E-009	1.37830E-005
21	10	8	1	1.32000E-002	2.40000E-003	2.00000E-003	3.70210E-009	1.90000E-009	7.94280E-009	3.50120E+000	7.64875E+002	7.67365E+002	2.49020E+000	5.59925E-001	7.96300E-001	1.86630E-009	2.28780E-009	5.80700E-010
25	12	8	1	1.32000E-002	2.40000E-003	2.10000E-003	4.36710E-009	2.00000E-009	4.36480E-009	3.44920E+000	7.81252E+002	7.82302E+002	1.04960E+000	5.61387E-001	7.95800E-001	1.63440E-009	2.13090E-009	1.70470E-009
29	14	8	1	1.31000E-002	2.40000E-003	2.00000E-003	3.82150E-009	1.80000E-009	2.66010E-009	3.46260E+000	7.71830E+002	7.73767E+002	1.93640E+000	5.78282E-001	7.95700E-001	1.62980E-009	2.10510E-009	6.83800E-010
33	16	8	1	1.32000E-002	2.50000E-003	2.10000E-003	4.10250E-009	2.10000E-009	3.55900E-010	3.45320E+000	7.70915E+002	7.72695E+002	1.78000E+000	5.82191E-001	7.95200E-001	1.74680E-009	1.98570E-009	1.56420E-009
37	18	8	1	1.33000E-002	2.50000E-003	2.10000E-003	3.91520E-009	1.70000E-009	6.65000E-010	3.45800E+000	7.77076E+002	7.78862E+002	1.78520E+000	5.72365E-001	7.95600E-001	1.64620E-009	2.21980E-009	1.75150E-009
41	20	8	1	1.32000E-002	2.50000E-003	2.10000E-003	3.50770E-009	2.00000E-009	2.81000E-011	3.46220E+000	7.68321E+002	7.70176E+002	1.85490E+000	5.67891E-001	7.94600E-001	1.71410E-009	1.99970E-009	1.09590E-009
46	22	10	1	1.32000E-002	2.40000E-003	2.10000E-003	3.44690E-009	1.70000E-009	8.61700E-010	3.46470E+000	7.70020E+002	7.72076E+002	2.05630E+000	5.57251E-001	7.94500E-001	1.38390E-009	1.81010E-009	3.55900E-010
50	20	10	1	1.32000E-002	2.40000E-003	2.00000E-003	4.16810E-009	1.80000E-009	4.43970E-009	3.40220E+000	7.71044E+002	7.72586E+002	1.54130E+000	5.76674E-001	7.94700E-001	1.58760E-009	2.25260E-009	2.71630E-009
54	18	10	1	1.32000E-002	2.50000E-003	2.00000E-003	4.78630E-009	1.90000E-009	1.16140E-009	3.46260E+000	7.64510E+002	7.66338E+002	1.82820E+000	5.86440E-001	7.95300E-001	1.62510E-009	2.06060E-009	2.24800E-010
58	16	10	1	1.31000E-002	2.40000E-003	2.00000E-003	5.45360E-009	2.10000E-009	3.37200E-010	3.45910E+000	7.62766E+002	7.64486E+002	1.72010E+000	5.89623E-001	7.95000E-001	1.57590E-009	1.95520E-009	1.12400E-009
62	14	10	1	1.31000E-002	2.40000E-003	2.10000E-003	5.13750E-009	2.00000E-009	6.08800E-010	3.46730E+000	7.58233E+002	7.59854E+002	1.62100E+000	5.91647E-001	7.95100E-001	1.56420E-009	1.98570E-009	5.71400E-010
66	12	10	1	1.32000E-002	2.50000E-003	2.00000E-003	4.82140E-009	1.80000E-009	2.06060E-009	3.45990E+000	7.69440E+002	7.71082E+002	1.64280E+000	5.83106E-001	7.96000E-001	1.58530E-009	1.81010E-009	1.80770E-009
70	10	10	1	1.32000E-002	2.40000E-003	2.00000E-003	3.89640E-009	1.90000E-009	6.57520E-009	3.46240E+000	7.82410E+002	7.84986E+002	2.57520E+000	5.64223E-001	7.96200E-001	1.77260E-009	2.01610E-009	1.66720E-009
74	8	10	1	1.32000E-002	2.50000E-003	2.00000E-003	4.42560E-009	1.60000E-009	4.12120E-009	3.50110E+000	7.60420E+002	7.63954E+002	3.53340E+000	5.61276E-001	7.96900E-001	1.74220E-009	2.24790E-009	2.42590E-009
77	6	12	3	1.36000E-002	2.30000E-003	1.90000E-003	1.38560E-005
