Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-171044@CP
Wafer number	10
Date	2025/03/12
Time	17:13:41

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
83	9	12	1	1.32000E-002	1.30000E-003	1.00000E-003	3.70960E-009	1.20000E-009	2.24820E-009	3.46940E+000	7.74197E+002	7.75984E+002	1.78700E+000	5.66811E-001	7.95400E-001	1.12180E-009	1.59950E-009	1.26460E-009
87	11	12	1	1.32000E-002	1.20000E-003	9.00000E-004	4.44960E-009	1.60000E-009	2.70720E-009	3.47050E+000	7.68018E+002	7.70091E+002	2.07310E+000	5.73524E-001	7.95700E-001	1.24820E-009	1.84780E-009	3.03510E-009
91	13	12	1	1.32000E-002	1.30000E-003	9.00000E-004	5.64160E-009	1.50000E-009	4.14050E-009	3.47190E+000	7.58526E+002	7.60405E+002	1.87870E+000	5.74575E-001	7.96800E-001	1.11940E-009	1.87590E-009	1.44260E-009
95	15	12	1	1.32000E-002	1.30000E-003	9.00000E-004	5.48940E-009	1.50000E-009	3.34420E-009	3.46270E+000	7.58339E+002	7.59866E+002	1.52730E+000	5.79593E-001	7.96100E-001	8.40700E-010	1.82670E-009	3.44730E-009
99	17	12	1	1.32000E-002	1.20000E-003	9.00000E-004	5.69080E-009	1.80000E-009	6.84770E-009	3.34860E+000	7.61477E+002	7.63049E+002	1.57180E+000	5.73027E-001	7.96500E-001	1.05850E-009	1.94140E-009	9.74200E-010
103	19	12	1	1.31000E-002	1.30000E-003	9.00000E-004	5.12880E-009	1.30000E-009	6.65100E-009	3.30110E+000	7.65059E+002	7.66643E+002	1.58430E+000	5.68029E-001	7.97000E-001	8.10300E-010	1.80090E-009	1.86420E-009
107	21	12	1	1.32000E-002	1.30000E-003	1.00000E-003	3.96480E-009	1.50000E-009	3.67210E-009	3.44820E+000	7.76265E+002	7.78094E+002	1.82890E+000	5.62098E-001	7.97600E-001	1.22480E-009	1.93680E-009	2.18270E-009
111	23	12	1	1.31000E-002	1.20000E-003	9.00000E-004	3.60890E-009	1.40000E-009	1.39580E-009	3.46560E+000	7.77099E+002	7.79225E+002	2.12600E+000	5.47677E-001	7.98500E-001	1.60190E-009	1.46370E-009	2.96020E-009
113	23	14	1	1.32000E-002	1.30000E-003	9.00000E-004	3.60190E-009	1.50000E-009	1.73300E-009	3.46930E+000	7.85064E+002	7.86905E+002	1.84130E+000	5.52279E-001	7.97700E-001	1.12180E-009	1.70490E-009	3.23180E-009
117	21	14	1	1.32000E-002	1.30000E-003	9.00000E-004	4.61820E-009	1.60000E-009	2.57610E-009	3.45230E+000	7.72026E+002	7.73953E+002	1.92620E+000	5.60052E-001	7.97400E-001	1.25060E-009	1.89460E-009	1.59200E-010
121	19	14	1	1.31000E-002	1.30000E-003	1.00000E-003	5.46830E-009	1.50000E-009	6.08900E-010	3.46000E+000	7.67562E+002	7.69602E+002	2.04010E+000	5.61698E-001	7.97600E-001	1.06790E-009	1.65570E-009	1.92970E-009
125	17	14	1	1.32000E-002	1.20000E-003	9.00000E-004	6.09600E-009	1.60000E-009	2.49180E-009	3.45650E+000	7.63835E+002	7.65346E+002	1.51160E+000	5.69521E-001	7.95800E-001	1.19670E-009	1.79620E-009	2.37000E-009
129	15	14	1	1.32000E-002	1.20000E-003	1.00000E-003	5.99060E-009	1.50000E-009	2.41680E-009	3.44650E+000	7.58642E+002	7.60100E+002	1.45840E+000	5.71717E-001	7.95900E-001	1.07730E-009	1.90160E-009	2.33250E-009
133	13	14	1	1.32000E-002	1.20000E-003	9.00000E-004	6.37930E-009	1.50000E-009	2.02340E-009	3.46530E+000	7.57364E+002	7.58961E+002	1.59710E+000	5.75474E-001	7.96500E-001	1.20140E-009	1.94380E-009	1.07730E-009
137	11	14	1	1.33000E-002	1.20000E-003	1.00000E-003	5.29040E-009	1.60000E-009	6.25760E-009	3.46460E+000	7.65505E+002	7.67339E+002	1.83430E+000	5.62430E-001	7.96200E-001	9.25100E-010	1.80800E-009	2.52930E-009
141	9	14	1	1.32000E-002	1.30000E-003	9.00000E-004	3.68150E-009	1.50000E-009	3.47540E-009	3.45670E+000	7.59381E+002	7.61454E+002	2.07330E+000	5.68452E-001	7.95100E-001	1.27400E-009	1.77520E-009	2.07960E-009
145	7	14	1	1.32000E-002	1.30000E-003	9.00000E-004	3.11940E-009	1.70000E-009	3.27870E-009	3.46980E+000	7.74115E+002	7.76182E+002	2.06730E+000	5.54032E-001	7.95800E-001	1.30440E-009	1.63460E-009	9.74200E-010
151	5	16	3	1.33000E-002	1.20000E-003	1.00000E-003	1.38710E-005
155	7	16	1	1.32000E-002	1.30000E-003	9.00000E-004	2.91800E-009	1.60000E-009	2.08900E-009	3.47170E+000	7.78435E+002	7.80099E+002	1.66310E+000	5.59290E-001	7.96900E-001	9.81300E-010	1.85010E-009	2.01400E-009
159	9	16	1	1.31000E-002	1.30000E-003	9.00000E-004	4.23180E-009	1.40000E-009	4.73060E-009	3.46920E+000	7.59609E+002	7.61193E+002	1.58400E+000	5.73969E-001	7.97700E-001	1.20840E-009	1.97660E-009	6.55700E-010
163	11	16	1	1.32000E-002	1.30000E-003	1.00000E-003	5.35130E-009	1.50000E-009	5.78920E-009	3.48310E+000	7.71641E+002	7.73879E+002	2.23750E+000	5.60286E-001	7.96800E-001	1.10540E-009	1.76580E-009	3.74700E-010
167	13	16	1	1.33000E-002	1.30000E-003	1.00000E-003	6.45900E-009	1.50000E-009	4.96500E-010	3.45240E+000	7.58921E+002	7.60669E+002	1.74880E+000	5.70120E-001	7.96700E-001	1.03280E-009	1.93680E-009	3.16630E-009
171	15	16	1	1.32000E-002	1.30000E-003	9.00000E-004	5.91330E-009	1.30000E-009	2.17330E-009	3.43690E+000	7.53437E+002	7.55057E+002	1.62010E+000	5.73326E-001	7.96700E-001	8.50100E-010	1.74940E-009	1.85480E-009
175	17	16	1	1.32000E-002	1.20000E-003	1.00000E-003	6.00700E-009	1.50000E-009	4.73060E-009	3.44740E+000	7.62123E+002	7.63676E+002	1.55350E+000	5.69587E-001	7.96300E-001	1.13820E-009	1.99530E-009	7.86900E-010
179	19	16	1	1.31000E-002	1.40000E-003	1.00000E-003	6.14750E-009	1.60000E-009	3.07260E-009	3.45790E+000	7.67357E+002	7.68978E+002	1.62060E+000	5.64657E-001	7.97500E-001	9.60200E-010	1.57140E-009	2.36060E-009
183	21	16	1	1.32000E-002	1.40000E-003	1.00000E-003	4.74940E-009	1.70000E-009	4.30900E-010	3.46370E+000	7.73254E+002	7.75042E+002	1.78780E+000	5.62974E-001	7.97500E-001	1.04920E-009	1.87590E-009	2.50120E-009
187	23	16	1	1.32000E-002	1.30000E-003	9.00000E-004	3.85010E-009	1.70000E-009	2.69790E-009	3.46490E+000	7.88597E+002	7.90228E+002	1.63090E+000	5.59624E-001	7.97600E-001	1.33020E-009	1.84540E-009	1.03040E-009
191	23	18	1	1.32000E-002	1.30000E-003	1.00000E-003	3.26930E-009	1.50000E-009	4.68000E-011	3.46470E+000	7.88860E+002	7.90347E+002	1.48740E+000	5.59790E-001	7.98000E-001	9.95300E-010	1.60420E-009	3.43790E-009
195	21	18	1	1.32000E-002	1.40000E-003	9.00000E-004	4.82430E-009	1.70000E-009	2.05150E-009	3.46150E+000	7.74495E+002	7.76147E+002	1.65160E+000	5.62744E-001	7.97300E-001	1.21080E-009	1.85240E-009	1.20840E-009
199	19	18	1	1.32000E-002	1.40000E-003	1.00000E-003	5.76810E-009	1.50000E-009	2.36060E-009	3.44420E+000	7.72487E+002	7.74374E+002	1.88760E+000	5.62921E-001	7.98000E-001	9.81300E-010	1.70020E-009	1.16160E-009
203	17	18	1	1.32000E-002	1.30000E-003	1.00000E-003	5.77050E-009	1.60000E-009	6.11710E-009	3.43580E+000	7.65977E+002	7.67414E+002	1.43740E+000	5.65735E-001	7.95700E-001	1.12180E-009	1.99300E-009	1.11470E-009
207	15	18	1	1.32000E-002	1.30000E-003	1.00000E-003	6.14050E-009	1.60000E-009	2.92270E-009	3.43670E+000	7.49724E+002	7.51985E+002	2.26110E+000	5.64554E-001	7.96300E-001	7.35400E-010	1.82430E-009	1.73300E-009
211	13	18	1	1.32000E-002	1.30000E-003	1.00000E-003	6.29740E-009	1.50000E-009	2.22010E-009	3.44780E+000	7.60007E+002	7.61562E+002	1.55410E+000	5.69151E-001	7.95500E-001	1.12650E-009	1.82430E-009	3.07260E-009
215	11	18	1	1.32000E-002	1.20000E-003	9.00000E-004	5.78680E-009	1.40000E-009	2.96020E-009	3.48810E+000	7.70659E+002	7.72331E+002	1.67150E+000	5.64891E-001	7.97700E-001	1.14520E-009	1.48240E-009	2.22950E-009
219	9	18	1	1.33000E-002	1.30000E-003	9.00000E-004	3.95310E-009	1.70000E-009	3.22250E-009	3.45830E+000	7.58238E+002	7.59861E+002	1.62320E+000	5.74282E-001	7.97300E-001	1.23890E-009	1.93440E-009	2.35130E-009
223	7	18	1	1.31000E-002	1.40000E-003	9.00000E-004	3.49650E-009	1.60000E-009	3.86880E-009	3.46720E+000	7.78206E+002	7.80277E+002	2.07080E+000	5.57250E-001	7.97600E-001	1.32320E-009	1.83140E-009	1.38640E-009
231	7	20	1	1.33000E-002	1.20000E-003	9.00000E-004	2.80090E-009	1.50000E-009	4.51520E-009	3.45770E+000	7.74061E+002	7.76235E+002	2.17340E+000	5.56906E-001	7.97500E-001	1.21310E-009	1.76350E-009	2.12640E-009
235	9	20	1	1.32000E-002	1.20000E-003	9.00000E-004	4.14520E-009	1.50000E-009	2.40750E-009	3.45520E+000	7.60611E+002	7.62296E+002	1.68440E+000	5.73773E-001	7.97100E-001	1.12880E-009	1.74470E-009	5.62100E-010
239	11	20	1	1.32000E-002	1.20000E-003	9.00000E-004	5.26690E-009	1.60000E-009	6.54800E-009	3.48030E+000	7.68888E+002	7.71387E+002	2.49920E+000	5.63955E-001	7.97600E-001	1.19670E-009	1.67910E-009	3.27900E-010
243	13	20	1	1.32000E-002	1.20000E-003	9.00000E-004	5.96480E-009	1.50000E-009	1.45200E-009	3.46150E+000	7.64740E+002	7.66448E+002	1.70850E+000	5.69303E-001	7.95800E-001	1.11470E-009	1.77520E-009	2.53860E-009
247	15	20	1	1.32000E-002	1.30000E-003	9.00000E-004	5.98360E-009	1.40000E-009	7.68100E-010	3.43280E+000	7.59643E+002	7.61086E+002	1.44300E+000	5.74971E-001	7.96500E-001	1.09840E-009	2.01170E-009	4.12200E-010
251	17	20	1	1.32000E-002	1.30000E-003	1.00000E-003	5.92030E-009	1.60000E-009	1.02669E-008	3.43490E+000	7.60834E+002	7.62341E+002	1.50690E+000	5.66213E-001	7.95900E-001	1.06320E-009	1.89460E-009	2.12640E-009
255	19	20	1	1.32000E-002	1.40000E-003	1.00000E-003	5.84070E-009	1.30000E-009	2.30440E-009	3.44830E+000	7.72869E+002	7.74424E+002	1.55500E+000	5.65516E-001	7.97600E-001	7.21300E-010	1.69550E-009	2.75410E-009
259	21	20	1	1.32000E-002	1.40000E-003	9.00000E-004	4.60180E-009	1.80000E-009	2.18270E-009	3.46070E+000	7.74628E+002	7.76355E+002	1.72690E+000	5.64677E-001	7.97600E-001	1.00230E-009	1.83370E-009	1.33960E-009
263	23	20	1	1.32000E-002	1.40000E-003	9.00000E-004	4.10770E-009	1.10000E-009	1.87000E-011	3.46740E+000	7.88524E+002	7.90399E+002	1.87580E+000	5.55050E-001	7.98200E-001	1.59020E-009	1.64400E-009	1.64870E-009
265	23	22	1	1.33000E-002	1.30000E-003	9.00000E-004	4.69320E-009	1.30000E-009	2.23890E-009	3.44740E+000	7.81104E+002	7.83484E+002	2.37940E+000	5.46796E-001	7.97400E-001	1.69550E-009	1.62060E-009	2.34200E-010
266	21	22	1	1.32000E-002	1.30000E-003	9.00000E-004	3.89220E-009	1.40000E-009	2.94140E-009	3.45960E+000	7.76181E+002	7.77860E+002	1.67960E+000	5.66845E-001	7.97400E-001	9.93000E-010	1.80330E-009	1.25530E-009
270	19	22	1	1.32000E-002	1.40000E-003	1.00000E-003	4.99760E-009	1.50000E-009	3.17560E-009	3.45810E+000	7.64500E+002	7.66490E+002	1.99030E+000	5.65939E-001	7.97700E-001	8.40700E-010	1.86880E-009	9.36800E-010
274	17	22	1	1.32000E-002	1.30000E-003	9.00000E-004	5.79860E-009	1.50000E-009	3.54100E-009	3.46100E+000	7.68661E+002	7.70192E+002	1.53100E+000	5.65725E-001	7.97300E-001	8.71200E-010	1.57610E-009	7.02600E-010
278	15	22	1	1.32000E-002	1.30000E-003	9.00000E-004	6.25760E-009	1.40000E-009	8.93670E-009	3.45790E+000	7.61316E+002	7.62755E+002	1.43850E+000	5.70054E-001	7.96200E-001	1.08430E-009	1.96250E-009	1.39580E-009
282	13	22	1	1.32000E-002	1.30000E-003	1.00000E-003	6.33250E-009	1.60000E-009	1.35175E-008	3.47330E+000	7.58252E+002	7.59821E+002	1.56860E+000	5.72366E-001	7.97900E-001	1.14280E-009	1.43090E-009	4.68000E-011
286	11	22	1	1.33000E-002	1.30000E-003	1.00000E-003	5.40510E-009	1.60000E-009	4.82430E-009	3.47270E+000	7.64315E+002	7.65812E+002	1.49700E+000	5.66050E-001	7.97600E-001	1.44500E-009	1.85010E-009	1.91100E-009
290	9	22	1	1.33000E-002	1.30000E-003	1.00000E-003	4.06790E-009	1.50000E-009	5.85480E-009	3.46580E+000	7.62167E+002	7.64001E+002	1.83420E+000	5.72899E-001	7.97300E-001	1.15460E-009	1.86650E-009	5.71400E-010
294	7	22	1	1.31000E-002	1.40000E-003	9.00000E-004	2.60890E-009	1.50000E-009	9.99530E-009	3.48850E+000	7.65140E+002	7.67467E+002	2.32700E+000	5.58784E-001	7.97500E-001	1.06790E-009	1.87590E-009	3.65300E-010
300	9	24	1	1.31000E-002	1.30000E-003	1.00000E-003	3.82200E-009	1.40000E-009	7.80320E-009	3.46570E+000	7.77951E+002	7.79995E+002	2.04420E+000	5.57261E-001	7.97200E-001	9.83600E-010	1.80560E-009	2.71700E-010
304	11	24	1	1.32000E-002	1.30000E-003	1.00000E-003	4.73060E-009	1.50000E-009	3.62530E-009	3.46290E+000	7.68424E+002	7.70171E+002	1.74710E+000	5.69550E-001	7.97800E-001	1.14280E-009	1.85710E-009	1.44260E-009
308	13	24	1	1.32000E-002	1.30000E-003	9.00000E-004	4.98590E-009	1.20000E-009	5.18970E-009	3.46660E+000	7.59925E+002	7.61727E+002	1.80250E+000	5.68961E-001	7.97600E-001	1.16630E-009	1.63230E-009	2.64170E-009
312	15	24	1	1.32000E-002	1.40000E-003	1.00000E-003	5.26690E-009	1.60000E-009	4.96480E-009	3.46080E+000	7.59683E+002	7.61236E+002	1.55300E+000	5.61794E-001	7.97600E-001	1.18500E-009	1.87820E-009	5.43300E-010
316	17	24	1	1.32000E-002	1.40000E-003	9.00000E-004	4.65570E-009	1.70000E-009	3.77520E-009	3.46320E+000	7.63107E+002	7.64614E+002	1.50700E+000	5.65174E-001	7.97300E-001	1.37940E-009	2.02110E-009	3.93400E-010
320	19	24	1	1.32000E-002	1.40000E-003	1.00000E-003	4.59250E-009	1.20000E-009	4.06550E-009	3.45820E+000	7.65647E+002	7.67144E+002	1.49740E+000	5.70796E-001	7.98500E-001	8.61800E-010	1.86180E-009	9.83600E-010
324	21	24	1	1.34000E-002	1.40000E-003	9.00000E-004	3.93910E-009	1.50000E-009	3.80330E-009	3.46710E+000	7.81560E+002	7.82813E+002	1.25340E+000	5.62535E-001	7.97700E-001	1.46600E-009	1.65810E-009	1.94850E-009
327	19	26	1	1.33000E-002	1.40000E-003	9.00000E-004	3.81960E-009	1.70000E-009	1.64870E-009	3.46220E+000	7.79208E+002	7.82761E+002	3.55280E+000	5.61404E-001	7.97700E-001	1.44260E-009	1.76580E-009	2.22950E-009
330	17	26	1	1.32000E-002	1.30000E-003	9.00000E-004	3.59010E-009	1.50000E-009	5.32080E-009	3.45310E+000	7.68231E+002	7.69941E+002	1.71070E+000	5.67869E-001	7.98400E-001	9.60200E-010	1.69550E-009	7.21300E-010
334	15	26	1	1.32000E-002	1.30000E-003	1.00000E-003	4.45660E-009	1.60000E-009	4.53390E-009	3.45150E+000	7.65500E+002	7.67014E+002	1.51450E+000	5.66425E-001	7.97900E-001	9.76600E-010	1.92040E-009	9.46100E-010
338	13	26	1	1.31000E-002	1.40000E-003	9.00000E-004	4.17800E-009	1.60000E-009	5.08660E-009	3.45840E+000	7.65745E+002	7.67379E+002	1.63400E+000	5.70427E-001	7.98200E-001	1.13820E-009	1.67680E-009	4.96500E-010
342	11	26	1	1.32000E-002	1.40000E-003	1.00000E-003	3.83370E-009	1.40000E-009	4.09370E-009	3.46240E+000	7.78399E+002	7.80732E+002	2.33310E+000	5.55076E-001	7.98100E-001	1.17560E-009	1.99300E-009	1.31150E-009
346	9	26	1	1.32000E-002	1.30000E-003	9.00000E-004	3.56440E-009	1.50000E-009	1.17283E-008	3.49710E+000	7.53410E+002	7.54931E+002	1.52090E+000	5.62078E-001	7.98600E-001	1.37240E-009	1.90160E-009	9.27400E-010
350	13	28	1	1.34000E-002	1.30000E-003	9.00000E-004	3.48480E-009	1.40000E-009	3.69080E-009	3.46320E+000	7.69633E+002	7.71367E+002	1.73350E+000	5.51795E-001	7.98000E-001	1.49880E-009	1.69090E-009	2.36060E-009
352	15	28	1	1.34000E-002	1.30000E-003	9.00000E-004	3.29040E-009	1.50000E-009	6.13580E-009	3.46180E+000	7.73537E+002	7.75497E+002	1.95980E+000	5.52079E-001	7.98500E-001	1.40050E-009	1.93440E-009	1.95780E-009
354	17	28	1	1.32000E-002	1.30000E-003	8.00000E-004	3.99290E-009	1.30000E-009	5.75170E-009	3.46310E+000	7.72228E+002	7.74139E+002	1.91110E+000	5.53996E-001	7.98500E-001	1.82670E-009	1.56440E-009	3.27900E-010

4	18	6	1	1.32000E-002	2.40000E-003	2.10000E-003	3.30870E-009	1.50000E-009	1.69345E-008	3.51130E+000	7.18244E+002	7.22773E+002	4.52870E+000	5.69895E-001	7.98100E-001	1.51500E-009	1.74450E-009	2.85680E-009
8	16	6	1	1.32000E-002	2.40000E-003	2.00000E-003	3.16350E-009	1.80000E-009	2.39780E-009	3.48360E+000	7.49253E+002	7.52148E+002	2.89450E+000	5.71476E-001	7.96600E-001	1.51740E-009	1.98570E-009	9.36600E-010
12	14	6	1	1.32000E-002	2.40000E-003	2.10000E-003	3.88940E-009	1.80000E-009	3.56860E-009	3.49310E+000	7.39785E+002	7.43063E+002	3.27740E+000	5.76069E-001	7.97400E-001	1.66490E-009	2.02080E-009	1.84520E-009
15	12	6	5	1.36000E-002	2.30000E-003	2.00000E-003	4.23130E-009	2.00000E-010	1.37840E-005
21	10	8	1	1.32000E-002	2.40000E-003	2.10000E-003	3.73720E-009	1.70000E-009	0.00000E+000	3.50100E+000	7.61611E+002	7.64624E+002	3.01280E+000	5.61276E-001	7.95100E-001	1.82650E-009	2.27140E-009	1.09590E-009
25	12	8	1	1.32000E-002	2.40000E-003	2.00000E-003	4.19620E-009	2.00000E-009	4.60830E-009	3.45430E+000	7.78029E+002	7.78128E+002	9.85000E-002	5.58772E-001	7.95000E-001	1.78670E-009	2.08400E-009	2.62260E-009
29	14	8	1	1.33000E-002	2.50000E-003	2.10000E-003	3.81450E-009	1.80000E-009	4.72070E-009	3.46220E+000	7.71900E+002	7.73642E+002	1.74140E+000	5.75077E-001	7.96100E-001	1.69770E-009	2.04890E-009	2.27600E-009
33	16	8	1	1.31000E-002	2.40000E-003	2.10000E-003	4.09080E-009	2.00000E-009	6.37106E-008	3.45210E+000	7.73595E+002	7.75436E+002	1.84030E+000	5.74527E-001	7.96400E-001	1.68360E-009	2.15190E-009	2.68820E-009
37	18	8	1	1.32000E-002	2.50000E-003	2.10000E-003	3.80980E-009	1.50000E-009	4.74880E-009	3.45960E+000	7.80259E+002	7.82345E+002	2.08570E+000	5.56761E-001	7.97000E-001	1.37690E-009	1.99740E-009	2.44460E-009
41	20	8	1	1.32000E-002	2.50000E-003	2.10000E-003	3.64820E-009	1.80000E-009	5.02040E-009	3.45600E+000	7.70512E+002	7.72553E+002	2.04050E+000	5.54456E-001	7.96200E-001	1.47990E-009	2.02320E-009	1.11460E-009
46	22	10	1	1.32000E-002	2.40000E-003	2.00000E-003	3.47260E-009	1.70000E-009	3.53120E-009	3.45760E+000	7.71519E+002	7.74071E+002	2.55260E+000	5.52423E-001	7.96500E-001	1.38620E-009	2.13090E-009	1.03970E-009
50	20	10	1	1.31000E-002	2.40000E-003	2.10000E-003	4.56610E-009	1.70000E-009	4.36480E-009	3.45260E+000	7.74637E+002	7.76429E+002	1.79190E+000	5.66698E-001	7.96900E-001	1.47290E-009	1.90140E-009	1.09590E-009
54	18	10	1	1.31000E-002	2.40000E-003	2.10000E-003	4.57320E-009	2.00000E-009	7.47440E-009	3.45780E+000	7.69676E+002	7.71430E+002	1.75400E+000	5.72841E-001	7.96400E-001	1.65080E-009	1.69300E-009	2.11680E-009
58	16	10	1	1.32000E-002	2.40000E-003	2.10000E-003	5.20310E-009	2.20000E-009	3.21270E-009	3.45710E+000	7.63295E+002	7.64950E+002	1.65490E+000	5.77767E-001	7.94700E-001	1.80770E-009	1.78430E-009	9.83500E-010
62	14	10	1	1.32000E-002	2.50000E-003	2.10000E-003	4.72540E-009	1.80000E-009	4.68300E-010	3.46210E+000	7.57496E+002	7.59088E+002	1.59220E+000	5.83485E-001	7.94800E-001	1.37220E-009	1.92710E-009	5.05800E-010
66	12	10	1	1.32000E-002	2.40000E-003	2.10000E-003	4.04160E-009	2.00000E-009	8.89800E-010	3.46330E+000	7.64863E+002	7.66768E+002	1.90510E+000	5.79538E-001	7.94600E-001	1.65790E-009	2.31820E-009	2.36030E-009
70	10	10	1	1.32000E-002	2.40000E-003	2.10000E-003	3.77470E-009	1.50000E-009	2.07940E-009	3.46680E+000	7.80219E+002	7.82350E+002	2.13180E+000	5.62111E-001	7.94600E-001	1.32770E-009	1.94120E-009	3.46600E-010
