Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-165021@CP
Wafer number	05
Date	2025/03/12
Time	16:53:19

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
83	9	12	1	1.32000E-002	1.30000E-003	9.00000E-004	4.00930E-009	1.60000E-009	3.81260E-009	3.47580E+000	7.84015E+002	7.85797E+002	1.78260E+000	5.64424E-001	7.97500E-001	1.25290E-009	1.87820E-009	2.69790E-009
87	11	12	1	1.31000E-002	1.20000E-003	9.00000E-004	5.10540E-009	1.80000E-009	5.09600E-009	3.47330E+000	7.76523E+002	7.78084E+002	1.56120E+000	5.68178E-001	7.97400E-001	1.23650E-009	1.81500E-009	2.06090E-009
91	13	12	1	1.31000E-002	1.20000E-003	9.00000E-004	5.79390E-009	1.50000E-009	6.30440E-009	3.46160E+000	7.70385E+002	7.71855E+002	1.47040E+000	5.68973E-001	7.98000E-001	1.16860E-009	2.10300E-009	1.21800E-010
95	15	12	1	1.32000E-002	1.30000E-003	1.00000E-003	6.00000E-009	1.70000E-009	7.35360E-009	3.40130E+000	7.68407E+002	7.70091E+002	1.68360E+000	5.73989E-001	7.96600E-001	1.15460E-009	1.89930E-009	2.11710E-009
99	17	12	1	1.31000E-002	1.30000E-003	9.00000E-004	5.76340E-009	1.70000E-009	3.95310E-009	3.45090E+000	7.65632E+002	7.67501E+002	1.86900E+000	5.69037E-001	7.98200E-001	1.25530E-009	1.90870E-009	1.85480E-009
103	19	12	1	1.32000E-002	1.30000E-003	1.00000E-003	5.10300E-009	1.80000E-009	3.82200E-009	3.44560E+000	7.64558E+002	7.66154E+002	1.59660E+000	5.69697E-001	7.97800E-001	1.13350E-009	1.85010E-009	2.41680E-009
107	21	12	1	1.32000E-002	1.30000E-003	1.00000E-003	3.87350E-009	1.60000E-009	1.71430E-009	3.45520E+000	7.76860E+002	7.78422E+002	1.56260E+000	5.65790E-001	7.97800E-001	1.03040E-009	1.94850E-009	2.67910E-009
111	23	12	1	1.31000E-002	1.30000E-003	9.00000E-004	4.10300E-009	1.70000E-009	6.01400E-009	3.47220E+000	7.82106E+002	7.84014E+002	1.90790E+000	5.49222E-001	7.98500E-001	1.45200E-009	2.03980E-009	1.04920E-009
113	23	14	1	1.32000E-002	1.30000E-003	9.00000E-004	3.32080E-009	1.40000E-009	4.40300E-010	3.47150E+000	7.88927E+002	7.90772E+002	1.84550E+000	5.52488E-001	7.97900E-001	1.00230E-009	1.72360E-009	2.72600E-009
117	21	14	1	1.33000E-002	1.30000E-003	9.00000E-004	4.38170E-009	1.60000E-009	2.02340E-009	3.45980E+000	7.73617E+002	7.75484E+002	1.86770E+000	5.62163E-001	7.97600E-001	1.04920E-009	1.87120E-009	3.07260E-009
121	19	14	1	1.31000E-002	1.30000E-003	1.00000E-003	5.95310E-009	1.60000E-009	3.33490E-009	3.45720E+000	7.67140E+002	7.68637E+002	1.49660E+000	5.64436E-001	7.97800E-001	1.13110E-009	1.49410E-009	2.77280E-009
125	17	14	1	1.33000E-002	1.30000E-003	1.00000E-003	5.90860E-009	1.70000E-009	5.63930E-009	3.44440E+000	7.67340E+002	7.68866E+002	1.52600E+000	5.67476E-001	7.97100E-001	1.06560E-009	1.90400E-009	2.47310E-009
129	15	14	1	1.33000E-002	1.30000E-003	9.00000E-004	6.27630E-009	1.40000E-009	4.00930E-009	3.43810E+000	7.64475E+002	7.65874E+002	1.39890E+000	5.69031E-001	7.96700E-001	1.32080E-009	1.77750E-009	1.43320E-009
133	13	14	1	1.31000E-002	1.30000E-003	1.00000E-003	6.25990E-009	1.50000E-009	7.87820E-009	3.45740E+000	7.64010E+002	7.65612E+002	1.60220E+000	5.71215E-001	7.97400E-001	1.11470E-009	2.11240E-009	9.55500E-010
137	11	14	1	1.32000E-002	1.30000E-003	9.00000E-004	5.75410E-009	1.60000E-009	4.88050E-009	3.46940E+000	7.71338E+002	7.72981E+002	1.64300E+000	5.60189E-001	7.97400E-001	1.01640E-009	2.01170E-009	1.13350E-009
141	9	14	1	1.32000E-002	1.30000E-003	1.00000E-003	4.68150E-009	1.30000E-009	7.09130E-009	3.46270E+000	7.68862E+002	7.70502E+002	1.64070E+000	5.65171E-001	7.96800E-001	1.19440E-009	1.70720E-009	1.29270E-009
145	7	14	1	1.31000E-002	1.30000E-003	9.00000E-004	3.39110E-009	1.50000E-009	6.43560E-009	3.48100E+000	7.82058E+002	7.83889E+002	1.83080E+000	5.53292E-001	7.97500E-001	1.31620E-009	1.97420E-009	6.55700E-010
151	5	16	3	1.31000E-002	6.10000E-003	6.05000E-002	1.38700E-005
155	7	16	1	1.32000E-002	1.30000E-003	9.00000E-004	4.28100E-009	1.70000E-009	5.71400E-010	3.47380E+000	7.85961E+002	7.87960E+002	1.99990E+000	5.56305E-001	7.98000E-001	1.18500E-009	1.75880E-009	2.76340E-009
159	9	16	1	1.32000E-002	1.30000E-003	9.00000E-004	4.96250E-009	1.60000E-009	3.00700E-009	3.47460E+000	7.63502E+002	7.65046E+002	1.54470E+000	5.72575E-001	7.98200E-001	1.10070E-009	1.63000E-009	2.94140E-009
163	11	16	1	1.32000E-002	1.30000E-003	9.00000E-004	5.75870E-009	1.80000E-009	3.67210E-009	3.48180E+000	7.76491E+002	7.78367E+002	1.87590E+000	5.59742E-001	7.97700E-001	1.03750E-009	1.82430E-009	1.92040E-009
167	13	16	1	1.32000E-002	1.30000E-003	9.00000E-004	6.81490E-009	1.80000E-009	6.20140E-009	3.44930E+000	7.65976E+002	7.67672E+002	1.69580E+000	5.66185E-001	7.97500E-001	1.04450E-009	1.86650E-009	2.02340E-009
171	15	16	1	1.32000E-002	1.40000E-003	1.00000E-003	6.68150E-009	1.80000E-009	1.93910E-009	3.43470E+000	7.60946E+002	7.62455E+002	1.50940E+000	5.70810E-001	7.96100E-001	1.21540E-009	1.45900E-009	1.34890E-009
175	17	16	1	1.31000E-002	1.30000E-003	1.00000E-003	5.87580E-009	1.90000E-009	6.12640E-009	3.43770E+000	7.66378E+002	7.68016E+002	1.63800E+000	5.69813E-001	7.96800E-001	1.60190E-009	1.82430E-009	2.81000E-011
179	19	16	1	1.33000E-002	1.40000E-003	1.00000E-003	5.75640E-009	1.70000E-009	2.66980E-009	3.45430E+000	7.67491E+002	7.68966E+002	1.47560E+000	5.66912E-001	7.97800E-001	1.22480E-009	1.97890E-009	1.21800E-010
183	21	16	1	1.32000E-002	1.30000E-003	9.00000E-004	4.75410E-009	1.40000E-009	1.59250E-009	3.46510E+000	7.72469E+002	7.74043E+002	1.57370E+000	5.66530E-001	7.97700E-001	1.20840E-009	1.64870E-009	1.50820E-009
187	23	16	1	1.32000E-002	1.40000E-003	1.00000E-003	3.70720E-009	1.70000E-009	1.62060E-009	3.47050E+000	7.90259E+002	7.91619E+002	1.36020E+000	5.61158E-001	7.97900E-001	1.48480E-009	1.94850E-009	2.01400E-009
191	23	18	1	1.31000E-002	1.30000E-003	9.00000E-004	3.38640E-009	1.80000E-009	1.49900E-010	3.47360E+000	7.91068E+002	7.92366E+002	1.29750E+000	5.60758E-001	7.98000E-001	1.25990E-009	2.11470E-009	6.56000E-011
195	21	18	1	1.32000E-002	1.30000E-003	1.00000E-003	4.99530E-009	1.60000E-009	1.92970E-009	3.45810E+000	7.73643E+002	7.75386E+002	1.74300E+000	5.65381E-001	7.97400E-001	1.04210E-009	1.75880E-009	2.83840E-009
199	19	18	1	1.32000E-002	1.40000E-003	1.00000E-003	5.68380E-009	1.60000E-009	2.88520E-009	3.44140E+000	7.73664E+002	7.75709E+002	2.04540E+000	5.64264E-001	7.98200E-001	1.14520E-009	2.11710E-009	4.21500E-010
203	17	18	1	1.32000E-002	1.30000E-003	1.00000E-003	5.89460E-009	1.40000E-009	4.32780E-009	3.43040E+000	7.68478E+002	7.69954E+002	1.47640E+000	5.67939E-001	7.96000E-001	1.17800E-009	2.00470E-009	1.49880E-009
207	15	18	1	1.32000E-002	1.30000E-003	9.00000E-004	6.49180E-009	1.70000E-009	2.33250E-009	3.43220E+000	7.58330E+002	7.60104E+002	1.77450E+000	5.60838E-001	7.95800E-001	1.18730E-009	1.73770E-009	4.87100E-010
211	13	18	1	1.32000E-002	1.40000E-003	1.00000E-003	6.11240E-009	1.60000E-009	1.24964E-008	3.44450E+000	7.65947E+002	7.67470E+002	1.52300E+000	5.65527E-001	7.95800E-001	1.28340E-009	2.02110E-009	7.40000E-010
215	11	18	1	1.32000E-002	1.40000E-003	9.00000E-004	5.88050E-009	1.50000E-009	1.67680E-009	3.48610E+000	7.75943E+002	7.77815E+002	1.87200E+000	5.62679E-001	7.98200E-001	1.28800E-009	2.14280E-009	1.06790E-009
219	9	18	1	1.32000E-002	1.40000E-003	9.00000E-004	4.88520E-009	1.50000E-009	2.36060E-009	3.46660E+000	7.64085E+002	7.65513E+002	1.42890E+000	5.73198E-001	7.97600E-001	1.18030E-009	1.81030E-009	2.10770E-009
223	7	18	1	1.31000E-002	1.30000E-003	9.00000E-004	3.31850E-009	1.40000E-009	2.30440E-009	3.47610E+000	7.85203E+002	7.87165E+002	1.96270E+000	5.57947E-001	7.97700E-001	9.81300E-010	1.71190E-009	2.34190E-009
231	7	20	1	1.32000E-002	1.30000E-003	9.00000E-004	3.63000E-009	1.60000E-009	5.33020E-009	3.46040E+000	7.81844E+002	7.83725E+002	1.88190E+000	5.56151E-001	7.97500E-001	1.32320E-009	1.83140E-009	1.02110E-009
235	9	20	1	1.33000E-002	1.30000E-003	9.00000E-004	4.51990E-009	1.60000E-009	1.70490E-009	3.46610E+000	7.64459E+002	7.65904E+002	1.44480E+000	5.74172E-001	7.97600E-001	1.21080E-009	2.03750E-009	1.33020E-009
239	11	20	1	1.32000E-002	1.30000E-003	9.00000E-004	5.93440E-009	1.50000E-009	1.52690E-009	3.47850E+000	7.73935E+002	7.75730E+002	1.79480E+000	5.63310E-001	7.98000E-001	1.02110E-009	1.96250E-009	1.93910E-009
243	13	20	1	1.32000E-002	1.30000E-003	1.00000E-003	7.15450E-009	1.50000E-009	1.73301E-008	3.44580E+000	7.66780E+002	7.68314E+002	1.53420E+000	5.65741E-001	7.96800E-001	1.15690E-009	1.72360E-009	7.49000E-011
247	15	20	1	1.32000E-002	1.40000E-003	1.00000E-003	6.48710E-009	1.50000E-009	1.94850E-009	3.43400E+000	7.65019E+002	7.66469E+002	1.45010E+000	5.73895E-001	7.95900E-001	1.12410E-009	1.72130E-009	6.55700E-010
251	17	20	1	1.32000E-002	1.30000E-003	1.00000E-003	6.74940E-009	1.70000E-009	1.21592E-008	3.42450E+000	7.63643E+002	7.65027E+002	1.38320E+000	5.65811E-001	7.96900E-001	1.26460E-009	1.68850E-009	4.49600E-010
255	19	20	1	1.32000E-002	1.40000E-003	1.00000E-003	5.88520E-009	1.80000E-009	3.01640E-009	3.44400E+000	7.72765E+002	7.74217E+002	1.45150E+000	5.66878E-001	7.97700E-001	1.42620E-009	1.85710E-009	1.83610E-009
259	21	20	1	1.32000E-002	1.40000E-003	9.00000E-004	4.64870E-009	1.70000E-009	3.25990E-009	3.46180E+000	7.73017E+002	7.74780E+002	1.76340E+000	5.67696E-001	7.97500E-001	1.38170E-009	1.83840E-009	2.06100E-010
263	23	20	1	1.31000E-002	1.30000E-003	9.00000E-004	3.68380E-009	1.60000E-009	1.68620E-009	3.47360E+000	7.91356E+002	7.93269E+002	1.91340E+000	5.55570E-001	7.98400E-001	1.49880E-009	1.81500E-009	3.33490E-009
265	23	22	1	1.33000E-002	1.20000E-003	9.00000E-004	4.55270E-009	1.30000E-009	4.40280E-009	3.44870E+000	7.85261E+002	7.87149E+002	1.88750E+000	5.46082E-001	7.97400E-001	2.03980E-009	1.38640E-009	2.22950E-009
266	21	22	1	1.32000E-002	1.30000E-003	1.00000E-003	4.29270E-009	1.60000E-009	8.33700E-010	3.45610E+000	7.79330E+002	7.80862E+002	1.53240E+000	5.68413E-001	7.97500E-001	1.34190E-009	1.94140E-009	1.24590E-009
270	19	22	1	1.32000E-002	1.30000E-003	1.00000E-003	5.37470E-009	1.50000E-009	2.94140E-009	3.44930E+000	7.66530E+002	7.67936E+002	1.40610E+000	5.66404E-001	7.97900E-001	9.11000E-010	1.78220E-009	1.63930E-009
274	17	22	1	1.31000E-002	1.30000E-003	1.00000E-003	6.13110E-009	1.30000E-009	4.17800E-009	3.44980E+000	7.70839E+002	7.72360E+002	1.52100E+000	5.64940E-001	7.97500E-001	1.13350E-009	1.92270E-009	2.35130E-009
278	15	22	1	1.32000E-002	1.30000E-003	1.00000E-003	6.60890E-009	1.60000E-009	5.22710E-009	3.44080E+000	7.65992E+002	7.67492E+002	1.49950E+000	5.66969E-001	7.97400E-001	1.20610E-009	1.61360E-009	1.38640E-009
282	13	22	1	1.32000E-002	1.40000E-003	9.00000E-004	6.61120E-009	1.60000E-009	4.67440E-009	3.45730E+000	7.67907E+002	7.69555E+002	1.64790E+000	5.68288E-001	7.98300E-001	1.09600E-009	1.99060E-009	2.80090E-009
286	11	22	1	1.31000E-002	1.30000E-003	1.00000E-003	6.18730E-009	1.70000E-009	1.46130E-009	3.47320E+000	7.65530E+002	7.67094E+002	1.56330E+000	5.68828E-001	7.98000E-001	1.33960E-009	1.69320E-009	1.79860E-009
290	9	22	1	1.32000E-002	1.30000E-003	9.00000E-004	4.19200E-009	1.50000E-009	3.46600E-009	3.47530E+000	7.75479E+002	7.76924E+002	1.44490E+000	5.71722E-001	7.98000E-001	1.28570E-009	1.79160E-009	1.63930E-009
294	7	22	1	1.31000E-002	1.30000E-003	9.00000E-004	3.02110E-009	1.70000E-009	3.20370E-009	3.49870E+000	7.77254E+002	7.79511E+002	2.25710E+000	5.57097E-001	7.99000E-001	1.42620E-009	1.59720E-009	2.60420E-009
300	9	24	1	1.32000E-002	1.30000E-003	9.00000E-004	4.04920E-009	1.40000E-009	5.62060E-009	3.47200E+000	7.84680E+002	7.86575E+002	1.89490E+000	5.57458E-001	7.97800E-001	1.07730E-009	1.82200E-009	6.55700E-010
304	11	24	1	1.32000E-002	1.30000E-003	9.00000E-004	5.02100E-009	1.60000E-009	5.12410E-009	3.46930E+000	7.71718E+002	7.73423E+002	1.70510E+000	5.71940E-001	7.98100E-001	1.25060E-009	1.92500E-009	7.49400E-010
308	13	24	1	1.31000E-002	1.30000E-003	9.00000E-004	5.54560E-009	1.70000E-009	3.80330E-009	3.46360E+000	7.65338E+002	7.66993E+002	1.65520E+000	5.69812E-001	7.97900E-001	1.24360E-009	1.86880E-009	9.27400E-010
312	15	24	1	1.32000E-002	1.30000E-003	1.00000E-003	5.50580E-009	1.60000E-009	4.55270E-009	3.44750E+000	7.63124E+002	7.64815E+002	1.69080E+000	5.60535E-001	7.97600E-001	1.17560E-009	1.90630E-009	1.38640E-009
316	17	24	1	1.32000E-002	1.30000E-003	9.00000E-004	5.19670E-009	1.70000E-009	2.81970E-009	3.45500E+000	7.68270E+002	7.69750E+002	1.47990E+000	5.64666E-001	7.97500E-001	1.28340E-009	2.00000E-009	9.55500E-010
320	19	24	1	1.31000E-002	1.40000E-003	1.00000E-003	4.38400E-009	1.30000E-009	2.36060E-009	3.45630E+000	7.70365E+002	7.71994E+002	1.62980E+000	5.71121E-001	7.98600E-001	9.06300E-010	1.76580E-009	6.55700E-010
324	21	24	1	1.34000E-002	1.30000E-003	9.00000E-004	3.87350E-009	1.70000E-009	9.74200E-010	3.46200E+000	7.87231E+002	7.89108E+002	1.87730E+000	5.60283E-001	7.97900E-001	1.29980E-009	1.71430E-009	2.04210E-009
327	19	26	1	1.34000E-002	1.30000E-003	9.00000E-004	4.19900E-009	1.70000E-009	1.89230E-009	3.45700E+000	7.86105E+002	7.88548E+002	2.44240E+000	5.61237E-001	7.98100E-001	1.43560E-009	1.66040E-009	2.44490E-009
330	17	26	1	1.31000E-002	1.30000E-003	1.00000E-003	3.99530E-009	1.50000E-009	3.69080E-009	3.45460E+000	7.73605E+002	7.75075E+002	1.46990E+000	5.67191E-001	7.98600E-001	1.74710E-009	1.84310E-009	1.52690E-009
334	15	26	1	1.33000E-002	1.40000E-003	9.00000E-004	4.47770E-009	1.70000E-009	4.20610E-009	3.44660E+000	7.69140E+002	7.70726E+002	1.58570E+000	5.67274E-001	7.97900E-001	1.49880E-009	1.97660E-009	9.18000E-010
338	13	26	1	1.31000E-002	1.30000E-003	9.00000E-004	4.49410E-009	1.50000E-009	5.03980E-009	3.46060E+000	7.72773E+002	7.74371E+002	1.59870E+000	5.69691E-001	7.98200E-001	1.29740E-009	1.91570E-009	1.86420E-009
342	11	26	5	1.32000E-002	1.30000E-003	9.00000E-004	3.99290E-009	1.70000E-009	8.57175E-007
346	9	26	1	1.32000E-002	1.30000E-003	9.00000E-004	4.00700E-009	1.70000E-009	7.13810E-009	3.49600E+000	7.67447E+002	7.69698E+002	2.25040E+000	5.60397E-001	7.98700E-001	1.71900E-009	2.00000E-009	1.97660E-009
350	13	28	1	1.34000E-002	1.30000E-003	8.00000E-004	3.86880E-009	1.50000E-009	3.29740E-009	3.46950E+000	7.77316E+002	7.79596E+002	2.28010E+000	5.50215E-001	7.98200E-001	1.57140E-009	1.58780E-009	1.76110E-009
352	15	28	1	1.35000E-002	1.30000E-003	9.00000E-004	4.06790E-009	1.60000E-009	4.95550E-009	3.45320E+000	7.80091E+002	7.82149E+002	2.05830E+000	5.48645E-001	7.98300E-001	1.38410E-009	1.92040E-009	1.69550E-009
354	17	28	1	1.32000E-002	1.30000E-003	8.00000E-004	3.96720E-009	1.20000E-009	2.59858E-008	3.45920E+000	7.79116E+002	7.81170E+002	2.05420E+000	5.52420E-001	7.98500E-001	2.08900E-009	1.43790E-009	2.06100E-010

4	18	6	1	1.32000E-002	2.40000E-003	2.00000E-003	3.55690E-009	1.50000E-009	3.37190E-009	3.53110E+000	7.46098E+002	7.50100E+002	4.00210E+000	5.60798E-001	7.99200E-001	1.47520E-009	2.08640E-009	2.53830E-009
8	16	6	1	1.32000E-002	2.40000E-003	2.00000E-003	3.65530E-009	1.60000E-009	5.61050E-009	3.49010E+000	7.71416E+002	7.73385E+002	1.96860E+000	5.60126E-001	7.97500E-001	1.40260E-009	2.19640E-009	5.15200E-010
12	14	6	1	1.32000E-002	2.30000E-003	2.00000E-003	4.20550E-009	1.80000E-009	4.54270E-009	3.49540E+000	7.70820E+002	7.73481E+002	2.66070E+000	5.58308E-001	7.98100E-001	1.44480E-009	1.92480E-009	1.57360E-009
15	12	6	1	1.35000E-002	2.30000E-003	2.00000E-003	4.25470E-009	1.70000E-009	4.08096E-008	3.56540E+000	7.25751E+002	7.29482E+002	3.73150E+000	5.60769E-001	7.99700E-001	1.74450E-009	2.31820E-009	1.90139E-008
21	10	8	1	1.32000E-002	2.50000E-003	2.00000E-003	3.76770E-009	1.90000E-009	2.77250E-009	3.51050E+000	7.75104E+002	7.77086E+002	1.98240E+000	5.56892E-001	7.96100E-001	1.68360E-009	2.04660E-009	1.40500E-010
25	12	8	1	1.32000E-002	2.40000E-003	2.10000E-003	4.49120E-009	1.70000E-009	3.93390E-009	3.45960E+000	7.84534E+002	7.86826E+002	2.29200E+000	5.53954E-001	7.96400E-001	1.50100E-009	1.94820E-009	1.42370E-009
29	14	8	1	1.32000E-002	2.50000E-003	2.00000E-003	4.01590E-009	2.00000E-009	4.12100E-010	3.46670E+000	7.83813E+002	7.86394E+002	2.58100E+000	5.67260E-001	7.97700E-001	1.72340E-009	1.85220E-009	1.18020E-009
33	16	8	1	1.31000E-002	2.50000E-003	2.10000E-003	4.68790E-009	1.90000E-009	8.89800E-010	3.44830E+000	7.82222E+002	7.84067E+002	1.84470E+000	5.68334E-001	7.97500E-001	1.90140E-009	1.95290E-009	7.49300E-010
37	18	8	1	1.31000E-002	2.50000E-003	2.10000E-003	4.03460E-009	1.90000E-009	1.91080E-009	3.44070E+000	7.85001E+002	7.87757E+002	2.75670E+000	5.54861E-001	7.97800E-001	1.55720E-009	2.08400E-009	1.12400E-010
41	20	8	1	1.31000E-002	2.50000E-003	2.10000E-003	3.62010E-009	1.80000E-009	1.77030E-009	3.45940E+000	7.76618E+002	7.78778E+002	2.16060E+000	5.55906E-001	7.97100E-001	1.73750E-009	2.36030E-009	1.80770E-009
46	22	10	1	1.32000E-002	2.50000E-003	2.00000E-003	3.51710E-009	1.80000E-009	4.44910E-009	3.46810E+000	7.77691E+002	7.79788E+002	2.09630E+000	5.54296E-001	7.96800E-001	1.72580E-009	2.02780E-009	2.28540E-009
50	20	10	1	1.31000E-002	2.50000E-003	2.10000E-003	4.29690E-009	1.70000E-009	1.49900E-010	3.45310E+000	7.78943E+002	7.80483E+002	1.53990E+000	5.67670E-001	7.96900E-001	1.36280E-009	2.17070E-009	2.25730E-009
54	18	10	1	1.32000E-002	2.50000E-003	2.00000E-003	4.75110E-009	1.80000E-009	3.26890E-009	3.43570E+000	7.71598E+002	7.73446E+002	1.84810E+000	5.72106E-001	7.96500E-001	1.37220E-009	2.03490E-009	7.39900E-010
58	16	10	1	1.32000E-002	2.40000E-003	2.10000E-003	5.37400E-009	1.90000E-009	2.01191E-008	3.44920E+000	7.67632E+002	7.69364E+002	1.73200E+000	5.73124E-001	7.96100E-001	1.59930E-009	1.79370E-009	2.75370E-009
62	14	10	1	1.32000E-002	2.40000E-003	2.10000E-003	5.22180E-009	2.10000E-009	7.54940E-009	3.45870E+000	7.67989E+002	7.69581E+002	1.59210E+000	5.75146E-001	7.96200E-001	1.78670E-009	2.16130E-009	3.02540E-009
66	12	10	1	1.32000E-002	2.50000E-003	2.10000E-003	4.64580E-009	2.10000E-009	8.99180E-009	3.46660E+000	7.75184E+002	7.76731E+002	1.54650E+000	5.74087E-001	7.95800E-001	1.67890E-009	2.08170E-009	2.44460E-009
70	10	10	1	1.32000E-002	2.50000E-003	2.10000E-003	3.64120E-009	1.70000E-009	3.61550E-009	3.47620E+000	7.87683E+002	7.89168E+002	1.48590E+000	5.59623E-001	7.95900E-001	1.43070E-009	2.06760E-009	2.34160E-009
