Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-170641@CP
Wafer number	09
Date	2025/03/12
Time	17:09:38

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
83	9	12	1	1.32000E-002	1.20000E-003	9.00000E-004	3.57840E-009	1.60000E-009	1.93910E-009	3.47510E+000	7.79224E+002	7.80799E+002	1.57500E+000	5.68602E-001	7.97900E-001	1.30910E-009	1.77280E-009	1.73300E-009
87	11	12	1	1.32000E-002	1.30000E-003	1.00000E-003	4.55730E-009	1.60000E-009	2.48240E-009	3.48360E+000	7.66264E+002	7.67744E+002	1.48020E+000	5.79090E-001	7.98400E-001	1.33720E-009	1.83840E-009	2.96020E-009
91	13	12	1	1.32000E-002	1.30000E-003	9.00000E-004	5.63230E-009	1.80000E-009	4.58080E-009	3.47320E+000	7.49704E+002	7.51708E+002	2.00420E+000	5.83431E-001	7.98400E-001	1.05850E-009	1.80330E-009	1.70490E-009
95	15	12	5	1.31000E-002	1.20000E-003	9.00000E-004	5.71420E-009	1.70000E-009	2.21497E-007
99	17	12	1	1.33000E-002	1.30000E-003	1.00000E-003	5.40750E-009	1.60000E-009	5.17090E-009	3.46010E+000	7.52786E+002	7.54510E+002	1.72430E+000	5.82996E-001	7.97900E-001	9.22700E-010	1.99300E-009	3.46600E-010
103	19	12	1	1.32000E-002	1.40000E-003	1.00000E-003	4.96950E-009	1.70000E-009	2.59480E-009	3.45890E+000	7.58007E+002	7.59631E+002	1.62440E+000	5.80801E-001	7.97900E-001	1.28800E-009	1.90160E-009	1.51760E-009
107	21	12	1	1.32000E-002	1.30000E-003	1.00000E-003	3.94380E-009	1.50000E-009	4.98360E-009	3.45300E+000	7.70768E+002	7.72340E+002	1.57290E+000	5.73457E-001	7.97500E-001	9.71900E-010	2.10770E-009	2.20140E-009
111	23	12	1	1.31000E-002	1.20000E-003	9.00000E-004	3.51050E-009	1.70000E-009	6.82900E-009	3.47500E+000	7.75894E+002	7.77804E+002	1.90980E+000	5.45774E-001	7.97700E-001	1.58780E-009	1.86420E-009	2.06100E-010
113	23	14	1	1.32000E-002	1.30000E-003	9.00000E-004	3.35830E-009	1.60000E-009	2.06100E-010	3.47750E+000	7.83128E+002	7.84977E+002	1.84970E+000	5.52616E-001	7.97500E-001	1.03280E-009	1.73300E-009	3.43790E-009
117	21	14	1	1.32000E-002	1.30000E-003	9.00000E-004	4.22950E-009	1.90000E-009	2.45430E-009	3.46240E+000	7.61978E+002	7.63424E+002	1.44630E+000	5.72155E-001	7.97500E-001	1.13110E-009	1.86880E-009	3.17560E-009
121	19	14	1	1.32000E-002	1.30000E-003	9.00000E-004	5.75640E-009	1.70000E-009	2.20140E-009	3.46730E+000	7.55507E+002	7.57127E+002	1.62000E+000	5.78101E-001	7.97900E-001	8.22000E-010	1.97420E-009	2.69790E-009
125	17	14	1	1.32000E-002	1.30000E-003	9.00000E-004	6.05620E-009	1.50000E-009	5.77050E-009	3.45730E+000	7.62070E+002	7.63647E+002	1.57640E+000	5.77824E-001	7.97300E-001	1.22720E-009	1.95310E-009	4.49600E-010
129	15	14	1	1.32000E-002	1.30000E-003	9.00000E-004	6.01170E-009	1.30000E-009	6.90390E-009	3.41220E+000	7.58881E+002	7.60355E+002	1.47380E+000	5.79770E-001	7.96600E-001	1.00000E-009	1.94140E-009	9.18000E-010
133	13	14	1	1.32000E-002	1.30000E-003	1.00000E-003	6.20600E-009	1.60000E-009	5.65800E-009	3.46990E+000	7.53686E+002	7.55838E+002	2.15110E+000	5.81827E-001	7.98600E-001	9.88300E-010	1.97420E-009	2.60420E-009
137	11	14	1	1.32000E-002	1.30000E-003	9.00000E-004	5.44960E-009	1.50000E-009	3.46600E-009	3.48130E+000	7.60726E+002	7.62516E+002	1.79060E+000	5.72993E-001	7.98200E-001	9.18000E-010	1.84310E-009	2.43560E-009
141	9	14	1	1.32000E-002	1.40000E-003	1.00000E-003	4.26460E-009	1.70000E-009	9.27400E-010	3.47960E+000	7.65690E+002	7.67038E+002	1.34810E+000	5.75794E-001	7.98000E-001	1.05620E-009	1.89460E-009	3.16630E-009
145	7	14	1	1.32000E-002	1.30000E-003	9.00000E-004	3.74240E-009	1.70000E-009	2.04210E-009	3.47380E+000	7.78983E+002	7.81032E+002	2.04890E+000	5.58186E-001	7.98200E-001	1.17560E-009	1.84070E-009	1.44260E-009
151	5	16	2	1.33000E-002	4.09300E+000
155	7	16	1	1.32000E-002	1.30000E-003	9.00000E-004	3.48480E-009	1.70000E-009	1.94850E-009	3.47260E+000	7.83161E+002	7.85152E+002	1.99160E+000	5.62609E-001	7.98400E-001	1.20370E-009	1.85710E-009	2.14520E-009
159	9	16	1	1.32000E-002	1.40000E-003	9.00000E-004	4.34190E-009	1.40000E-009	1.77980E-009	3.48130E+000	7.61943E+002	7.63434E+002	1.49060E+000	5.81987E-001	7.98700E-001	1.09840E-009	1.72130E-009	1.05850E-009
163	11	16	1	1.32000E-002	1.40000E-003	9.00000E-004	5.47540E-009	1.60000E-009	2.04210E-009	3.49270E+000	7.68009E+002	7.70168E+002	2.15940E+000	5.72838E-001	7.98100E-001	1.46840E-009	1.79620E-009	2.16390E-009
167	13	16	1	1.32000E-002	1.30000E-003	9.00000E-004	6.23180E-009	1.70000E-009	4.30910E-009	3.45300E+000	7.60606E+002	7.62168E+002	1.56150E+000	5.72447E-001	7.98400E-001	1.13350E-009	2.03980E-009	1.12400E-010
171	15	16	1	1.31000E-002	1.30000E-003	9.00000E-004	6.14750E-009	1.40000E-009	2.62290E-009	3.42770E+000	7.56267E+002	7.57849E+002	1.58180E+000	5.67769E-001	7.96400E-001	8.64200E-010	1.79160E-009	1.62060E-009
175	17	16	1	1.31000E-002	1.20000E-003	9.00000E-004	5.90160E-009	1.60000E-009	3.10070E-009	3.44960E+000	7.63599E+002	7.65134E+002	1.53580E+000	5.69435E-001	7.97100E-001	1.11940E-009	1.74000E-009	2.30440E-009
179	19	16	1	1.33000E-002	1.30000E-003	9.00000E-004	5.84770E-009	1.50000E-009	2.28570E-009	3.46090E+000	7.57820E+002	7.59379E+002	1.55870E+000	5.78354E-001	7.98000E-001	1.24120E-009	1.71430E-009	1.18970E-009
183	21	16	1	1.32000E-002	1.30000E-003	9.00000E-004	4.99530E-009	1.20000E-009	6.37000E-010	3.47580E+000	7.63720E+002	7.65548E+002	1.82730E+000	5.77344E-001	7.98100E-001	1.05390E-009	1.74710E-009	2.91330E-009
187	23	16	1	1.32000E-002	1.30000E-003	1.00000E-003	3.60650E-009	1.40000E-009	6.27600E-010	3.47630E+000	7.86629E+002	7.88338E+002	1.70830E+000	5.62181E-001	7.97900E-001	1.16160E-009	1.90160E-009	2.86650E-009
191	23	18	1	1.31000E-002	1.30000E-003	9.00000E-004	3.62760E-009	1.60000E-009	2.15460E-009	3.47280E+000	7.85655E+002	7.87115E+002	1.45910E+000	5.66372E-001	7.98000E-001	1.09600E-009	1.68150E-009	7.02600E-010
195	21	18	1	1.33000E-002	1.30000E-003	1.00000E-003	4.46130E-009	1.40000E-009	1.13350E-009	3.46570E+000	7.67927E+002	7.69960E+002	2.03340E+000	5.75352E-001	7.97700E-001	9.85900E-010	1.79620E-009	2.23890E-009
199	19	18	1	1.32000E-002	1.30000E-003	1.00000E-003	5.56670E-009	1.40000E-009	2.24820E-009	3.44990E+000	7.65193E+002	7.66593E+002	1.39960E+000	5.77367E-001	7.98400E-001	1.26230E-009	1.90870E-009	2.45430E-009
203	17	18	1	1.31000E-002	1.30000E-003	1.00000E-003	5.98360E-009	1.60000E-009	5.92030E-009	3.44140E+000	7.66562E+002	7.67891E+002	1.32940E+000	5.66522E-001	7.96800E-001	1.07030E-009	1.70720E-009	1.17100E-009
207	15	18	1	1.32000E-002	1.30000E-003	9.00000E-004	6.10070E-009	1.30000E-009	1.83610E-009	3.44300E+000	7.54447E+002	7.56217E+002	1.77020E+000	5.60545E-001	7.96100E-001	9.48500E-010	2.03980E-009	2.11710E-009
211	13	18	1	1.32000E-002	1.30000E-003	9.00000E-004	6.13110E-009	1.50000E-009	5.57370E-009	3.46010E+000	7.60341E+002	7.61932E+002	1.59050E+000	5.70706E-001	7.96900E-001	9.34400E-010	1.92970E-009	1.65810E-009
215	11	18	1	1.32000E-002	1.30000E-003	9.00000E-004	5.50580E-009	1.60000E-009	1.59250E-009	3.48960E+000	7.70492E+002	7.72411E+002	1.91930E+000	5.74542E-001	7.98700E-001	1.19200E-009	1.65570E-009	1.09600E-009
219	9	18	1	1.32000E-002	1.30000E-003	1.00000E-003	4.12640E-009	1.50000E-009	2.60420E-009	3.47640E+000	7.57968E+002	7.59435E+002	1.46670E+000	5.83622E-001	7.98200E-001	9.04000E-010	1.78690E-009	3.37230E-009
223	7	18	1	1.32000E-002	1.30000E-003	9.00000E-004	3.33250E-009	1.50000E-009	1.29270E-009	3.47900E+000	7.83725E+002	7.85732E+002	2.00700E+000	5.61041E-001	7.98400E-001	1.22950E-009	1.78450E-009	2.52930E-009
231	7	20	1	1.32000E-002	1.30000E-003	9.00000E-004	3.06560E-009	1.10000E-009	2.88520E-009	3.46870E+000	7.79561E+002	7.81586E+002	2.02530E+000	5.63073E-001	7.98700E-001	8.64200E-010	1.61590E-009	1.67680E-009
235	9	20	1	1.31000E-002	1.40000E-003	9.00000E-004	4.49880E-009	1.50000E-009	2.53860E-009	3.47260E+000	7.63034E+002	7.64526E+002	1.49130E+000	5.82041E-001	7.98000E-001	1.23180E-009	1.81500E-009	1.25530E-009
239	11	20	1	1.32000E-002	1.40000E-003	9.00000E-004	5.79860E-009	1.40000E-009	2.97890E-009	3.48830E+000	7.62320E+002	7.64564E+002	2.24380E+000	5.75931E-001	7.98300E-001	1.09840E-009	1.76350E-009	5.62000E-011
243	13	20	1	1.32000E-002	1.30000E-003	9.00000E-004	6.11940E-009	1.30000E-009	4.58077E-008	3.45580E+000	7.64062E+002	7.65810E+002	1.74790E+000	5.75670E-001	7.97900E-001	1.02340E-009	1.81730E-009	1.78000E-010
247	15	20	1	1.33000E-002	1.20000E-003	1.00000E-003	6.11470E-009	1.40000E-009	1.84540E-009	3.43670E+000	7.61306E+002	7.62718E+002	1.41200E+000	5.75339E-001	7.95800E-001	9.78900E-010	2.14990E-009	2.29510E-009
251	17	20	1	1.32000E-002	1.30000E-003	1.00000E-003	6.04450E-009	1.30000E-009	1.04917E-008	3.43490E+000	7.64695E+002	7.66146E+002	1.45080E+000	5.71637E-001	7.97200E-001	7.77500E-010	1.73770E-009	9.27400E-010
255	19	20	1	1.31000E-002	1.40000E-003	9.00000E-004	5.88290E-009	1.50000E-009	1.53630E-009	3.45770E+000	7.66060E+002	7.67697E+002	1.63670E+000	5.77833E-001	7.98000E-001	1.16860E-009	1.93680E-009	2.09830E-009
259	21	20	1	1.32000E-002	1.40000E-003	1.00000E-003	5.02340E-009	1.50000E-009	2.98830E-009	3.46840E+000	7.72977E+002	7.74602E+002	1.62540E+000	5.76525E-001	7.98200E-001	9.71900E-010	1.67210E-009	2.31380E-009
263	23	20	1	1.31000E-002	1.30000E-003	9.00000E-004	3.67910E-009	1.70000E-009	5.52700E-010	3.47010E+000	7.89836E+002	7.91463E+002	1.62770E+000	5.61752E-001	7.98400E-001	1.43090E-009	1.94850E-009	3.00700E-009
265	23	22	1	1.33000E-002	1.20000E-003	8.00000E-004	4.07020E-009	1.30000E-009	2.16390E-009	3.45250E+000	7.85931E+002	7.87776E+002	1.84460E+000	5.52476E-001	7.97800E-001	1.80330E-009	1.45430E-009	1.47070E-009
266	21	22	1	1.33000E-002	1.30000E-003	1.00000E-003	3.92030E-009	1.60000E-009	1.98590E-009	3.46560E+000	7.78367E+002	7.79711E+002	1.34400E+000	5.75766E-001	7.97800E-001	1.42150E-009	2.00000E-009	2.52900E-010
270	19	22	1	1.31000E-002	1.30000E-003	1.00000E-003	5.28330E-009	1.40000E-009	3.56000E-010	3.46690E+000	7.62310E+002	7.63728E+002	1.41790E+000	5.76213E-001	7.98200E-001	9.18000E-010	1.70490E-009	1.42390E-009
274	17	22	1	1.33000E-002	1.30000E-003	1.00000E-003	5.85940E-009	1.50000E-009	3.13820E-009	3.46500E+000	7.66606E+002	7.68109E+002	1.50350E+000	5.76989E-001	7.98100E-001	1.25530E-009	1.87350E-009	2.52900E-010
278	15	22	1	1.32000E-002	1.30000E-003	9.00000E-004	6.07490E-009	1.40000E-009	3.70960E-009	3.46140E+000	7.60892E+002	7.62424E+002	1.53180E+000	5.77471E-001	7.98000E-001	9.53200E-010	1.81970E-009	1.40510E-009
282	13	22	1	1.32000E-002	1.30000E-003	9.00000E-004	6.33490E-009	1.40000E-009	3.55970E-009	3.47660E+000	7.56348E+002	7.57874E+002	1.52580E+000	5.82442E-001	7.98700E-001	1.01400E-009	1.92270E-009	1.15220E-009
286	11	22	1	1.32000E-002	1.30000E-003	9.00000E-004	5.57140E-009	1.40000E-009	2.59480E-009	3.48550E+000	7.61557E+002	7.63833E+002	2.27590E+000	5.79909E-001	7.98600E-001	8.59500E-010	1.80560E-009	1.16160E-009
290	9	22	1	1.32000E-002	1.30000E-003	9.00000E-004	3.84070E-009	1.30000E-009	1.89230E-009	3.47240E+000	7.69472E+002	7.70941E+002	1.46950E+000	5.79188E-001	7.98200E-001	1.15220E-009	1.85240E-009	1.60190E-009
294	7	22	1	1.31000E-002	1.30000E-003	9.00000E-004	2.95780E-009	1.40000E-009	3.14750E-009	3.49670E+000	7.72369E+002	7.74336E+002	1.96630E+000	5.66195E-001	7.99000E-001	1.02110E-009	1.58550E-009	1.14280E-009
300	9	24	1	1.32000E-002	1.20000E-003	9.00000E-004	4.06550E-009	1.50000E-009	3.45670E-009	3.46990E+000	7.83828E+002	7.86515E+002	2.68770E+000	5.61822E-001	7.98300E-001	1.05150E-009	1.62760E-009	2.37940E-009
304	11	24	1	1.32000E-002	1.30000E-003	9.00000E-004	4.88290E-009	1.50000E-009	3.98120E-009	3.47160E+000	7.70460E+002	7.71946E+002	1.48670E+000	5.79315E-001	7.98500E-001	1.07730E-009	1.84070E-009	1.07730E-009
308	13	24	1	1.32000E-002	1.20000E-003	1.00000E-003	5.37470E-009	1.50000E-009	3.05380E-009	3.47670E+000	7.63587E+002	7.65461E+002	1.87390E+000	5.80569E-001	7.98200E-001	1.26930E-009	1.56910E-009	8.43100E-010
312	15	24	1	1.32000E-002	1.30000E-003	9.00000E-004	5.36060E-009	1.50000E-009	4.20610E-009	3.46180E+000	7.61101E+002	7.62729E+002	1.62860E+000	5.71613E-001	7.98000E-001	1.47770E-009	1.79860E-009	1.63930E-009
316	17	24	1	1.32000E-002	1.40000E-003	9.00000E-004	4.60650E-009	1.70000E-009	7.77500E-010	3.46940E+000	7.68088E+002	7.69748E+002	1.66020E+000	5.75921E-001	7.98100E-001	1.21080E-009	1.72360E-009	1.61120E-009
320	19	24	1	1.32000E-002	1.30000E-003	9.00000E-004	4.29970E-009	1.30000E-009	2.32320E-009	3.47270E+000	7.71746E+002	7.73262E+002	1.51590E+000	5.79613E-001	7.99200E-001	1.10300E-009	1.96720E-009	1.22720E-009
324	21	24	1	1.34000E-002	1.30000E-003	9.00000E-004	3.78920E-009	1.60000E-009	1.03000E-010	3.46950E+000	7.86917E+002	7.88338E+002	1.42040E+000	5.64562E-001	7.98500E-001	1.25060E-009	1.86420E-009	2.22010E-009
327	19	26	1	1.34000E-002	1.30000E-003	9.00000E-004	3.89220E-009	1.70000E-009	2.39810E-009	3.46340E+000	7.86434E+002	7.89234E+002	2.79970E+000	5.64823E-001	7.98100E-001	1.29980E-009	1.82430E-009	2.91330E-009
330	17	26	1	1.32000E-002	1.30000E-003	9.00000E-004	3.92500E-009	1.60000E-009	2.65100E-009	3.46040E+000	7.75051E+002	7.76543E+002	1.49220E+000	5.74573E-001	7.98700E-001	1.19910E-009	1.94850E-009	1.79860E-009
334	15	26	1	1.32000E-002	1.30000E-003	9.00000E-004	4.23420E-009	1.40000E-009	5.58310E-009	3.45090E+000	7.67793E+002	7.69768E+002	1.97530E+000	5.73892E-001	7.98300E-001	1.11470E-009	1.60420E-009	2.01400E-009
338	13	26	1	1.32000E-002	1.30000E-003	9.00000E-004	4.33020E-009	1.60000E-009	3.24120E-009	3.46700E+000	7.73872E+002	7.75491E+002	1.61860E+000	5.75066E-001	7.98800E-001	1.12650E-009	1.84310E-009	2.13580E-009
342	11	26	1	1.33000E-002	1.30000E-003	1.00000E-003	4.18970E-009	1.50000E-009	2.59480E-009	3.46760E+000	7.85351E+002	7.87681E+002	2.32990E+000	5.60508E-001	7.98700E-001	1.25760E-009	2.00230E-009	5.52700E-010
346	9	26	1	1.31000E-002	1.30000E-003	9.00000E-004	3.50110E-009	1.50000E-009	7.90630E-009	3.49910E+000	7.60417E+002	7.63342E+002	2.92510E+000	5.70635E-001	7.99000E-001	1.27400E-009	2.08660E-009	1.87000E-011
350	13	28	1	1.34000E-002	1.30000E-003	9.00000E-004	3.64400E-009	1.60000E-009	2.27630E-009	3.46960E+000	7.76865E+002	7.78830E+002	1.96510E+000	5.60305E-001	7.98600E-001	1.49650E-009	1.86880E-009	1.87350E-009
352	15	28	1	1.34000E-002	1.30000E-003	9.00000E-004	3.20140E-009	1.30000E-009	2.95080E-009	3.46170E+000	7.79046E+002	7.81008E+002	1.96210E+000	5.59874E-001	7.98800E-001	1.46370E-009	1.57840E-009	1.18970E-009
354	17	28	1	1.32000E-002	1.30000E-003	9.00000E-004	4.43560E-009	1.30000E-009	3.69080E-009	3.47100E+000	7.78260E+002	7.80680E+002	2.42040E+000	5.58882E-001	7.99000E-001	1.85240E-009	1.59020E-009	1.80800E-009

4	18	6	1	1.32000E-002	2.50000E-003	2.10000E-003	2.92940E-009	1.50000E-009	1.30943E-008	3.52690E+000	7.11343E+002	7.15759E+002	4.41580E+000	5.84416E-001	7.99300E-001	1.38390E-009	2.10280E-009	1.73280E-009
8	16	6	1	1.32000E-002	2.40000E-003	2.00000E-003	3.58500E-009	2.00000E-009	1.03030E-009	3.49970E+000	7.50356E+002	7.53308E+002	2.95240E+000	5.76290E-001	7.97800E-001	1.51970E-009	2.34400E-009	1.78900E-009
12	14	6	1	1.31000E-002	2.40000E-003	2.00000E-003	3.70210E-009	1.80000E-009	3.76530E-009	3.50190E+000	7.49830E+002	7.52389E+002	2.55890E+000	5.76021E-001	7.98500E-001	1.46580E-009	2.17770E-009	1.83580E-009
15	12	6	5	1.35000E-002	2.40000E-003	1.90000E-003	4.05800E-009	1.90000E-009	1.37850E-005
21	10	8	1	1.32000E-002	2.50000E-003	2.00000E-003	3.49130E-009	1.80000E-009	6.35050E-009	3.50860E+000	7.64282E+002	7.66995E+002	2.71350E+000	5.59075E-001	7.97400E-001	1.87330E-009	2.37910E-009	1.63910E-009
25	12	8	1	1.32000E-002	2.50000E-003	2.00000E-003	4.35770E-009	1.70000E-009	2.01380E-009	3.46200E+000	7.80011E+002	7.83072E+002	3.06110E+000	5.59532E-001	7.96700E-001	1.64150E-009	1.81470E-009	1.65790E-009
29	14	8	1	1.33000E-002	2.40000E-003	2.10000E-003	3.92220E-009	1.80000E-009	6.27600E-010	3.46930E+000	7.73277E+002	7.75106E+002	1.82920E+000	5.73314E-001	7.97600E-001	1.60870E-009	1.82410E-009	8.99200E-010
33	16	8	1	1.33000E-002	2.50000E-003	2.00000E-003	4.68560E-009	2.20000E-009	2.19170E-009	3.45960E+000	7.71995E+002	7.73871E+002	1.87630E+000	5.76014E-001	7.97200E-001	1.66720E-009	2.29240E-009	4.12100E-010
37	18	8	1	1.32000E-002	2.50000E-003	2.10000E-003	4.06970E-009	2.00000E-009	1.40500E-010	3.46990E+000	7.81739E+002	7.83520E+002	1.78110E+000	5.62719E-001	7.98000E-001	1.77260E-009	2.33460E-009	1.08650E-009
41	20	8	1	1.32000E-002	2.60000E-003	2.10000E-003	3.29230E-009	1.70000E-009	7.42760E-009	3.47510E+000	7.70093E+002	7.71850E+002	1.75690E+000	5.63604E-001	7.96100E-001	1.50800E-009	2.06760E-009	2.22920E-009
46	22	10	1	1.32000E-002	2.40000E-003	2.10000E-003	3.47500E-009	1.90000E-009	2.77250E-009	3.47570E+000	7.68680E+002	7.70459E+002	1.77890E+000	5.55923E-001	7.95200E-001	1.72110E-009	2.08640E-009	1.29260E-009
50	20	10	1	1.31000E-002	2.40000E-003	2.00000E-003	4.09550E-009	2.10000E-009	2.11680E-009	3.45930E+000	7.71043E+002	7.72493E+002	1.45010E+000	5.73624E-001	7.96700E-001	1.56420E-009	1.92480E-009	2.19170E-009
54	18	10	1	1.32000E-002	2.40000E-003	2.10000E-003	4.59190E-009	2.00000E-009	2.40720E-009	3.47000E+000	7.64081E+002	7.65871E+002	1.79020E+000	5.80964E-001	7.96900E-001	1.55720E-009	1.89670E-009	5.43300E-010
58	16	10	1	1.32000E-002	2.50000E-003	2.10000E-003	5.42790E-009	1.80000E-009	2.88490E-009	3.46150E+000	7.60554E+002	7.62461E+002	1.90680E+000	5.82469E-001	7.96300E-001	1.54550E-009	2.00680E-009	2.13560E-009
62	14	10	1	1.33000E-002	2.50000E-003	2.00000E-003	5.11170E-009	2.00000E-009	7.31520E-009	3.46470E+000	7.56410E+002	7.58137E+002	1.72710E+000	5.85816E-001	7.96600E-001	1.56420E-009	2.09570E-009	3.65300E-010
66	12	10	1	1.31000E-002	2.40000E-003	2.10000E-003	4.95720E-009	1.90000E-009	3.60610E-009	3.47160E+000	7.66862E+002	7.68355E+002	1.49280E+000	5.81086E-001	7.96900E-001	1.15680E-009	1.93650E-009	1.34880E-009
70	10	10	1	1.32000E-002	2.60000E-003	2.00000E-003	3.90350E-009	1.80000E-009	1.13330E-009	3.47190E+000	7.84238E+002	7.87088E+002	2.85010E+000	5.59304E-001	7.97000E-001	1.32070E-009	2.19640E-009	1.66720E-009
74	8	10	1	1.32000E-002	2.40000E-003	2.10000E-003	3.44920E-009	1.80000E-009	7.43700E-009	3.50990E+000	7.54134E+002	7.57387E+002	3.25330E+000	5.63799E-001	7.97600E-001	1.94590E-009	2.28310E-009	9.36600E-010
77	6	12	2	1.35000E-002	4.09090E+000
