Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-170237@CP
Wafer number	08
Date	2025/03/12
Time	17:05:36

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
83	9	12	1	1.32000E-002	1.30000E-003	9.00000E-004	3.44960E-009	1.50000E-009	7.21300E-010	3.46770E+000	7.80697E+002	7.82210E+002	1.51380E+000	5.66313E-001	7.95800E-001	1.05390E-009	1.82200E-009	2.07960E-009
87	11	12	1	1.32000E-002	1.30000E-003	9.00000E-004	4.75880E-009	1.20000E-009	1.95780E-009	3.46930E+000	7.68784E+002	7.70343E+002	1.55950E+000	5.73505E-001	7.96000E-001	9.55500E-010	1.91800E-009	2.75410E-009
91	13	12	1	1.32000E-002	1.30000E-003	1.00000E-003	5.83130E-009	1.60000E-009	3.19440E-009	3.47050E+000	7.66085E+002	7.67733E+002	1.64760E+000	5.72637E-001	7.96700E-001	1.21310E-009	1.63460E-009	2.47310E-009
95	15	12	1	1.32000E-002	1.30000E-003	1.00000E-003	5.89930E-009	1.70000E-009	1.29270E-009	3.45130E+000	7.64813E+002	7.66397E+002	1.58420E+000	5.79331E-001	7.96100E-001	1.37700E-009	1.83370E-009	2.70720E-009
99	17	12	1	1.33000E-002	1.30000E-003	1.00000E-003	6.18970E-009	1.50000E-009	7.58800E-010	3.45800E+000	7.63197E+002	7.64820E+002	1.62310E+000	5.75174E-001	7.96400E-001	1.15220E-009	1.78690E-009	2.60420E-009
103	19	12	1	1.32000E-002	1.40000E-003	1.00000E-003	5.24120E-009	1.50000E-009	5.04910E-009	3.44540E+000	7.61515E+002	7.63173E+002	1.65790E+000	5.72962E-001	7.96900E-001	1.12880E-009	1.88520E-009	2.82900E-009
107	21	12	1	1.32000E-002	1.40000E-003	1.00000E-003	4.19440E-009	1.50000E-009	5.70490E-009	3.45240E+000	7.77705E+002	7.79167E+002	1.46220E+000	5.65882E-001	7.97100E-001	1.20610E-009	1.98830E-009	1.87400E-010
111	23	12	1	1.31000E-002	1.30000E-003	9.00000E-004	3.65810E-009	1.40000E-009	4.14050E-009	3.47370E+000	7.80815E+002	7.82835E+002	2.01960E+000	5.50798E-001	7.97000E-001	1.58550E-009	1.80560E-009	2.62300E-010
113	23	14	1	1.33000E-002	1.30000E-003	1.00000E-003	3.46840E-009	1.70000E-009	3.88760E-009	3.47910E+000	7.87873E+002	7.89704E+002	1.83170E+000	5.54629E-001	7.97300E-001	1.26930E-009	1.92040E-009	1.59250E-009
117	21	14	1	1.32000E-002	1.40000E-003	9.00000E-004	4.68850E-009	1.20000E-009	4.06550E-009	3.45730E+000	7.72697E+002	7.74556E+002	1.85870E+000	5.61772E-001	7.96900E-001	1.00700E-009	1.97190E-009	2.43560E-009
121	19	14	1	1.31000E-002	1.20000E-003	9.00000E-004	6.14280E-009	1.60000E-009	3.68150E-009	3.46040E+000	7.68181E+002	7.69810E+002	1.62900E+000	5.66660E-001	7.96700E-001	1.04450E-009	1.92270E-009	1.37700E-009
125	17	14	1	1.32000E-002	1.30000E-003	9.00000E-004	6.52690E-009	1.50000E-009	1.25530E-009	3.45270E+000	7.67079E+002	7.68696E+002	1.61710E+000	5.72820E-001	7.95800E-001	1.09370E-009	1.75170E-009	5.62100E-010
129	15	14	1	1.32000E-002	1.30000E-003	9.00000E-004	6.32310E-009	1.60000E-009	2.32320E-009	3.44170E+000	7.64494E+002	7.66050E+002	1.55590E+000	5.73049E-001	7.95800E-001	1.24820E-009	1.81260E-009	3.46600E-009
133	13	14	1	1.32000E-002	1.30000E-003	9.00000E-004	6.06550E-009	1.50000E-009	1.45200E-009	3.45880E+000	7.68576E+002	7.70118E+002	1.54180E+000	5.73374E-001	7.96600E-001	1.04210E-009	1.62060E-009	3.25060E-009
137	11	14	1	1.32000E-002	1.30000E-003	9.00000E-004	5.33250E-009	1.60000E-009	1.92040E-009	3.46610E+000	7.70942E+002	7.72635E+002	1.69370E+000	5.61112E-001	7.95800E-001	1.13580E-009	1.74240E-009	1.88290E-009
141	9	14	1	1.32000E-002	1.30000E-003	1.00000E-003	4.09830E-009	1.70000E-009	6.71660E-009	3.46150E+000	7.64281E+002	7.66218E+002	1.93660E+000	5.66582E-001	7.95400E-001	1.36060E-009	1.83140E-009	4.68400E-010
145	7	14	1	1.31000E-002	1.30000E-003	9.00000E-004	3.09830E-009	1.30000E-009	1.04920E-009	3.47270E+000	7.79817E+002	7.81873E+002	2.05660E+000	5.56239E-001	7.95600E-001	1.36060E-009	1.73300E-009	2.10770E-009
151	5	16	3	1.33000E-002	1.10000E-003	9.00000E-004	1.38690E-005
155	7	16	1	1.31000E-002	1.20000E-003	9.00000E-004	3.54330E-009	1.50000E-009	3.86880E-009	3.46320E+000	7.84958E+002	7.86735E+002	1.77690E+000	5.58237E-001	7.96500E-001	1.30440E-009	1.70720E-009	1.97660E-009
159	9	16	1	1.31000E-002	1.30000E-003	9.00000E-004	4.34660E-009	1.50000E-009	6.12640E-009	3.47040E+000	7.60562E+002	7.62121E+002	1.55870E+000	5.72953E-001	7.97700E-001	1.15220E-009	1.93440E-009	2.65100E-009
163	11	16	1	1.32000E-002	1.20000E-003	1.00000E-003	5.48940E-009	1.70000E-009	5.65800E-009	3.47510E+000	7.71926E+002	7.73786E+002	1.85930E+000	5.62429E-001	7.96100E-001	1.31850E-009	2.02340E-009	9.40000E-012
167	13	16	1	1.32000E-002	1.30000E-003	9.00000E-004	6.03510E-009	1.30000E-009	1.06790E-009	3.44870E+000	7.65053E+002	7.67094E+002	2.04070E+000	5.68287E-001	7.96700E-001	1.18970E-009	1.96490E-009	1.45200E-009
171	15	16	1	1.32000E-002	1.30000E-003	1.00000E-003	6.19200E-009	1.40000E-009	8.43100E-010	3.43700E+000	7.66158E+002	7.67693E+002	1.53520E+000	5.70296E-001	7.96900E-001	1.03040E-009	2.03510E-009	2.29510E-009
175	17	16	1	1.31000E-002	1.30000E-003	9.00000E-004	6.38870E-009	1.60000E-009	2.16390E-009	3.44590E+000	7.69801E+002	7.71633E+002	1.83230E+000	5.71153E-001	7.96200E-001	1.06090E-009	1.80560E-009	2.21080E-009
179	19	16	1	1.32000E-002	1.30000E-003	1.00000E-003	5.88520E-009	1.60000E-009	2.49180E-009	3.45310E+000	7.68506E+002	7.70094E+002	1.58790E+000	5.67925E-001	7.96500E-001	1.10300E-009	1.86420E-009	1.40510E-009
183	21	16	1	1.33000E-002	1.40000E-003	1.00000E-003	5.62060E-009	1.80000E-009	4.65570E-009	3.43630E+000	7.71898E+002	7.73561E+002	1.66360E+000	5.66559E-001	7.97100E-001	1.34660E-009	1.66980E-009	1.67680E-009
187	23	16	1	1.32000E-002	1.40000E-003	9.00000E-004	3.38410E-009	1.50000E-009	2.45430E-009	3.47500E+000	7.90646E+002	7.91966E+002	1.31980E+000	5.61620E-001	7.97700E-001	1.33250E-009	1.75640E-009	2.54800E-009
191	23	18	1	1.33000E-002	1.30000E-003	9.00000E-004	3.53860E-009	1.40000E-009	9.18000E-010	3.47240E+000	7.91002E+002	7.92481E+002	1.47920E+000	5.60847E-001	7.97700E-001	1.29980E-009	1.88760E-009	2.01400E-009
195	21	18	1	1.32000E-002	1.30000E-003	1.00000E-003	4.88520E-009	1.50000E-009	4.37470E-009	3.40070E+000	7.75216E+002	7.76850E+002	1.63380E+000	5.65034E-001	7.96300E-001	1.09600E-009	2.07730E-009	1.88290E-009
199	19	18	1	1.31000E-002	1.40000E-003	9.00000E-004	5.89930E-009	1.70000E-009	6.65100E-010	3.44250E+000	7.73407E+002	7.74872E+002	1.46480E+000	5.68229E-001	7.96500E-001	1.25290E-009	2.05150E-009	8.24400E-010
203	17	18	1	1.32000E-002	1.40000E-003	9.00000E-004	5.91330E-009	1.30000E-009	1.46130E-009	3.43680E+000	7.73042E+002	7.74787E+002	1.74530E+000	5.69142E-001	7.95800E-001	9.74200E-010	1.75170E-009	2.39810E-009
207	15	18	1	1.32000E-002	1.30000E-003	1.00000E-003	6.66970E-009	1.60000E-009	3.84100E-010	3.43370E+000	7.59758E+002	7.61762E+002	2.00370E+000	5.61866E-001	7.97200E-001	1.26930E-009	1.81970E-009	1.24590E-009
211	13	18	1	1.31000E-002	1.30000E-003	1.00000E-003	6.22240E-009	1.40000E-009	1.77050E-009	3.44870E+000	7.68871E+002	7.70391E+002	1.52060E+000	5.69334E-001	7.95800E-001	8.12600E-010	1.73540E-009	1.73300E-009
215	11	18	1	1.32000E-002	1.20000E-003	1.00000E-003	5.63930E-009	1.60000E-009	5.30210E-009	3.47520E+000	7.72726E+002	7.74252E+002	1.52590E+000	5.65812E-001	7.96900E-001	1.13350E-009	1.97420E-009	2.25760E-009
219	9	18	1	1.31000E-002	1.30000E-003	9.00000E-004	5.05380E-009	1.50000E-009	3.87820E-009	3.45510E+000	7.59495E+002	7.61090E+002	1.59530E+000	5.74124E-001	7.97100E-001	1.18730E-009	1.52930E-009	2.66980E-009
223	7	18	1	1.33000E-002	1.30000E-003	1.00000E-003	3.30680E-009	1.50000E-009	3.66270E-009	3.46400E+000	7.84020E+002	7.86187E+002	2.16660E+000	5.58877E-001	7.97200E-001	1.11240E-009	1.86650E-009	2.90400E-009
231	7	20	1	1.32000E-002	1.20000E-003	9.00000E-004	3.23890E-009	1.40000E-009	5.62990E-009	3.45030E+000	7.82043E+002	7.83908E+002	1.86500E+000	5.56810E-001	7.97000E-001	1.01170E-009	1.67680E-009	1.31150E-009
235	9	20	1	1.31000E-002	1.30000E-003	9.00000E-004	3.96480E-009	1.50000E-009	7.93440E-009	3.45030E+000	7.58045E+002	7.59529E+002	1.48370E+000	5.76466E-001	7.96600E-001	1.28570E-009	1.79860E-009	1.52690E-009
239	11	20	1	1.32000E-002	1.30000E-003	9.00000E-004	5.62290E-009	1.80000E-009	3.85010E-009	3.47540E+000	7.71029E+002	7.73566E+002	2.53680E+000	5.66579E-001	7.96400E-001	1.33720E-009	1.87820E-009	4.02800E-010
243	13	20	1	1.32000E-002	1.40000E-003	1.00000E-003	6.41920E-009	1.40000E-009	9.55500E-010	3.44830E+000	7.66845E+002	7.68403E+002	1.55780E+000	5.72352E-001	7.96300E-001	1.04210E-009	1.85240E-009	2.97890E-009
247	15	20	1	1.32000E-002	1.30000E-003	1.00000E-003	6.55730E-009	1.70000E-009	1.48950E-009	3.43320E+000	7.65875E+002	7.67390E+002	1.51500E+000	5.73319E-001	7.96400E-001	1.18270E-009	2.03980E-009	6.93200E-010
251	17	20	1	1.33000E-002	1.30000E-003	1.00000E-003	6.33250E-009	1.20000E-009	2.13580E-009	3.43370E+000	7.65919E+002	7.67507E+002	1.58800E+000	5.70414E-001	7.96200E-001	8.15000E-010	1.75170E-009	2.54800E-009
255	19	20	1	1.32000E-002	1.40000E-003	9.00000E-004	6.39340E-009	1.60000E-009	1.05850E-009	3.45080E+000	7.74197E+002	7.75653E+002	1.45570E+000	5.70979E-001	7.95800E-001	1.07490E-009	2.01640E-009	1.24590E-009
259	21	20	1	1.32000E-002	1.40000E-003	1.00000E-003	4.76580E-009	1.70000E-009	6.56670E-009	3.45910E+000	7.75105E+002	7.77008E+002	1.90340E+000	5.67662E-001	7.95800E-001	1.12650E-009	1.66280E-009	2.05150E-009
263	23	20	1	1.31000E-002	1.30000E-003	9.00000E-004	4.14750E-009	1.50000E-009	2.40750E-009	3.47600E+000	7.90989E+002	7.92912E+002	1.92320E+000	5.57600E-001	7.96900E-001	1.40980E-009	1.92270E-009	1.33020E-009
265	23	22	1	1.32000E-002	1.20000E-003	8.00000E-004	4.14050E-009	1.10000E-009	1.49880E-009	3.44880E+000	7.84283E+002	7.86202E+002	1.91890E+000	5.51407E-001	7.95100E-001	2.27630E-009	1.47070E-009	1.22720E-009
266	21	22	1	1.32000E-002	1.30000E-003	1.00000E-003	4.34420E-009	1.60000E-009	5.05900E-010	3.46370E+000	7.78409E+002	7.79985E+002	1.57660E+000	5.70802E-001	7.95000E-001	1.07490E-009	1.96020E-009	2.45430E-009
270	19	22	1	1.32000E-002	1.30000E-003	9.00000E-004	5.45200E-009	1.50000E-009	1.88290E-009	3.45410E+000	7.64784E+002	7.66358E+002	1.57390E+000	5.70954E-001	7.95900E-001	9.90600E-010	1.81260E-009	2.80090E-009
274	17	22	1	1.33000E-002	1.30000E-003	9.00000E-004	6.04450E-009	1.60000E-009	1.45200E-009	3.45260E+000	7.71106E+002	7.72578E+002	1.47120E+000	5.76526E-001	7.96300E-001	1.25760E-009	1.98590E-009	2.45430E-009
278	15	22	1	1.33000E-002	1.30000E-003	1.00000E-003	6.47770E-009	1.70000E-009	2.46370E-009	3.44620E+000	7.66065E+002	7.67509E+002	1.44410E+000	5.76370E-001	7.96400E-001	9.36800E-010	1.75410E-009	3.16630E-009
282	13	22	1	1.32000E-002	1.30000E-003	9.00000E-004	6.20370E-009	1.40000E-009	1.66740E-009	3.46640E+000	7.62492E+002	7.64010E+002	1.51800E+000	5.79349E-001	7.96900E-001	1.03510E-009	1.70490E-009	3.13820E-009
286	11	22	1	1.32000E-002	1.30000E-003	9.00000E-004	5.71660E-009	1.60000E-009	4.03740E-009	3.46990E+000	7.61715E+002	7.63364E+002	1.64870E+000	5.70840E-001	7.96200E-001	1.37940E-009	1.72600E-009	1.39580E-009
290	9	22	1	1.32000E-002	1.30000E-003	9.00000E-004	3.76810E-009	1.60000E-009	9.26460E-009	3.46070E+000	7.66852E+002	7.68333E+002	1.48100E+000	5.75283E-001	7.96000E-001	1.33490E-009	1.74000E-009	2.15500E-010
294	7	22	1	1.31000E-002	1.30000E-003	9.00000E-004	2.65810E-009	1.70000E-009	3.70020E-009	3.49480E+000	7.77461E+002	7.78702E+002	1.24090E+000	5.56815E-001	7.96600E-001	1.36770E-009	1.90160E-009	1.58310E-009
300	9	24	1	1.33000E-002	1.20000E-003	9.00000E-004	3.75640E-009	1.70000E-009	5.43300E-010	3.46630E+000	7.82596E+002	7.84514E+002	1.91770E+000	5.61981E-001	7.95400E-001	1.16390E-009	1.96250E-009	9.27400E-010
304	11	24	1	1.31000E-002	1.30000E-003	9.00000E-004	5.01170E-009	1.60000E-009	3.44730E-009	3.46630E+000	7.66804E+002	7.68286E+002	1.48250E+000	5.75730E-001	7.96200E-001	1.21310E-009	1.76350E-009	1.27400E-009
308	13	24	1	1.33000E-002	1.30000E-003	1.00000E-003	5.52460E-009	1.60000E-009	7.58800E-010	3.46540E+000	7.61070E+002	7.62877E+002	1.80660E+000	5.75594E-001	7.95800E-001	1.48010E-009	1.85710E-009	1.20840E-009
312	15	24	1	1.32000E-002	1.30000E-003	1.00000E-003	5.62530E-009	1.80000E-009	1.62060E-009	3.45100E+000	7.64693E+002	7.66226E+002	1.53280E+000	5.74551E-001	7.96100E-001	1.44960E-009	1.79620E-009	5.90200E-010
316	17	24	1	1.32000E-002	1.30000E-003	1.00000E-003	5.18970E-009	1.40000E-009	1.82670E-009	3.45780E+000	7.65412E+002	7.66902E+002	1.48930E+000	5.73060E-001	7.95900E-001	1.31380E-009	1.60420E-009	2.62290E-009
320	19	24	1	1.31000E-002	1.40000E-003	1.00000E-003	4.36530E-009	1.40000E-009	7.49400E-010	3.45690E+000	7.66990E+002	7.68582E+002	1.59140E+000	5.76904E-001	7.96500E-001	1.37240E-009	1.90870E-009	8.05600E-010
324	21	24	1	1.33000E-002	1.30000E-003	9.00000E-004	3.90160E-009	1.90000E-009	2.37000E-009	3.46480E+000	7.86232E+002	7.88025E+002	1.79340E+000	5.66230E-001	7.95400E-001	1.03040E-009	2.09130E-009	1.50820E-009
327	19	26	1	1.34000E-002	1.30000E-003	9.00000E-004	4.09600E-009	1.80000E-009	1.26460E-009	3.46390E+000	7.84759E+002	7.87347E+002	2.58750E+000	5.67478E-001	7.95200E-001	9.78900E-010	1.69320E-009	1.33020E-009
330	17	26	1	1.33000E-002	1.30000E-003	1.00000E-003	3.87350E-009	1.40000E-009	8.89900E-010	3.46090E+000	7.74444E+002	7.76077E+002	1.63330E+000	5.74489E-001	7.96100E-001	1.31620E-009	1.86420E-009	1.69550E-009
334	15	26	1	1.32000E-002	1.30000E-003	1.00000E-003	4.33720E-009	1.50000E-009	1.63930E-009	3.44510E+000	7.69973E+002	7.71456E+002	1.48250E+000	5.74557E-001	7.96100E-001	1.43560E-009	1.80330E-009	2.65100E-009
338	13	26	1	1.31000E-002	1.40000E-003	1.00000E-003	4.13580E-009	1.60000E-009	1.73300E-009	3.46210E+000	7.70139E+002	7.71757E+002	1.61820E+000	5.76522E-001	7.96500E-001	1.23180E-009	2.01170E-009	2.55740E-009
342	11	26	1	1.32000E-002	1.20000E-003	9.00000E-004	4.26700E-009	1.50000E-009	8.33700E-010	3.46170E+000	7.85259E+002	7.85881E+002	6.21600E-001	5.58471E-001	7.95400E-001	1.04450E-009	1.99760E-009	1.24590E-009
346	9	26	1	1.32000E-002	1.20000E-003	9.00000E-004	3.76580E-009	1.40000E-009	1.01170E-009	3.49490E+000	7.63801E+002	7.66271E+002	2.47030E+000	5.66412E-001	7.96700E-001	1.81030E-009	2.08430E-009	2.15460E-009
350	13	28	1	1.34000E-002	1.20000E-003	8.00000E-004	3.99060E-009	1.60000E-009	2.49180E-009	3.47070E+000	7.75980E+002	7.77930E+002	1.95060E+000	5.55294E-001	7.95300E-001	1.57610E-009	1.95310E-009	3.30680E-009
352	15	28	1	1.34000E-002	1.20000E-003	8.00000E-004	3.49410E-009	1.40000E-009	2.53860E-009	3.45490E+000	7.78789E+002	7.80946E+002	2.15670E+000	5.56485E-001	7.95700E-001	1.63930E-009	1.51520E-009	2.00470E-009
354	17	28	1	1.32000E-002	1.20000E-003	9.00000E-004	3.72130E-009	1.30000E-009	2.65100E-009	3.46690E+000	7.77422E+002	7.79714E+002	2.29160E+000	5.59381E-001	7.95900E-001	1.99760E-009	1.58780E-009	1.07730E-009

4	18	6	1	1.31000E-002	2.40000E-003	2.00000E-003	3.91050E-009	1.40000E-009	8.66400E-009	3.54990E+000	7.40256E+002	7.44077E+002	3.82060E+000	5.65626E-001	7.98500E-001	1.92710E-009	2.03020E-009	3.19400E-009
8	16	6	1	1.32000E-002	2.40000E-003	2.00000E-003	3.65290E-009	1.70000E-009	6.74478E-008	3.50190E+000	7.65744E+002	7.67639E+002	1.89460E+000	5.67895E-001	7.97300E-001	1.68130E-009	2.49620E-009	3.69040E-009
12	14	6	1	1.32000E-002	2.40000E-003	2.00000E-003	3.77230E-009	1.60000E-009	3.57800E-009	3.50530E+000	7.66045E+002	7.67293E+002	1.24840E+000	5.66817E-001	7.97900E-001	1.44240E-009	2.22690E-009	1.33000E-009
15	12	6	1	1.37000E-002	2.30000E-003	2.00000E-003	4.60360E-009	2.00000E-010	2.44558E-008	3.58080E+000	7.14825E+002	7.18199E+002	3.37330E+000	5.63398E-001	7.98800E-001	2.08400E-009	2.22690E-009	2.88490E-009
21	10	8	1	1.32000E-002	2.40000E-003	2.00000E-003	3.75130E-009	2.00000E-009	3.09100E-010	3.51020E+000	7.71655E+002	7.74087E+002	2.43220E+000	5.61104E-001	7.95400E-001	1.82880E-009	2.03490E-009	7.11900E-010
25	12	8	1	1.32000E-002	2.40000E-003	2.00000E-003	4.08140E-009	1.80000E-009	4.33670E-009	3.45650E+000	7.82272E+002	7.84608E+002	2.33570E+000	5.57330E-001	7.96100E-001	1.49160E-009	2.08870E-009	1.30190E-009
29	14	8	1	1.32000E-002	2.40000E-003	2.00000E-003	4.40930E-009	2.10000E-009	5.64800E-009	3.46180E+000	7.80165E+002	7.81948E+002	1.78280E+000	5.70238E-001	7.96400E-001	1.72810E-009	1.91780E-009	2.18240E-009
33	16	8	1	1.33000E-002	2.50000E-003	2.10000E-003	4.54740E-009	2.10000E-009	6.43480E-009	3.45200E+000	7.79430E+002	7.80920E+002	1.48970E+000	5.70958E-001	7.96400E-001	1.81480E-009	2.11680E-009	1.78900E-009
37	18	8	1	1.32000E-002	2.50000E-003	2.10000E-003	4.12120E-009	2.00000E-009	5.43250E-009	3.46840E+000	7.81868E+002	7.84511E+002	2.64300E+000	5.63045E-001	7.98100E-001	1.62510E-009	2.26670E-009	1.57360E-009
41	20	8	1	1.31000E-002	2.50000E-003	2.10000E-003	3.72550E-009	1.80000E-009	2.94110E-009	3.47150E+000	7.74783E+002	7.76916E+002	2.13290E+000	5.57262E-001	7.95500E-001	1.38390E-009	2.04190E-009	1.57360E-009
46	22	10	1	1.32000E-002	2.40000E-003	2.00000E-003	3.49370E-009	1.80000E-009	8.33600E-010	3.47600E+000	7.76333E+002	7.78424E+002	2.09090E+000	5.58187E-001	7.95200E-001	1.58290E-009	1.92480E-009	1.30190E-009
50	20	10	1	1.32000E-002	2.40000E-003	2.00000E-003	4.37180E-009	1.90000E-009	3.17520E-009	3.45540E+000	7.78677E+002	7.80289E+002	1.61220E+000	5.68574E-001	7.96300E-001	1.55950E-009	2.15430E-009	1.32070E-009
54	18	10	1	1.33000E-002	2.40000E-003	2.00000E-003	5.28030E-009	1.70000E-009	4.33670E-009	3.46170E+000	7.66746E+002	7.68696E+002	1.94940E+000	5.76416E-001	7.96500E-001	1.54780E-009	2.00440E-009	2.08870E-009
58	16	10	1	1.32000E-002	2.40000E-003	2.00000E-003	5.32950E-009	1.80000E-009	2.36970E-009	3.45880E+000	7.63984E+002	7.65733E+002	1.74850E+000	5.77904E-001	7.95200E-001	1.57120E-009	1.98570E-009	4.68300E-010
62	14	10	1	1.33000E-002	2.50000E-003	2.00000E-003	5.54730E-009	2.10000E-009	2.21050E-009	3.46320E+000	7.64572E+002	7.66157E+002	1.58490E+000	5.79749E-001	7.95400E-001	1.91780E-009	2.10280E-009	1.92950E-009
66	12	10	1	1.32000E-002	2.40000E-003	2.10000E-003	4.27810E-009	1.70000E-009	6.65000E-010	3.46090E+000	7.72273E+002	7.73867E+002	1.59490E+000	5.77219E-001	7.95200E-001	1.47050E-009	2.02080E-009	1.26450E-009
70	10	10	1	1.31000E-002	2.40000E-003	2.10000E-003	4.07440E-009	2.00000E-009	1.00220E-009	3.46760E+000	7.84595E+002	7.86434E+002	1.83980E+000	5.62031E-001	7.95100E-001	1.58290E-009	2.23160E-009	1.49860E-009
