Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	3
Date	2025/03/03
Time	00:27:10

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
11	53	11	1	0.000E+00	0.000E+00	4.690E-07	5.510E-07	7.519E+02	7.591E+02	7.200E+00	7.000E-09	3.293E+00	3.159E-01	7.630E-01	8.230E-08	7.280E-08	2.300E-09	
12	59	11	1	0.000E+00	0.000E+00	4.350E-07	5.220E-07	7.577E+02	7.625E+02	4.800E+00	7.000E-09	3.287E+00	3.167E-01	7.630E-01	7.840E-08	6.810E-08	2.200E-09	
13	65	11	1	0.000E+00	0.000E+00	4.350E-07	5.190E-07	7.623E+02	7.678E+02	5.500E+00	6.900E-09	3.287E+00	3.172E-01	7.630E-01	7.870E-08	6.810E-08	2.400E-09	
14	71	11	1	0.000E+00	0.000E+00	5.410E-07	5.090E-07	7.526E+02	7.588E+02	6.200E+00	6.800E-09	3.309E+00	3.182E-01	7.640E-01	8.890E-08	6.560E-08	2.400E-09	
15	47	13	1	0.000E+00	0.000E+00	4.390E-07	9.370E-07	7.296E+02	7.421E+02	1.250E+01	6.900E-09	3.290E+00	3.165E-01	7.620E-01	7.900E-08	1.576E-07	2.300E-09	
16	47	15	1	0.000E+00	0.000E+00	4.310E-07	5.300E-07	7.279E+02	7.389E+02	1.100E+01	7.100E-09	3.294E+00	3.159E-01	7.610E-01	7.620E-08	6.520E-08	2.500E-09	
17	17	17	1	0.000E+00	0.000E+00	5.070E-07	5.290E-07	7.622E+02	7.686E+02	6.400E+00	6.600E-09	3.417E+00	3.103E-01	7.640E-01	8.650E-08	6.810E-08	2.700E-09	
18	23	17	1	0.000E+00	0.000E+00	9.060E-07	5.400E-07	7.494E+02	7.570E+02	7.600E+00	6.800E-09	3.365E+00	3.110E-01	7.630E-01	1.366E-07	6.760E-08	2.500E-09	
19	29	17	1	0.000E+00	0.000E+00	4.550E-07	5.120E-07	7.347E+02	7.441E+02	9.400E+00	6.800E-09	3.345E+00	3.125E-01	7.620E-01	8.120E-08	6.570E-08	2.400E-09	
20	35	17	1	0.000E+00	0.000E+00	4.770E-07	7.090E-07	7.294E+02	7.390E+02	9.600E+00	6.900E-09	3.315E+00	3.132E-01	7.620E-01	8.250E-08	1.040E-07	2.400E-09	
21	41	17	1	0.000E+00	0.000E+00	4.430E-07	5.140E-07	7.270E+02	7.379E+02	1.090E+01	7.200E-09	3.319E+00	3.137E-01	7.620E-01	7.670E-08	6.590E-08	2.500E-09	
22	47	17	1	0.000E+00	0.000E+00	4.420E-07	5.220E-07	7.234E+02	7.333E+02	9.900E+00	7.200E-09	3.293E+00	3.150E-01	7.620E-01	7.640E-08	6.560E-08	2.500E-09	
23	53	17	1	0.000E+00	0.000E+00	4.520E-07	5.210E-07	7.316E+02	7.420E+02	1.040E+01	7.200E-09	3.273E+00	3.149E-01	7.620E-01	7.750E-08	6.670E-08	2.500E-09	
24	59	17	1	0.000E+00	0.000E+00	4.880E-07	5.320E-07	7.317E+02	7.400E+02	8.300E+00	7.100E-09	3.263E+00	3.157E-01	7.610E-01	8.580E-08	7.070E-08	2.400E-09	
25	65	17	1	0.000E+00	0.000E+00	4.430E-07	5.230E-07	7.438E+02	7.517E+02	7.900E+00	7.000E-09	3.255E+00	3.153E-01	7.620E-01	7.810E-08	7.040E-08	2.300E-09	
26	71	17	1	0.000E+00	0.000E+00	4.510E-07	7.850E-07	7.475E+02	7.545E+02	7.000E+00	6.900E-09	3.264E+00	3.168E-01	7.620E-01	7.940E-08	9.780E-08	2.400E-09	
27	77	17	1	0.000E+00	0.000E+00	4.530E-07	6.540E-07	7.568E+02	7.634E+02	6.600E+00	6.800E-09	3.277E+00	3.171E-01	7.620E-01	7.870E-08	9.090E-08	2.300E-09	
28	47	19	1	0.000E+00	0.000E+00	5.060E-07	7.870E-07	7.214E+02	7.306E+02	9.200E+00	7.100E-09	3.280E+00	3.131E-01	7.620E-01	8.270E-08	1.340E-07	2.400E-09	
29	47	21	1	0.000E+00	0.000E+00	4.450E-07	4.980E-07	7.300E+02	7.376E+02	7.600E+00	7.200E-09	3.292E+00	3.097E-01	7.630E-01	7.750E-08	6.470E-08	2.500E-09	
30	11	23	1	0.000E+00	0.000E+00	4.770E-07	5.640E-07	7.699E+02	7.730E+02	3.100E+00	6.800E-09	3.440E+00	3.047E-01	7.630E-01	8.120E-08	9.240E-08	2.500E-09	
31	17	23	1	0.000E+00	0.000E+00	4.590E-07	5.450E-07	7.542E+02	7.607E+02	6.500E+00	7.000E-09	3.383E+00	3.069E-01	7.620E-01	7.990E-08	7.170E-08	2.800E-09	
32	23	23	1	0.000E+00	0.000E+00	4.710E-07	7.690E-07	7.342E+02	7.436E+02	9.400E+00	6.900E-09	3.351E+00	3.087E-01	7.620E-01	8.120E-08	1.005E-07	2.500E-09	
33	29	23	1	0.000E+00	0.000E+00	5.200E-07	5.210E-07	7.234E+02	7.330E+02	9.600E+00	7.100E-09	3.337E+00	3.092E-01	7.630E-01	8.710E-08	6.500E-08	2.500E-09	
34	35	23	1	0.000E+00	0.000E+00	4.540E-07	5.060E-07	7.227E+02	7.321E+02	9.400E+00	7.200E-09	3.325E+00	3.098E-01	7.620E-01	7.740E-08	6.480E-08	2.400E-09	
35	41	23	1	0.000E+00	0.000E+00	4.770E-07	4.900E-07	7.261E+02	7.344E+02	8.300E+00	7.200E-09	3.318E+00	3.091E-01	7.620E-01	7.880E-08	6.240E-08	2.400E-09	
36	47	23	1	0.000E+00	0.000E+00	4.300E-07	5.320E-07	7.268E+02	7.348E+02	8.000E+00	7.400E-09	3.282E+00	3.097E-01	7.620E-01	7.620E-08	6.820E-08	2.500E-09	
37	53	23	1	0.000E+00	0.000E+00	4.430E-07	6.090E-07	7.284E+02	7.371E+02	8.700E+00	7.200E-09	3.285E+00	3.109E-01	7.620E-01	7.960E-08	9.180E-08	2.400E-09	
38	59	23	1	0.000E+00	0.000E+00	7.670E-07	5.300E-07	7.288E+02	7.358E+02	7.000E+00	7.300E-09	3.257E+00	3.102E-01	7.620E-01	1.321E-07	6.920E-08	2.500E-09	
39	65	23	1	0.000E+00	1.000E-08	4.550E-07	5.180E-07	7.310E+02	7.391E+02	8.100E+00	7.100E-09	3.260E+00	3.129E-01	7.620E-01	8.050E-08	6.880E-08	2.500E-09	
40	71	23	1	0.000E+00	0.000E+00	8.950E-07	6.120E-07	7.370E+02	7.443E+02	7.300E+00	7.100E-09	3.240E+00	3.128E-01	7.620E-01	1.450E-07	9.370E-08	2.500E-09	
41	77	23	1	0.000E+00	0.000E+00	4.940E-07	5.300E-07	7.480E+02	7.550E+02	7.000E+00	7.200E-09	3.253E+00	3.142E-01	7.620E-01	8.670E-08	6.940E-08	2.500E-09	
42	83	23	1	0.000E+00	0.000E+00	5.560E-07	5.910E-07	7.610E+02	7.656E+02	4.600E+00	6.800E-09	3.264E+00	3.129E-01	7.630E-01	8.840E-08	8.510E-08	2.600E-09	
43	47	25	1	0.000E+00	1.000E-08	7.030E-07	1.077E-06	7.316E+02	7.389E+02	7.300E+00	7.300E-09	3.289E+00	3.081E-01	7.620E-01	1.172E-07	1.748E-07	2.600E-09	
44	47	27	1	0.000E+00	0.000E+00	4.490E-07	5.080E-07	7.332E+02	7.400E+02	6.800E+00	7.100E-09	3.284E+00	3.071E-01	7.620E-01	7.720E-08	6.650E-08	2.400E-09	
45	5	29	1	0.000E+00	0.000E+00	4.780E-07	5.300E-07	7.540E+02	7.572E+02	3.200E+00	6.800E-09	3.480E+00	2.977E-01	7.630E-01	8.300E-08	6.970E-08	2.700E-09	
46	11	29	1	0.000E+00	0.000E+00	4.550E-07	8.120E-07	7.702E+02	7.723E+02	2.100E+00	6.900E-09	3.395E+00	3.038E-01	7.620E-01	7.920E-08	1.206E-07	2.800E-09	
47	17	29	1	0.000E+00	0.000E+00	4.770E-07	5.300E-07	7.476E+02	7.549E+02	7.300E+00	7.100E-09	3.371E+00	3.062E-01	7.620E-01	8.050E-08	6.940E-08	3.000E-09	
48	23	29	1	0.000E+00	0.000E+00	4.680E-07	6.700E-07	7.344E+02	7.422E+02	7.800E+00	7.000E-09	3.336E+00	3.062E-01	7.620E-01	7.880E-08	9.440E-08	2.500E-09	
49	29	29	1	0.000E+00	1.000E-08	4.480E-07	5.700E-07	7.259E+02	7.349E+02	9.000E+00	7.100E-09	3.340E+00	3.074E-01	7.620E-01	7.530E-08	7.200E-08	2.500E-09	
50	35	29	1	0.000E+00	0.000E+00	4.610E-07	4.890E-07	7.305E+02	7.376E+02	7.100E+00	7.100E-09	3.315E+00	3.066E-01	7.620E-01	7.920E-08	6.360E-08	2.500E-09	
51	41	29	1	0.000E+00	1.000E-08	7.080E-07	4.820E-07	7.353E+02	7.425E+02	7.200E+00	7.200E-09	3.302E+00	3.067E-01	7.620E-01	1.136E-07	6.350E-08	2.700E-09	
52	47	29	1	0.000E+00	0.000E+00	5.250E-07	5.200E-07	7.378E+02	7.421E+02	4.300E+00	7.300E-09	3.281E+00	3.064E-01	7.620E-01	8.730E-08	6.600E-08	2.600E-09	
53	53	29	1	0.000E+00	0.000E+00	4.570E-07	5.450E-07	7.381E+02	7.426E+02	4.500E+00	7.400E-09	3.251E+00	3.080E-01	7.620E-01	7.880E-08	7.150E-08	2.800E-09	
54	59	29	1	0.000E+00	0.000E+00	5.820E-07	5.520E-07	7.303E+02	7.361E+02	5.800E+00	7.400E-09	3.259E+00	3.091E-01	7.610E-01	1.024E-07	7.070E-08	2.500E-09	
55	65	29	1	0.000E+00	0.000E+00	4.760E-07	5.140E-07	7.325E+02	7.397E+02	7.200E+00	7.100E-09	3.237E+00	3.099E-01	7.620E-01	7.960E-08	6.710E-08	2.600E-09	
56	71	29	1	0.000E+00	0.000E+00	5.040E-07	6.830E-07	7.271E+02	7.354E+02	8.300E+00	7.100E-09	3.242E+00	3.119E-01	7.620E-01	8.340E-08	9.240E-08	2.500E-09	
57	77	29	1	0.000E+00	0.000E+00	4.710E-07	5.620E-07	7.436E+02	7.505E+02	6.900E+00	7.000E-09	3.238E+00	3.116E-01	7.610E-01	8.130E-08	7.900E-08	2.300E-09	
58	83	29	1	0.000E+00	0.000E+00	5.280E-07	7.710E-07	7.572E+02	7.629E+02	5.700E+00	6.900E-09	3.261E+00	3.122E-01	7.620E-01	9.340E-08	1.078E-07	2.400E-09	
59	89	29	1	0.000E+00	0.000E+00	4.610E-07	5.270E-07	7.421E+02	7.457E+02	3.600E+00	7.000E-09	3.330E+00	3.106E-01	7.630E-01	8.040E-08	7.000E-08	2.600E-09	
60	47	31	1	0.000E+00	0.000E+00	4.700E-07	4.960E-07	7.395E+02	7.411E+02	1.600E+00	7.500E-09	3.298E+00	3.032E-01	7.620E-01	7.620E-08	6.480E-08	2.900E-09	
61	47	33	1	0.000E+00	0.000E+00	4.610E-07	6.140E-07	7.395E+02	7.411E+02	1.600E+00	7.400E-09	3.286E+00	3.033E-01	7.620E-01	7.860E-08	7.310E-08	2.800E-09	
62	5	35	1	0.000E+00	0.000E+00	7.130E-07	5.810E-07	7.677E+02	7.707E+02	3.000E+00	6.800E-09	3.510E+00	2.994E-01	7.640E-01	1.157E-07	7.730E-08	2.700E-09	
63	7	35	1	0.000E+00	0.000E+00	5.000E-07	5.410E-07	7.754E+02	7.780E+02	2.600E+00	6.800E-09	3.467E+00	3.016E-01	7.640E-01	8.410E-08	7.110E-08	2.900E-09	
64	9	35	1	0.000E+00	0.000E+00	4.860E-07	6.480E-07	7.751E+02	7.770E+02	1.900E+00	7.000E-09	3.427E+00	3.029E-01	7.630E-01	8.260E-08	8.090E-08	2.800E-09	
65	11	35	1	0.000E+00	0.000E+00	5.030E-07	5.310E-07	7.675E+02	7.720E+02	4.500E+00	6.800E-09	3.412E+00	3.031E-01	7.620E-01	8.390E-08	6.910E-08	2.700E-09	
66	13	35	1	0.000E+00	0.000E+00	4.630E-07	5.380E-07	7.624E+02	7.682E+02	5.800E+00	6.900E-09	3.407E+00	3.034E-01	7.630E-01	8.120E-08	6.890E-08	2.800E-09	
67	15	35	1	0.000E+00	0.000E+00	4.750E-07	5.450E-07	7.570E+02	7.631E+02	6.100E+00	6.900E-09	3.400E+00	3.033E-01	7.620E-01	8.040E-08	7.140E-08	2.800E-09	
68	17	35	1	0.000E+00	0.000E+00	5.200E-07	5.240E-07	7.502E+02	7.577E+02	7.500E+00	6.800E-09	3.394E+00	3.027E-01	7.620E-01	9.460E-08	6.890E-08	2.900E-09	
69	19	35	1	0.000E+00	1.000E-08	5.120E-07	5.280E-07	7.461E+02	7.556E+02	9.500E+00	7.000E-09	3.394E+00	3.031E-01	7.630E-01	9.210E-08	6.900E-08	2.900E-09	
70	21	35	1	0.000E+00	0.000E+00	4.850E-07	5.400E-07	7.436E+02	7.517E+02	8.100E+00	7.000E-09	3.373E+00	3.030E-01	7.620E-01	8.140E-08	6.860E-08	2.900E-09	
71	23	35	1	0.000E+00	0.000E+00	4.930E-07	5.170E-07	7.396E+02	7.474E+02	7.800E+00	6.800E-09	3.360E+00	3.027E-01	7.620E-01	7.990E-08	6.690E-08	3.100E-09	
72	25	35	1	0.000E+00	1.000E-08	4.610E-07	6.350E-07	7.381E+02	7.461E+02	8.000E+00	7.100E-09	3.360E+00	3.027E-01	7.620E-01	8.270E-08	8.450E-08	3.200E-09	
73	27	35	1	0.000E+00	1.000E-08	4.290E-07	4.970E-07	7.356E+02	7.436E+02	8.000E+00	6.900E-09	3.356E+00	3.033E-01	7.620E-01	7.500E-08	6.310E-08	2.800E-09	
74	29	35	1	0.000E+00	0.000E+00	4.540E-07	4.880E-07	7.339E+02	7.422E+02	8.300E+00	7.000E-09	3.362E+00	3.037E-01	7.620E-01	7.530E-08	6.210E-08	2.700E-09	
75	31	35	1	0.000E+00	0.000E+00	4.610E-07	5.240E-07	7.379E+02	7.453E+02	7.400E+00	7.100E-09	3.355E+00	3.036E-01	7.630E-01	7.750E-08	6.420E-08	2.600E-09	
76	33	35	1	0.000E+00	2.000E-08	4.320E-07	5.010E-07	7.359E+02	7.423E+02	6.400E+00	7.200E-09	3.345E+00	3.038E-01	7.620E-01	7.530E-08	6.100E-08	2.700E-09	
77	35	35	1	0.000E+00	1.000E-08	4.780E-07	4.910E-07	7.383E+02	7.441E+02	5.800E+00	7.300E-09	3.333E+00	3.038E-01	7.620E-01	8.060E-08	6.220E-08	2.900E-09	
78	37	35	1	0.000E+00	0.000E+00	6.190E-07	5.910E-07	7.392E+02	7.439E+02	4.700E+00	7.200E-09	3.324E+00	3.035E-01	7.620E-01	9.520E-08	8.470E-08	2.900E-09	
79	39	35	1	0.000E+00	0.000E+00	4.400E-07	5.140E-07	7.397E+02	7.438E+02	4.100E+00	7.400E-09	3.318E+00	3.041E-01	7.620E-01	7.750E-08	6.460E-08	2.900E-09	
80	41	35	1	0.000E+00	0.000E+00	4.430E-07	5.420E-07	7.402E+02	7.432E+02	3.000E+00	7.300E-09	3.314E+00	3.043E-01	7.620E-01	7.610E-08	8.370E-08	2.800E-09	
81	43	35	1	0.000E+00	0.000E+00	4.510E-07	5.040E-07	7.407E+02	7.425E+02	1.800E+00	7.500E-09	3.298E+00	3.039E-01	7.620E-01	7.770E-08	6.470E-08	2.900E-09	
82	45	35	1	0.000E+00	0.000E+00	5.090E-07	5.020E-07	7.403E+02	7.419E+02	1.600E+00	7.300E-09	3.288E+00	3.035E-01	7.620E-01	8.950E-08	6.500E-08	2.900E-09	
83	47	35	1	0.000E+00	0.000E+00	4.450E-07	5.310E-07	7.396E+02	7.411E+02	1.500E+00	7.500E-09	3.286E+00	3.020E-01	7.620E-01	7.860E-08	6.670E-08	2.900E-09	
84	49	35	1	0.000E+00	0.000E+00	5.290E-07	5.100E-07	7.406E+02	7.422E+02	1.600E+00	7.500E-09	3.276E+00	3.045E-01	7.620E-01	9.960E-08	6.530E-08	3.000E-09	
85	51	35	1	0.000E+00	0.000E+00	4.920E-07	5.770E-07	7.395E+02	7.424E+02	2.900E+00	7.400E-09	3.275E+00	3.052E-01	7.620E-01	8.410E-08	7.180E-08	2.700E-09	
86	53	35	1	0.000E+00	0.000E+00	4.980E-07	5.240E-07	7.400E+02	7.424E+02	2.400E+00	7.400E-09	3.273E+00	3.057E-01	7.620E-01	8.340E-08	6.800E-08	2.700E-09	
87	55	35	1	0.000E+00	0.000E+00	4.660E-07	7.750E-07	7.377E+02	7.424E+02	4.700E+00	7.200E-09	3.270E+00	3.062E-01	7.620E-01	7.990E-08	1.096E-07	2.500E-09	
88	57	35	1	0.000E+00	0.000E+00	4.550E-07	4.990E-07	7.368E+02	7.422E+02	5.400E+00	7.300E-09	3.262E+00	3.071E-01	7.620E-01	7.830E-08	6.700E-08	2.700E-09	
89	59	35	1	0.000E+00	0.000E+00	4.460E-07	6.380E-07	7.345E+02	7.408E+02	6.300E+00	7.400E-09	3.259E+00	3.065E-01	7.620E-01	7.800E-08	8.220E-08	2.500E-09	
90	61	35	1	0.000E+00	0.000E+00	4.610E-07	7.130E-07	7.313E+02	7.391E+02	7.800E+00	7.200E-09	3.258E+00	3.080E-01	7.620E-01	8.180E-08	8.870E-08	2.600E-09	
91	63	35	1	0.000E+00	0.000E+00	4.390E-07	6.430E-07	7.321E+02	7.406E+02	8.500E+00	7.200E-09	3.265E+00	3.084E-01	7.630E-01	7.620E-08	8.380E-08	2.500E-09	
92	65	35	1	0.000E+00	0.000E+00	6.920E-07	5.490E-07	7.318E+02	7.404E+02	8.600E+00	7.200E-09	3.256E+00	3.086E-01	7.620E-01	1.274E-07	6.970E-08	2.500E-09	
93	67	35	1	0.000E+00	0.000E+00	8.520E-07	6.690E-07	7.316E+02	7.392E+02	7.600E+00	7.200E-09	3.253E+00	3.084E-01	7.620E-01	1.211E-07	8.700E-08	2.600E-09	
94	69	35	1	0.000E+00	1.000E-08	4.840E-07	1.051E-06	7.332E+02	7.411E+02	7.900E+00	7.200E-09	3.250E+00	3.085E-01	7.620E-01	8.250E-08	1.785E-07	2.600E-09	
95	71	35	1	0.000E+00	0.000E+00	4.630E-07	5.490E-07	7.339E+02	7.414E+02	7.500E+00	7.200E-09	3.246E+00	3.085E-01	7.620E-01	8.260E-08	7.200E-08	2.500E-09	
96	73	35	1	0.000E+00	0.000E+00	4.810E-07	5.440E-07	7.346E+02	7.431E+02	8.500E+00	7.300E-09	3.249E+00	3.091E-01	7.620E-01	8.360E-08	7.030E-08	2.600E-09	
97	75	35	1	0.000E+00	0.000E+00	4.790E-07	5.410E-07	7.392E+02	7.484E+02	9.200E+00	7.200E-09	3.250E+00	3.102E-01	7.620E-01	8.380E-08	7.390E-08	2.500E-09	
98	77	35	1	0.000E+00	0.000E+00	5.770E-07	5.400E-07	7.415E+02	7.495E+02	8.000E+00	7.200E-09	3.254E+00	3.099E-01	7.630E-01	8.910E-08	7.270E-08	2.500E-09	
99	79	35	1	0.000E+00	0.000E+00	7.610E-07	8.120E-07	7.493E+02	7.563E+02	7.000E+00	7.100E-09	3.254E+00	3.096E-01	7.620E-01	1.294E-07	9.950E-08	2.500E-09	
100	81	35	1	0.000E+00	0.000E+00	4.990E-07	5.410E-07	7.540E+02	7.599E+02	5.900E+00	7.000E-09	3.258E+00	3.098E-01	7.620E-01	9.270E-08	7.250E-08	2.700E-09	
101	83	35	1	0.000E+00	0.000E+00	4.820E-07	5.200E-07	7.581E+02	7.643E+02	6.200E+00	7.000E-09	3.262E+00	3.100E-01	7.620E-01	8.620E-08	6.940E-08	2.600E-09	
102	85	35	1	0.000E+00	0.000E+00	4.820E-07	5.140E-07	7.636E+02	7.697E+02	6.100E+00	7.100E-09	3.288E+00	3.106E-01	7.630E-01	8.380E-08	6.790E-08	2.700E-09	
103	87	35	1	0.000E+00	0.000E+00	4.800E-07	5.370E-07	7.642E+02	7.688E+02	4.600E+00	7.000E-09	3.311E+00	3.116E-01	7.620E-01	8.340E-08	7.010E-08	2.700E-09	
104	89	35	1	0.000E+00	0.000E+00	4.880E-07	5.500E-07	7.517E+02	7.573E+02	5.600E+00	7.000E-09	3.343E+00	3.117E-01	7.640E-01	8.840E-08	7.510E-08	2.700E-09	
105	91	35	1	0.000E+00	0.000E+00	5.690E-07	5.490E-07	7.566E+02	7.600E+02	3.400E+00	7.500E-09	3.416E+00	3.023E-01	7.670E-01	1.062E-07	7.320E-08	3.100E-09	
106	47	37	1	0.000E+00	0.000E+00	4.570E-07	9.770E-07	7.413E+02	7.432E+02	1.900E+00	7.300E-09	3.277E+00	3.035E-01	7.620E-01	7.870E-08	1.503E-07	3.000E-09	
107	47	39	1	0.000E+00	0.000E+00	4.530E-07	5.320E-07	7.422E+02	7.450E+02	2.800E+00	7.200E-09	3.271E+00	3.048E-01	7.610E-01	7.840E-08	7.040E-08	2.900E-09	
108	5	41	1	0.000E+00	1.000E-08	5.350E-07	7.850E-07	7.646E+02	7.679E+02	3.300E+00	6.900E-09	3.528E+00	2.975E-01	7.650E-01	9.190E-08	1.099E-07	2.900E-09	
109	11	41	1	0.000E+00	0.000E+00	5.020E-07	5.690E-07	7.771E+02	7.787E+02	1.600E+00	7.000E-09	3.430E+00	3.012E-01	7.640E-01	8.730E-08	7.330E-08	2.800E-09	
110	17	41	1	0.000E+00	0.000E+00	8.090E-07	5.850E-07	7.595E+02	7.650E+02	5.500E+00	7.000E-09	3.408E+00	3.018E-01	7.630E-01	1.426E-07	7.910E-08	2.900E-09	
111	23	41	1	0.000E+00	0.000E+00	5.020E-07	5.330E-07	7.465E+02	7.525E+02	6.000E+00	6.900E-09	3.377E+00	3.018E-01	7.630E-01	8.310E-08	6.810E-08	3.000E-09	
112	29	41	1	0.000E+00	0.000E+00	5.740E-07	7.730E-07	7.416E+02	7.474E+02	5.800E+00	7.100E-09	3.365E+00	3.017E-01	7.630E-01	9.410E-08	8.900E-08	2.900E-09	
113	35	41	1	0.000E+00	0.000E+00	5.720E-07	7.760E-07	7.407E+02	7.461E+02	5.400E+00	7.200E-09	3.338E+00	3.021E-01	7.620E-01	9.550E-08	9.590E-08	3.000E-09	
114	41	41	1	0.000E+00	0.000E+00	6.750E-07	5.230E-07	7.448E+02	7.472E+02	2.400E+00	7.300E-09	3.309E+00	3.020E-01	7.620E-01	1.066E-07	6.970E-08	3.200E-09	
115	47	41	1	0.000E+00	0.000E+00	4.410E-07	5.460E-07	7.440E+02	7.460E+02	2.000E+00	7.200E-09	3.297E+00	3.031E-01	7.620E-01	7.580E-08	6.750E-08	3.000E-09	
116	53	41	1	0.000E+00	0.000E+00	6.710E-07	6.080E-07	7.433E+02	7.467E+02	3.400E+00	7.300E-09	3.276E+00	3.042E-01	7.620E-01	1.163E-07	8.390E-08	3.100E-09	
117	59	41	1	0.000E+00	0.000E+00	7.510E-07	5.070E-07	7.388E+02	7.442E+02	5.400E+00	7.100E-09	3.267E+00	3.060E-01	7.620E-01	1.220E-07	6.510E-08	3.100E-09	
118	65	41	1	0.000E+00	0.000E+00	5.300E-07	5.310E-07	7.389E+02	7.453E+02	6.400E+00	7.000E-09	3.256E+00	3.066E-01	7.620E-01	9.210E-08	6.860E-08	3.000E-09	
119	71	41	1	0.000E+00	1.000E-08	5.670E-07	5.580E-07	7.414E+02	7.475E+02	6.100E+00	7.200E-09	3.247E+00	3.071E-01	7.620E-01	9.030E-08	7.310E-08	2.900E-09	
120	77	41	1	0.000E+00	0.000E+00	4.970E-07	5.460E-07	7.531E+02	7.584E+02	5.300E+00	7.100E-09	3.252E+00	3.081E-01	7.620E-01	8.510E-08	7.330E-08	2.800E-09	
121	83	41	1	0.000E+00	0.000E+00	4.960E-07	5.620E-07	7.694E+02	7.723E+02	2.900E+00	7.000E-09	3.287E+00	3.079E-01	7.630E-01	8.550E-08	7.580E-08	2.700E-09	
122	89	41	1	0.000E+00	0.000E+00	4.900E-07	5.860E-07	7.514E+02	7.546E+02	3.200E+00	6.800E-09	3.384E+00	3.080E-01	7.640E-01	8.580E-08	7.820E-08	2.800E-09	
123	47	43	1	0.000E+00	0.000E+00	4.510E-07	5.270E-07	7.420E+02	7.472E+02	5.200E+00	7.100E-09	3.286E+00	3.044E-01	7.620E-01	7.660E-08	6.590E-08	3.100E-09	
124	47	45	1	0.000E+00	0.000E+00	4.580E-07	5.880E-07	7.425E+02	7.489E+02	6.400E+00	7.200E-09	3.289E+00	3.051E-01	7.620E-01	7.970E-08	7.340E-08	3.000E-09	
