Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	2
Date	2025/03/03
Time	00:19:09

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
11	53	11	1	0.000E+00	1.000E-08	4.350E-07	5.240E-07	7.545E+02	7.596E+02	5.100E+00	6.500E-09	3.301E+00	3.124E-01	7.620E-01	7.090E-08	5.770E-08	2.000E-09	
12	59	11	1	0.000E+00	0.000E+00	4.810E-07	4.950E-07	7.593E+02	7.618E+02	2.500E+00	6.700E-09	3.289E+00	3.123E-01	7.620E-01	7.580E-08	6.070E-08	2.100E-09	
13	65	11	1	0.000E+00	0.000E+00	3.500E-07	4.320E-07	7.588E+02	7.619E+02	3.100E+00	6.600E-09	3.276E+00	3.137E-01	7.620E-01	6.220E-08	5.180E-08	2.300E-09	
14	71	11	1	0.000E+00	0.000E+00	3.760E-07	4.550E-07	7.393E+02	7.446E+02	5.300E+00	6.600E-09	3.301E+00	3.149E-01	7.630E-01	6.480E-08	5.470E-08	2.300E-09	
15	47	13	1	0.000E+00	1.000E-08	4.260E-07	4.760E-07	7.390E+02	7.464E+02	7.400E+00	6.800E-09	3.311E+00	3.139E-01	7.620E-01	6.780E-08	5.350E-08	2.100E-09	
16	47	15	1	0.000E+00	0.000E+00	6.020E-07	6.950E-07	7.299E+02	7.384E+02	8.500E+00	6.800E-09	3.313E+00	3.137E-01	7.620E-01	1.044E-07	9.980E-08	2.200E-09	
17	17	17	1	0.000E+00	0.000E+00	3.480E-07	4.180E-07	7.615E+02	7.659E+02	4.400E+00	6.500E-09	3.430E+00	3.137E-01	7.630E-01	6.140E-08	5.030E-08	2.300E-09	
18	23	17	1	0.000E+00	1.000E-08	3.830E-07	4.210E-07	7.558E+02	7.609E+02	5.100E+00	6.700E-09	3.380E+00	3.116E-01	7.610E-01	6.840E-08	5.170E-08	2.400E-09	
19	29	17	1	0.000E+00	0.000E+00	4.360E-07	4.400E-07	7.420E+02	7.485E+02	6.500E+00	6.700E-09	3.357E+00	3.123E-01	7.620E-01	7.020E-08	5.080E-08	2.200E-09	
20	35	17	1	0.000E+00	0.000E+00	3.650E-07	7.030E-07	7.298E+02	7.386E+02	8.800E+00	6.900E-09	3.330E+00	3.132E-01	7.610E-01	6.380E-08	8.070E-08	2.300E-09	
21	41	17	1	0.000E+00	0.000E+00	4.080E-07	4.270E-07	7.239E+02	7.348E+02	1.090E+01	6.800E-09	3.338E+00	3.135E-01	7.620E-01	6.550E-08	5.150E-08	2.300E-09	
22	47	17	1	0.000E+00	1.000E-08	4.870E-07	4.380E-07	7.224E+02	7.319E+02	9.500E+00	6.800E-09	3.303E+00	3.136E-01	7.620E-01	7.580E-08	5.210E-08	2.100E-09	
23	53	17	1	0.000E+00	0.000E+00	6.010E-07	4.340E-07	7.290E+02	7.389E+02	9.900E+00	6.900E-09	3.280E+00	3.123E-01	7.620E-01	1.058E-07	5.260E-08	2.400E-09	
24	59	17	1	0.000E+00	0.000E+00	4.210E-07	6.790E-07	7.300E+02	7.379E+02	7.900E+00	6.600E-09	3.267E+00	3.122E-01	7.620E-01	7.470E-08	1.296E-07	2.200E-09	
25	65	17	1	0.000E+00	0.000E+00	3.780E-07	5.370E-07	7.397E+02	7.470E+02	7.300E+00	6.700E-09	3.254E+00	3.113E-01	7.610E-01	6.400E-08	6.240E-08	2.200E-09	
26	71	17	1	0.000E+00	0.000E+00	3.930E-07	4.420E-07	7.513E+02	7.560E+02	4.700E+00	6.700E-09	3.248E+00	3.102E-01	7.610E-01	6.650E-08	5.270E-08	2.300E-09	
27	77	17	1	0.000E+00	0.000E+00	3.690E-07	4.620E-07	7.584E+02	7.626E+02	4.200E+00	6.600E-09	3.260E+00	3.103E-01	7.610E-01	6.200E-08	5.610E-08	2.500E-09	
28	47	19	1	0.000E+00	0.000E+00	3.850E-07	7.980E-07	7.193E+02	7.284E+02	9.100E+00	6.800E-09	3.293E+00	3.126E-01	7.620E-01	6.470E-08	9.270E-08	2.200E-09	
29	47	21	1	0.000E+00	1.000E-08	4.860E-07	4.930E-07	7.242E+02	7.323E+02	8.100E+00	6.900E-09	3.318E+00	3.096E-01	7.620E-01	9.200E-08	5.720E-08	2.300E-09	
30	11	23	1	0.000E+00	0.000E+00	4.420E-07	6.250E-07	7.663E+02	7.683E+02	2.000E+00	6.600E-09	3.461E+00	3.078E-01	7.630E-01	6.710E-08	7.210E-08	2.500E-09	
31	17	23	1	0.000E+00	0.000E+00	3.660E-07	4.290E-07	7.577E+02	7.614E+02	3.700E+00	6.700E-09	3.416E+00	3.083E-01	7.620E-01	6.320E-08	5.110E-08	2.300E-09	
32	23	23	1	0.000E+00	0.000E+00	3.990E-07	4.400E-07	7.358E+02	7.439E+02	8.100E+00	6.800E-09	3.381E+00	3.093E-01	7.620E-01	6.610E-08	5.380E-08	2.500E-09	
33	29	23	1	0.000E+00	0.000E+00	3.860E-07	4.330E-07	7.234E+02	7.323E+02	8.900E+00	6.800E-09	3.364E+00	3.098E-01	7.620E-01	6.440E-08	5.250E-08	2.200E-09	
34	35	23	1	0.000E+00	0.000E+00	3.840E-07	4.480E-07	7.200E+02	7.297E+02	9.700E+00	6.900E-09	3.346E+00	3.097E-01	7.620E-01	6.490E-08	5.420E-08	2.200E-09	
35	41	23	1	0.000E+00	0.000E+00	4.040E-07	4.440E-07	7.214E+02	7.299E+02	8.500E+00	7.100E-09	3.339E+00	3.092E-01	7.620E-01	6.870E-08	5.570E-08	2.400E-09	
36	47	23	1	0.000E+00	0.000E+00	3.950E-07	4.630E-07	7.215E+02	7.305E+02	9.000E+00	7.100E-09	3.314E+00	3.085E-01	7.620E-01	6.910E-08	5.540E-08	2.400E-09	
37	53	23	1	0.000E+00	0.000E+00	4.620E-07	1.681E-06	7.224E+02	7.320E+02	9.600E+00	7.000E-09	3.298E+00	3.087E-01	7.620E-01	7.110E-08	2.441E-07	2.500E-09	
38	59	23	1	0.000E+00	0.000E+00	4.180E-07	5.110E-07	7.212E+02	7.296E+02	8.400E+00	7.000E-09	3.270E+00	3.087E-01	7.620E-01	7.090E-08	6.860E-08	2.200E-09	
39	65	23	1	0.000E+00	0.000E+00	4.110E-07	4.780E-07	7.240E+02	7.325E+02	8.500E+00	6.900E-09	3.260E+00	3.084E-01	7.620E-01	6.990E-08	5.730E-08	2.300E-09	
40	71	23	1	0.000E+00	0.000E+00	3.890E-07	4.510E-07	7.342E+02	7.405E+02	6.300E+00	6.800E-09	3.232E+00	3.080E-01	7.620E-01	6.560E-08	5.410E-08	2.400E-09	
41	77	23	1	0.000E+00	0.000E+00	3.680E-07	6.560E-07	7.528E+02	7.559E+02	3.100E+00	6.800E-09	3.238E+00	3.062E-01	7.620E-01	6.380E-08	7.460E-08	2.500E-09	
42	83	23	1	0.000E+00	0.000E+00	3.760E-07	4.400E-07	7.610E+02	7.630E+02	2.000E+00	6.800E-09	3.228E+00	3.058E-01	7.620E-01	6.290E-08	5.290E-08	2.600E-09	
43	47	25	1	0.000E+00	0.000E+00	4.040E-07	4.680E-07	7.224E+02	7.312E+02	8.800E+00	7.000E-09	3.311E+00	3.069E-01	7.610E-01	6.800E-08	5.590E-08	2.500E-09	
44	47	27	1	0.000E+00	1.000E-08	4.180E-07	4.870E-07	7.210E+02	7.297E+02	8.700E+00	7.300E-09	3.299E+00	3.068E-01	7.620E-01	7.200E-08	6.030E-08	2.400E-09	
45	5	29	1	0.000E+00	0.000E+00	4.920E-07	9.310E-07	7.434E+02	7.472E+02	3.800E+00	6.500E-09	3.467E+00	3.024E-01	7.640E-01	7.480E-08	1.192E-07	2.600E-09	
46	11	29	1	0.000E+00	0.000E+00	4.070E-07	4.510E-07	7.626E+02	7.645E+02	1.900E+00	6.800E-09	3.402E+00	3.035E-01	7.630E-01	6.330E-08	4.980E-08	2.700E-09	
47	17	29	1	0.000E+00	0.000E+00	4.390E-07	8.120E-07	7.493E+02	7.548E+02	5.500E+00	6.800E-09	3.387E+00	3.062E-01	7.620E-01	7.600E-08	9.600E-08	2.500E-09	
48	23	29	1	0.000E+00	0.000E+00	5.020E-07	4.860E-07	7.313E+02	7.390E+02	7.700E+00	7.000E-09	3.355E+00	3.071E-01	7.610E-01	7.890E-08	5.810E-08	2.400E-09	
49	29	29	1	0.000E+00	0.000E+00	3.970E-07	4.580E-07	7.213E+02	7.308E+02	9.500E+00	7.100E-09	3.348E+00	3.081E-01	7.620E-01	6.940E-08	5.530E-08	2.400E-09	
50	35	29	1	0.000E+00	0.000E+00	4.590E-07	4.870E-07	7.217E+02	7.305E+02	8.800E+00	7.200E-09	3.318E+00	3.077E-01	7.620E-01	7.470E-08	6.330E-08	2.500E-09	
51	41	29	1	0.000E+00	0.000E+00	4.670E-07	5.190E-07	7.193E+02	7.290E+02	9.700E+00	7.200E-09	3.305E+00	3.076E-01	7.620E-01	7.670E-08	6.670E-08	2.300E-09	
52	47	29	1	0.000E+00	0.000E+00	4.870E-07	7.100E-07	7.208E+02	7.284E+02	7.600E+00	7.300E-09	3.293E+00	3.060E-01	7.610E-01	7.950E-08	8.580E-08	2.500E-09	
53	53	29	1	0.000E+00	0.000E+00	4.420E-07	4.830E-07	7.234E+02	7.311E+02	7.700E+00	7.300E-09	3.248E+00	3.060E-01	7.620E-01	7.870E-08	6.030E-08	2.400E-09	
54	59	29	1	0.000E+00	0.000E+00	4.090E-07	4.760E-07	7.192E+02	7.271E+02	7.900E+00	7.100E-09	3.254E+00	3.069E-01	7.610E-01	7.010E-08	6.040E-08	2.400E-09	
55	65	29	1	0.000E+00	0.000E+00	4.250E-07	4.730E-07	7.237E+02	7.314E+02	7.700E+00	7.100E-09	3.235E+00	3.062E-01	7.610E-01	7.020E-08	5.850E-08	2.400E-09	
56	71	29	1	0.000E+00	0.000E+00	4.110E-07	1.199E-06	7.254E+02	7.329E+02	7.500E+00	7.000E-09	3.243E+00	3.066E-01	7.610E-01	7.040E-08	2.072E-07	2.400E-09	
57	77	29	1	0.000E+00	1.000E-08	3.630E-07	4.150E-07	7.444E+02	7.500E+02	5.600E+00	6.800E-09	3.237E+00	3.054E-01	7.610E-01	6.330E-08	5.010E-08	2.300E-09	
58	83	29	1	0.000E+00	0.000E+00	3.740E-07	4.350E-07	7.608E+02	7.623E+02	1.500E+00	6.800E-09	3.255E+00	3.040E-01	7.620E-01	6.360E-08	5.080E-08	2.700E-09	
59	89	29	1	0.000E+00	0.000E+00	4.250E-07	5.620E-07	7.372E+02	7.411E+02	3.900E+00	6.900E-09	3.319E+00	3.020E-01	7.630E-01	7.090E-08	7.750E-08	2.700E-09	
60	47	31	1	0.000E+00	0.000E+00	4.250E-07	5.340E-07	7.239E+02	7.292E+02	5.300E+00	7.600E-09	3.309E+00	3.024E-01	7.620E-01	7.410E-08	7.010E-08	2.700E-09	
61	47	33	1	0.000E+00	0.000E+00	4.760E-07	6.710E-07	7.213E+02	7.274E+02	6.100E+00	7.500E-09	3.303E+00	3.028E-01	7.630E-01	7.980E-08	7.940E-08	2.600E-09	
62	5	35	1	0.000E+00	0.000E+00	3.970E-07	4.780E-07	7.626E+02	7.657E+02	3.100E+00	6.800E-09	3.499E+00	3.028E-01	7.630E-01	6.770E-08	5.800E-08	2.600E-09	
63	7	35	1	0.000E+00	1.000E-08	3.930E-07	4.600E-07	7.703E+02	7.718E+02	1.500E+00	6.800E-09	3.481E+00	3.027E-01	7.630E-01	6.650E-08	5.580E-08	2.600E-09	
64	9	35	1	0.000E+00	0.000E+00	4.770E-07	4.580E-07	7.668E+02	7.683E+02	1.500E+00	6.800E-09	3.451E+00	3.023E-01	7.620E-01	7.180E-08	5.500E-08	2.700E-09	
65	11	35	1	0.000E+00	0.000E+00	4.050E-07	4.520E-07	7.640E+02	7.654E+02	1.400E+00	6.600E-09	3.438E+00	3.022E-01	7.620E-01	6.830E-08	5.570E-08	2.600E-09	
66	13	35	1	0.000E+00	0.000E+00	3.990E-07	6.820E-07	7.617E+02	7.632E+02	1.500E+00	6.900E-09	3.431E+00	3.020E-01	7.620E-01	6.880E-08	9.010E-08	2.800E-09	
67	15	35	1	0.000E+00	0.000E+00	5.240E-07	4.750E-07	7.588E+02	7.604E+02	1.600E+00	6.800E-09	3.424E+00	3.018E-01	7.630E-01	8.920E-08	5.860E-08	2.600E-09	
68	17	35	1	0.000E+00	0.000E+00	5.810E-07	4.990E-07	7.520E+02	7.558E+02	3.800E+00	6.700E-09	3.419E+00	3.023E-01	7.620E-01	9.850E-08	5.990E-08	2.500E-09	
69	19	35	1	0.000E+00	0.000E+00	6.940E-07	4.970E-07	7.460E+02	7.512E+02	5.200E+00	7.000E-09	3.417E+00	3.027E-01	7.630E-01	1.098E-07	5.850E-08	2.800E-09	
70	21	35	1	0.000E+00	1.000E-08	3.990E-07	4.990E-07	7.398E+02	7.462E+02	6.400E+00	6.900E-09	3.397E+00	3.030E-01	7.620E-01	6.800E-08	6.060E-08	2.500E-09	
71	23	35	1	0.000E+00	0.000E+00	3.840E-07	4.960E-07	7.350E+02	7.419E+02	6.900E+00	7.000E-09	3.389E+00	3.025E-01	7.620E-01	6.570E-08	6.340E-08	2.400E-09	
72	25	35	1	0.000E+00	0.000E+00	4.010E-07	4.550E-07	7.327E+02	7.397E+02	7.000E+00	6.900E-09	3.389E+00	3.037E-01	7.620E-01	6.720E-08	5.720E-08	2.400E-09	
73	27	35	1	0.000E+00	0.000E+00	4.180E-07	5.520E-07	7.299E+02	7.368E+02	6.900E+00	7.100E-09	3.386E+00	3.036E-01	7.620E-01	6.830E-08	6.030E-08	2.600E-09	
74	29	35	1	0.000E+00	0.000E+00	3.970E-07	4.550E-07	7.278E+02	7.349E+02	7.100E+00	7.200E-09	3.384E+00	3.039E-01	7.620E-01	6.870E-08	5.560E-08	2.400E-09	
75	31	35	1	0.000E+00	0.000E+00	4.180E-07	4.670E-07	7.287E+02	7.366E+02	7.900E+00	7.100E-09	3.370E+00	3.041E-01	7.620E-01	6.980E-08	5.880E-08	2.500E-09	
76	33	35	1	0.000E+00	0.000E+00	4.160E-07	4.690E-07	7.259E+02	7.333E+02	7.400E+00	7.200E-09	3.360E+00	3.042E-01	7.620E-01	7.020E-08	6.060E-08	2.400E-09	
77	35	35	1	0.000E+00	1.000E-08	4.180E-07	4.740E-07	7.261E+02	7.335E+02	7.400E+00	7.400E-09	3.346E+00	3.035E-01	7.620E-01	7.300E-08	6.030E-08	2.700E-09	
78	37	35	1	0.000E+00	0.000E+00	4.380E-07	6.910E-07	7.240E+02	7.311E+02	7.100E+00	7.400E-09	3.339E+00	3.036E-01	7.620E-01	7.530E-08	8.820E-08	2.500E-09	
79	39	35	1	0.000E+00	0.000E+00	7.700E-07	4.900E-07	7.213E+02	7.289E+02	7.600E+00	7.300E-09	3.337E+00	3.041E-01	7.620E-01	1.417E-07	6.290E-08	2.500E-09	
80	41	35	1	0.000E+00	0.000E+00	4.450E-07	5.680E-07	7.200E+02	7.283E+02	8.300E+00	7.500E-09	3.336E+00	3.038E-01	7.620E-01	7.770E-08	7.150E-08	2.500E-09	
81	43	35	1	0.000E+00	0.000E+00	4.760E-07	5.230E-07	7.192E+02	7.271E+02	7.900E+00	7.400E-09	3.318E+00	3.037E-01	7.610E-01	7.980E-08	6.720E-08	2.600E-09	
82	45	35	1	0.000E+00	0.000E+00	4.600E-07	5.230E-07	7.192E+02	7.264E+02	7.200E+00	7.600E-09	3.300E+00	3.036E-01	7.620E-01	7.880E-08	6.680E-08	2.700E-09	
83	47	35	1	0.000E+00	1.000E-08	4.650E-07	5.040E-07	7.202E+02	7.271E+02	6.900E+00	7.600E-09	3.289E+00	3.031E-01	7.620E-01	7.810E-08	6.510E-08	2.600E-09	
84	49	35	1	0.000E+00	0.000E+00	5.150E-07	7.870E-07	7.200E+02	7.267E+02	6.700E+00	7.500E-09	3.280E+00	3.033E-01	7.620E-01	8.680E-08	1.168E-07	2.600E-09	
85	51	35	1	0.000E+00	0.000E+00	4.580E-07	5.300E-07	7.191E+02	7.268E+02	7.700E+00	7.700E-09	3.281E+00	3.036E-01	7.620E-01	7.900E-08	6.770E-08	2.600E-09	
86	53	35	1	0.000E+00	1.000E-08	4.490E-07	5.000E-07	7.206E+02	7.288E+02	8.200E+00	7.500E-09	3.273E+00	3.042E-01	7.620E-01	7.800E-08	6.330E-08	2.600E-09	
87	55	35	1	0.000E+00	0.000E+00	5.970E-07	6.800E-07	7.207E+02	7.288E+02	8.100E+00	7.500E-09	3.276E+00	3.049E-01	7.620E-01	9.740E-08	9.090E-08	2.500E-09	
88	57	35	1	0.000E+00	0.000E+00	4.370E-07	7.850E-07	7.221E+02	7.305E+02	8.400E+00	7.300E-09	3.272E+00	3.043E-01	7.620E-01	7.620E-08	1.318E-07	2.500E-09	
89	59	35	1	0.000E+00	0.000E+00	4.280E-07	4.950E-07	7.233E+02	7.308E+02	7.500E+00	7.300E-09	3.266E+00	3.043E-01	7.620E-01	7.300E-08	6.330E-08	2.600E-09	
90	61	35	1	0.000E+00	0.000E+00	4.110E-07	6.200E-07	7.230E+02	7.313E+02	8.300E+00	7.200E-09	3.264E+00	3.045E-01	7.610E-01	7.250E-08	6.900E-08	2.400E-09	
91	63	35	1	0.000E+00	0.000E+00	3.910E-07	4.630E-07	7.249E+02	7.336E+02	8.700E+00	7.300E-09	3.262E+00	3.042E-01	7.620E-01	6.870E-08	5.770E-08	2.600E-09	
92	65	35	1	0.000E+00	0.000E+00	4.200E-07	4.620E-07	7.249E+02	7.328E+02	7.900E+00	7.000E-09	3.256E+00	3.046E-01	7.620E-01	7.140E-08	5.790E-08	2.400E-09	
93	67	35	1	0.000E+00	0.000E+00	4.220E-07	5.060E-07	7.253E+02	7.330E+02	7.700E+00	7.200E-09	3.252E+00	3.040E-01	7.620E-01	7.330E-08	6.440E-08	2.400E-09	
94	69	35	1	0.000E+00	0.000E+00	4.620E-07	4.570E-07	7.282E+02	7.362E+02	8.000E+00	6.900E-09	3.254E+00	3.041E-01	7.620E-01	7.280E-08	5.610E-08	2.500E-09	
95	71	35	1	0.000E+00	0.000E+00	4.330E-07	4.950E-07	7.319E+02	7.393E+02	7.400E+00	7.000E-09	3.250E+00	3.033E-01	7.620E-01	7.450E-08	6.100E-08	2.400E-09	
96	73	35	1	0.000E+00	1.000E-08	3.830E-07	4.420E-07	7.351E+02	7.422E+02	7.100E+00	7.000E-09	3.252E+00	3.030E-01	7.620E-01	6.860E-08	5.420E-08	2.500E-09	
97	75	35	1	0.000E+00	0.000E+00	3.900E-07	7.310E-07	7.428E+02	7.489E+02	6.100E+00	6.900E-09	3.251E+00	3.030E-01	7.620E-01	6.710E-08	9.340E-08	2.500E-09	
98	77	35	1	0.000E+00	0.000E+00	3.830E-07	7.190E-07	7.481E+02	7.528E+02	4.700E+00	6.900E-09	3.256E+00	3.021E-01	7.620E-01	6.700E-08	9.140E-08	2.600E-09	
99	79	35	1	0.000E+00	0.000E+00	3.890E-07	4.680E-07	7.558E+02	7.577E+02	1.900E+00	6.900E-09	3.252E+00	3.014E-01	7.620E-01	6.820E-08	5.850E-08	2.600E-09	
100	81	35	1	0.000E+00	0.000E+00	4.820E-07	4.660E-07	7.592E+02	7.606E+02	1.400E+00	7.000E-09	3.246E+00	3.013E-01	7.620E-01	9.920E-08	5.630E-08	2.700E-09	
101	83	35	1	0.000E+00	0.000E+00	3.920E-07	7.270E-07	7.616E+02	7.631E+02	1.500E+00	6.800E-09	3.251E+00	3.007E-01	7.610E-01	6.590E-08	9.550E-08	2.700E-09	
102	85	35	1	0.000E+00	0.000E+00	8.030E-07	5.420E-07	7.646E+02	7.660E+02	1.400E+00	6.800E-09	3.269E+00	3.013E-01	7.620E-01	1.090E-07	7.330E-08	2.800E-09	
103	87	35	1	0.000E+00	0.000E+00	3.530E-07	4.320E-07	7.673E+02	7.690E+02	1.700E+00	6.800E-09	3.299E+00	3.029E-01	7.630E-01	6.210E-08	5.420E-08	2.600E-09	
104	89	35	1	0.000E+00	0.000E+00	3.770E-07	6.080E-07	7.562E+02	7.594E+02	3.200E+00	6.700E-09	3.332E+00	3.032E-01	7.630E-01	6.760E-08	6.840E-08	2.600E-09	
105	91	35	6	0.000E+00	0.000E+00	5.070E-07	4.410E-07	6.374E+02										
106	47	37	1	0.000E+00	0.000E+00	4.510E-07	5.290E-07	7.201E+02	7.274E+02	7.300E+00	7.500E-09	3.267E+00	3.031E-01	7.610E-01	7.700E-08	6.600E-08	2.700E-09	
107	47	39	1	0.000E+00	0.000E+00	5.650E-07	5.630E-07	7.203E+02	7.273E+02	7.000E+00	7.400E-09	3.268E+00	3.036E-01	7.620E-01	8.900E-08	6.960E-08	2.700E-09	
108	5	41	1	0.000E+00	0.000E+00	4.340E-07	4.690E-07	7.542E+02	7.578E+02	3.600E+00	6.700E-09	3.507E+00	3.000E-01	7.640E-01	6.910E-08	5.970E-08	2.700E-09	
109	11	41	1	0.000E+00	0.000E+00	4.510E-07	5.740E-07	7.637E+02	7.655E+02	1.800E+00	7.100E-09	3.448E+00	2.987E-01	7.640E-01	8.230E-08	6.620E-08	3.000E-09	
110	17	41	1	0.000E+00	0.000E+00	4.170E-07	7.380E-07	7.585E+02	7.599E+02	1.400E+00	6.900E-09	3.424E+00	2.997E-01	7.630E-01	7.150E-08	8.700E-08	2.900E-09	
111	23	41	1	0.000E+00	0.000E+00	4.680E-07	4.560E-07	7.438E+02	7.488E+02	5.000E+00	6.900E-09	3.401E+00	3.006E-01	7.620E-01	7.320E-08	5.550E-08	2.700E-09	
112	29	41	1	0.000E+00	1.000E-08	4.140E-07	6.010E-07	7.352E+02	7.415E+02	6.300E+00	7.100E-09	3.375E+00	3.007E-01	7.620E-01	7.120E-08	6.850E-08	2.500E-09	
113	35	41	1	0.000E+00	0.000E+00	4.550E-07	4.850E-07	7.328E+02	7.385E+02	5.700E+00	7.300E-09	3.353E+00	3.012E-01	7.620E-01	7.670E-08	5.980E-08	2.600E-09	
114	41	41	1	0.000E+00	0.000E+00	4.480E-07	6.790E-07	7.318E+02	7.364E+02	4.600E+00	7.500E-09	3.335E+00	3.000E-01	7.620E-01	7.840E-08	1.011E-07	2.800E-09	
115	47	41	1	0.000E+00	1.000E-08	4.700E-07	5.530E-07	7.285E+02	7.339E+02	5.400E+00	7.600E-09	3.302E+00	3.016E-01	7.620E-01	8.250E-08	7.070E-08	2.600E-09	
116	53	41	1	0.000E+00	0.000E+00	5.310E-07	5.500E-07	7.309E+02	7.364E+02	5.500E+00	7.600E-09	3.278E+00	3.016E-01	7.620E-01	9.120E-08	7.190E-08	2.700E-09	
117	59	41	1	0.000E+00	0.000E+00	5.040E-07	5.070E-07	7.334E+02	7.391E+02	5.700E+00	7.400E-09	3.267E+00	3.019E-01	7.620E-01	8.380E-08	6.770E-08	2.700E-09	
118	65	41	1	0.000E+00	0.000E+00	4.400E-07	4.980E-07	7.358E+02	7.422E+02	6.400E+00	7.200E-09	3.260E+00	3.024E-01	7.620E-01	7.440E-08	6.290E-08	2.900E-09	
119	71	41	1	0.000E+00	0.000E+00	4.100E-07	4.830E-07	7.421E+02	7.474E+02	5.300E+00	7.200E-09	3.252E+00	3.014E-01	7.620E-01	7.050E-08	6.250E-08	3.000E-09	
120	77	41	1	0.000E+00	0.000E+00	4.970E-07	4.510E-07	7.570E+02	7.588E+02	1.800E+00	7.000E-09	3.264E+00	3.004E-01	7.620E-01	8.180E-08	5.530E-08	2.800E-09	
121	83	41	1	0.000E+00	0.000E+00	4.210E-07	4.340E-07	7.601E+02	7.620E+02	1.900E+00	7.100E-09	3.275E+00	2.979E-01	7.630E-01	6.710E-08	5.230E-08	3.100E-09	
122	89	41	1	0.000E+00	0.000E+00	3.960E-07	4.520E-07	7.540E+02	7.570E+02	3.000E+00	6.900E-09	3.363E+00	2.985E-01	7.640E-01	6.850E-08	5.230E-08	2.800E-09	
123	47	43	1	0.000E+00	0.000E+00	5.550E-07	4.890E-07	7.295E+02	7.362E+02	6.700E+00	7.300E-09	3.295E+00	3.020E-01	7.620E-01	8.670E-08	6.200E-08	2.600E-09	
124	47	45	1	0.000E+00	0.000E+00	5.990E-07	8.440E-07	7.321E+02	7.393E+02	7.200E+00	7.200E-09	3.298E+00	3.021E-01	7.620E-01	9.430E-08	1.060E-07	2.600E-09	
125	11	47	1	0.000E+00	0.000E+00	4.270E-07	6.850E-07	7.696E+02	7.712E+02	1.600E+00	7.200E-09	3.424E+00	2.994E-01	7.620E-01	7.100E-08	8.300E-08	3.200E-09	
