Lot_ID,Wafer_ID,Seq,Bin,X,Y,CONT,IGSS0,IGSS1,IGSSR1,VTH,BVDSS1,BVDSS2,IDSS1,IDSS2,IGSS2,IGSSR2
FA54-5339-327A-250501@203,1,44,1.00,11,10,0,1.00e-08,2.00e-10,7.00e-10,3.21,131,131,8.00e-09,1.52e-08,4.90e-09,1.80e-09
FA54-5339-327A-250501@203,1,45,1.00,10,10,0,0,1.40e-09,2.80e-09,3.19,131,131,9.70e-09,1.55e-08,3.40e-09,3.40e-09
FA54-5339-327A-250501@203,1,46,1.00,9,10,0,0,1.10e-09,4.60e-09,3.23,130,131,8.80e-09,1.37e-08,4.70e-09,6.30e-09
FA54-5339-327A-250501@203,1,47,1.00,8,10,0,1.00e-08,2.80e-09,3.70e-09,3.20,130,131,8.10e-09,1.64e-08,1.70e-09,1.80e-09
FA54-5339-327A-250501@203,1,48,1.00,7,10,0,1.00e-08,5.00e-10,6.50e-09,3.19,131,131,7.90e-09,1.60e-08,1.00e-09,1.00e-10
FA54-5339-327A-250501@203,1,49,1.00,6,10,0.00,0,6.00e-10,2.70e-09,3.16,130,131,9.20e-09,1.60e-08,3.40e-09,2.30e-09
FA54-5339-327A-250501@203,1,50,1.00,5,11,0,0,1.30e-09,1.00e-09,3.13,130,130,7.80e-09,1.66e-08,3.80e-09,5.90e-09
FA54-5339-327A-250501@203,1,51,1.00,6,11,0,0,3.30e-09,1.60e-09,3.12,131,131,7.60e-09,1.54e-08,2.30e-09,1.60e-09
FA54-5339-327A-250501@203,1,52,1.00,7,11,0,2.00e-08,1.10e-09,5.00e-09,3.20,131,131,7.80e-09,1.51e-08,3.90e-09,3.00e-09
FA54-5339-327A-250501@203,1,53,1.00,8,11,0,0,2.00e-09,5.00e-10,3.22,130,131,6.70e-09,1.51e-08,5.00e-09,2.40e-09
FA54-5339-327A-250501@203,1,54,1.00,9,11,0,2.00e-08,3.00e-10,3.50e-09,3.26,131,131,8.00e-09,1.46e-08,5.60e-09,1.00e-09
FA54-5339-327A-250501@203,1,55,1.00,10,11,0,0,3.00e-10,2.80e-09,3.26,131,131,8.90e-09,1.49e-08,2.50e-09,4.50e-09
FA54-5339-327A-250501@203,1,56,1.00,11,11,0,1.00e-08,2.30e-09,4.60e-09,3.23,130,131,9.10e-09,1.38e-08,3.90e-09,1.40e-09
FA54-5339-327A-250501@203,1,57,1.00,12,11,0,0,1.50e-09,1.00e-09,3.27,130,131,7.60e-09,1.47e-08,7.50e-09,4.20e-09
FA54-5339-327A-250501@203,1,58,1.00,13,11,0,1.00e-08,1.60e-09,3.90e-09,3.32,131,131,9.50e-09,1.44e-08,4.30e-09,2.60e-09
FA54-5339-327A-250501@203,1,59,1.00,14,11,0,0,1.40e-09,2.60e-09,3.24,130,131,8.90e-09,1.64e-08,4.30e-09,2.50e-09
FA54-5339-327A-250501@203,1,60,1.00,15,11,0,1.00e-08,1.60e-09,1.70e-09,3.24,130,130,8.70e-09,1.60e-08,6.50e-09,3.40e-09
FA54-5339-327A-250501@203,1,61,1.00,16,11,0,0,1.30e-09,4.10e-09,3.25,130,130,9.20e-09,1.62e-08,4.80e-09,3.70e-09
FA54-5339-327A-250501@203,1,62,1.00,17,11,0,0,1.20e-09,2.10e-09,3.24,130,130,8.50e-09,1.61e-08,4.40e-09,5.00e-09
FA54-5339-327A-250501@203,1,63,1.00,17,12,0,0,2.60e-09,1.00e-09,3.24,130,130,8.40e-09,1.73e-08,1.90e-09,5.00e-10
FA54-5339-327A-250501@203,1,64,1.00,16,12,0,1.00e-08,1.50e-09,6.00e-09,3.22,130,130,8.50e-09,1.71e-08,1.10e-09,1.40e-09
FA54-5339-327A-250501@203,1,65,1.00,15,12,0,1.00e-08,1.30e-09,4.90e-09,3.18,130,130,9.80e-09,1.69e-08,5.80e-09,4.40e-09
FA54-5339-327A-250501@203,1,66,1.00,14,12,0,0,1.30e-09,6.00e-10,3.23,130,131,9.50e-09,1.51e-08,4.10e-09,5.50e-09
FA54-5339-327A-250501@203,1,67,1.00,13,12,0,0,2.70e-09,4.00e-10,3.35,130,130,9.20e-09,1.62e-08,0,3.30e-09
FA54-5339-327A-250501@203,1,68,1.00,12,12,0,1.00e-08,2.00e-09,3.00e-09,3.26,129,130,9.70e-09,1.65e-08,6.10e-09,2.50e-09
FA54-5339-327A-250501@203,1,69,1.00,11,12,0,0,6.00e-10,2.00e-10,3.27,130,130,9.20e-09,1.51e-08,2.40e-09,2.70e-09
FA54-5339-327A-250501@203,1,70,1.00,10,12,0,0,1.80e-09,1.20e-09,3.21,130,131,9.00e-09,1.59e-08,5.00e-10,5.00e-10
FA54-5339-327A-250501@203,1,71,1.00,9,12,0,0,7.00e-10,1.80e-09,3.22,131,131,8.70e-09,1.48e-08,6.50e-09,1.10e-09
FA54-5339-327A-250501@203,1,72,1.00,8,12,0,0,3.20e-09,3.40e-09,3.28,130,131,9.30e-09,1.41e-08,3.90e-09,5.50e-09
FA54-5339-327A-250501@203,1,73,1.00,7,12,0,0,3.70e-09,5.30e-09,3.16,131,131,8.20e-09,1.56e-08,1.40e-09,4.00e-09
FA54-5339-327A-250501@203,1,74,1.00,6,12,0,0,6.00e-10,2.90e-09,3.16,131,131,6.90e-09,1.57e-08,4.80e-09,4.00e-10
FA54-5339-327A-250501@203,1,75,1.00,5,12,0,1.00e-08,7.00e-10,1.50e-09,3.14,130,130,8.70e-09,1.66e-08,1.40e-09,8.00e-10
FA54-5339-327A-250501@203,1,76,1.00,5,13,0,1.00e-08,3.00e-10,2.40e-09,3.16,129,130,8.40e-09,1.76e-08,3.60e-09,6.40e-09
FA54-5339-327A-250501@203,1,77,1.00,6,13,0,1.00e-08,2.80e-09,1.40e-09,3.17,131,131,7.60e-09,1.55e-08,1.70e-09,2.50e-09
FA54-5339-327A-250501@203,1,78,1.00,7,13,0,0,1.50e-09,5.60e-09,3.17,131,131,8.40e-09,1.45e-08,4.60e-09,2.20e-09
FA54-5339-327A-250501@203,1,79,1.00,8,13,0.00,0,5.00e-10,4.30e-09,3.27,130,131,8.40e-09,1.54e-08,3.20e-09,5.40e-09
FA54-5339-327A-250501@203,1,80,1.00,9,13,0,0,2.00e-10,1.60e-09,3.25,131,131,8.00e-09,1.41e-08,3.60e-09,3.80e-09
FA54-5339-327A-250501@203,1,81,1.00,10,13,0,1.00e-08,1.80e-09,5.30e-09,3.19,130,131,1.00e-08,1.45e-08,4.50e-09,3.50e-09
FA54-5339-327A-250501@203,1,82,1.00,11,13,0,0,2.10e-09,2.70e-09,3.25,130,130,9.10e-09,1.69e-08,4.90e-09,2.10e-09
FA54-5339-327A-250501@203,1,83,1.00,12,13,0,0,3.10e-09,4.00e-10,3.27,130,130,8.20e-09,1.63e-08,8.10e-09,4.00e-09
FA54-5339-327A-250501@203,1,84,1.00,13,13,0,1.00e-08,2.10e-09,3.80e-09,3.33,130,130,9.00e-09,1.43e-08,4.70e-09,6.90e-09
FA54-5339-327A-250501@203,1,85,1.00,14,13,0,2.00e-08,4.20e-09,2.80e-09,3.17,130,131,8.20e-09,1.61e-08,2.10e-09,3.20e-09
FA54-5339-327A-250501@203,1,86,1.00,15,13,0,0,1.50e-09,4.00e-09,3.17,130,130,9.00e-09,1.77e-08,4.30e-09,2.30e-09
FA54-5339-327A-250501@203,1,87,1.00,16,13,0,1.00e-08,4.30e-09,1.00e-09,3.21,130,130,8.30e-09,1.67e-08,0,2.40e-09
FA54-5339-327A-250501@203,1,88,1.00,17,13,0,0,1.00e-10,4.30e-09,3.21,130,130,7.90e-09,1.67e-08,2.00e-10,0
FA54-5339-327A-250501@203,1,89,1.00,17,14,0,0,8.00e-10,1.30e-09,3.23,130,130,8.20e-09,1.75e-08,2.00e-10,1.50e-09
FA54-5339-327A-250501@203,1,90,1.00,16,14,0,1.00e-08,9.00e-10,2.60e-09,3.22,130,130,8.30e-09,1.70e-08,5.60e-09,2.50e-09
FA54-5339-327A-250501@203,1,91,1.00,15,14,0,1.00e-08,1.00e-09,4.00e-09,3.19,130,130,9.80e-09,1.76e-08,2.00e-09,1.30e-09
FA54-5339-327A-250501@203,1,92,1.00,14,14,0,1.00e-08,2.20e-09,5.40e-09,3.22,130,130,9.70e-09,1.54e-08,4.30e-09,2.60e-09
FA54-5339-327A-250501@203,1,93,1.00,13,14,0,0,2.30e-09,3.80e-09,3.35,130,131,8.70e-09,1.68e-08,3.70e-09,3.20e-09
FA54-5339-327A-250501@203,1,94,1.00,12,14,0,0,1.10e-09,6.80e-09,3.24,130,131,8.80e-09,1.55e-08,5.50e-09,1.00e-09
FA54-5339-327A-250501@203,1,95,1.00,11,14,0,1.00e-08,8.00e-10,2.80e-09,3.29,130,131,8.00e-09,1.68e-08,3.00e-09,9.00e-10
FA54-5339-327A-250501@203,1,96,1.00,10,14,0,0,4.00e-10,7.00e-10,3.23,131,131,7.70e-09,1.55e-08,4.10e-09,2.40e-09
FA54-5339-327A-250501@203,1,97,1.00,9,14,0,0,1.50e-09,3.00e-10,3.18,130,131,7.70e-09,1.47e-08,1.90e-09,4.20e-09
FA54-5339-327A-250501@203,1,98,1.00,8,14,0,0,6.00e-10,3.80e-09,3.29,130,130,7.50e-09,1.57e-08,2.40e-09,2.00e-10
FA54-5339-327A-250501@203,1,99,1.00,7,14,0,0,1.90e-09,2.00e-10,3.16,130,131,8.20e-09,1.43e-08,3.40e-09,3.40e-09
FA54-5339-327A-250501@203,1,100,1.00,6,14,0,0,2.40e-09,7.00e-10,3.19,130,131,8.00e-09,1.76e-08,9.00e-10,1.00e-09
FA54-5339-327A-250501@203,1,101,1.00,5,14,0,0,1.30e-09,7.00e-10,3.24,129,129,8.70e-09,1.76e-08,1.10e-09,2.60e-09
FA54-5339-327A-250501@203,1,102,1.00,6,15,0,0,7.00e-10,2.60e-09,3.24,130,130,7.80e-09,1.74e-08,2.30e-09,2.30e-09
FA54-5339-327A-250501@203,1,103,1.00,7,15,0,0,2.50e-09,4.50e-09,3.22,130,131,7.90e-09,1.49e-08,5.70e-09,9.00e-10
FA54-5339-327A-250501@203,1,104,1.00,8,15,0,0,5.00e-10,1.80e-09,3.22,130,130,8.10e-09,1.45e-08,6.00e-10,3.00e-09
FA54-5339-327A-250501@203,1,105,1.00,9,15,0,1.00e-08,2.20e-09,3.20e-09,3.24,130,130,8.20e-09,1.57e-08,3.50e-09,3.20e-09
FA54-5339-327A-250501@203,1,106,1.00,10,15,0,0,5.00e-10,4.60e-09,3.20,130,131,8.20e-09,1.54e-08,2.00e-10,2.00e-10
FA54-5339-327A-250501@203,1,107,1.00,11,15,0,1.00e-08,9.00e-10,1.90e-09,3.27,130,131,8.10e-09,1.56e-08,5.90e-09,1.70e-09
FA54-5339-327A-250501@203,1,108,1.00,12,15,0.00,1.00e-08,2.20e-09,2.50e-09,3.30,130,131,8.90e-09,1.64e-08,2.80e-09,4.80e-09
FA54-5339-327A-250501@203,1,109,1.00,13,15,0,0,5.00e-10,2.30e-09,3.26,130,130,7.60e-09,1.65e-08,3.20e-09,2.00e-10
FA54-5339-327A-250501@203,1,110,1.00,14,15,0,0,1.50e-09,4.00e-10,3.20,130,130,9.80e-09,1.60e-08,2.10e-09,3.60e-09
FA54-5339-327A-250501@203,1,111,1.00,15,15,0,1.00e-08,1.50e-09,9.00e-10,3.19,129,130,9.00e-09,1.78e-08,3.00e-10,3.00e-10
FA54-5339-327A-250501@203,1,112,1.00,16,15,0,0,5.00e-10,2.50e-09,3.22,130,130,1.00e-08,1.71e-08,3.60e-09,1.30e-09
FA54-5339-327A-250501@203,1,113,1.00,16,16,0,1.00e-08,1.70e-09,2.30e-09,3.19,129,130,8.80e-09,1.80e-08,6.60e-09,1.00e-10
FA54-5339-327A-250501@203,1,114,1.00,15,16,0,0,1.00e-10,1.20e-09,3.21,130,130,8.90e-09,1.81e-08,3.60e-09,2.80e-09
FA54-5339-327A-250501@203,1,115,1.00,14,16,0,0,2.00e-10,2.50e-09,3.18,130,130,9.30e-09,1.70e-08,1.80e-09,5.50e-09
FA54-5339-327A-250501@203,1,116,1.00,13,16,0,1.00e-08,1.20e-09,2.90e-09,3.21,130,130,8.90e-09,1.72e-08,2.00e-09,1.50e-09
FA54-5339-327A-250501@203,1,117,1.00,12,16,0,0,3.00e-10,2.00e-10,3.24,130,130,1.00e-08,1.64e-08,3.10e-09,1.30e-09
FA54-5339-327A-250501@203,1,118,1.00,11,16,0,1.00e-08,2.30e-09,1.40e-09,3.23,130,130,8.60e-09,1.80e-08,7.00e-10,7.00e-10
FA54-5339-327A-250501@203,1,119,1.00,10,16,0,0,6.00e-10,2.10e-09,3.16,130,130,9.10e-09,1.66e-08,2.10e-09,5.40e-09
FA54-5339-327A-250501@203,1,120,1.00,9,16,0,2.00e-08,2.60e-09,5.00e-10,3.21,130,130,7.60e-09,1.64e-08,1.20e-09,6.00e-10
FA54-5339-327A-250501@203,1,121,1.00,8,16,0,0,7.00e-10,1.00e-10,3.20,130,130,7.00e-09,1.53e-08,5.50e-09,1.80e-09
FA54-5339-327A-250501@203,1,122,1.00,7,16,0,0,1.80e-09,7.00e-10,3.21,130,130,8.50e-09,1.49e-08,4.60e-09,4.30e-09
FA54-5339-327A-250501@203,1,123,1.00,6,16,0,0,3.10e-09,1.30e-09,3.26,130,130,7.50e-09,1.64e-08,2.00e-09,3.40e-09
FA54-5339-327A-250501@203,1,124,1.00,7,17,0,0,8.00e-10,7.40e-09,3.21,130,130,8.30e-09,1.56e-08,3.80e-09,5.00e-10
FA54-5339-327A-250501@203,1,125,1.00,8,17,0.00,0,1.60e-09,9.00e-10,3.25,130,130,7.90e-09,1.56e-08,2.40e-09,2.60e-09
FA54-5339-327A-250501@203,1,126,1.00,9,17,0,1.00e-08,0,5.70e-09,3.17,130,131,7.20e-09,1.54e-08,3.00e-10,1.70e-09
FA54-5339-327A-250501@203,1,127,1.00,10,17,0,0,9.00e-10,5.70e-09,3.18,130,130,8.90e-09,1.62e-08,2.80e-09,7.00e-10
FA54-5339-327A-250501@203,1,128,1.00,11,17,0,0,2.70e-09,3.20e-09,3.20,130,130,8.70e-09,1.84e-08,4.00e-10,5.00e-10
FA54-5339-327A-250501@203,1,129,1.00,12,17,0,0,1.20e-09,3.60e-09,3.20,130,130,9.50e-09,1.77e-08,5.30e-09,3.60e-09
FA54-5339-327A-250501@203,1,130,1.00,13,17,0,0,3.80e-09,1.20e-09,3.26,130,130,9.50e-09,1.79e-08,2.60e-09,3.60e-09
FA54-5339-327A-250501@203,1,131,1.00,14,17,0,1.00e-08,1.40e-09,4.20e-09,3.21,130,130,9.30e-09,1.74e-08,0,5.00e-10
FA54-5339-327A-250501@203,1,132,1.00,15,17,0,0,7.00e-10,3.80e-09,3.18,129,130,9.40e-09,1.89e-08,1.60e-09,1.60e-09
FA54-5339-327A-250501@203,1,133,1.00,14,18,0,0,2.80e-09,1.00e-09,3.19,129,130,8.10e-09,1.81e-08,4.00e-09,2.60e-09
FA54-5339-327A-250501@203,1,134,1.00,13,18,0,0,1.40e-09,5.50e-09,3.22,129,130,9.50e-09,1.83e-08,5.70e-09,1.60e-09
FA54-5339-327A-250501@203,1,135,1.00,12,18,0,1.00e-08,1.00e-09,2.90e-09,3.21,130,130,1.04e-08,1.76e-08,1.80e-09,2.10e-09
FA54-5339-327A-250501@203,1,136,1.00,11,18,0,0,2.60e-09,3.00e-09,3.18,130,130,9.60e-09,1.56e-08,5.10e-09,5.00e-09
FA54-5339-327A-250501@203,1,137,1.00,10,18,0.00,0,4.20e-09,4.00e-10,3.15,130,130,8.60e-09,1.69e-08,2.40e-09,2.00e-09
FA54-5339-327A-250501@203,1,138,1.00,9,18,0,0,1.10e-09,2.30e-09,3.19,130,130,8.10e-09,1.51e-08,1.20e-09,4.50e-09
FA54-5339-327A-250501@203,1,139,1.00,8,18,0,1.00e-08,2.10e-09,6.00e-10,3.21,129,130,8.70e-09,1.78e-08,3.00e-09,3.20e-09
FA54-5339-327A-250501@203,1,140,1.00,10,19,0.00,0,3.10e-09,6.60e-09,3.10,129,130,9.90e-09,1.89e-08,4.40e-09,1.00e-09
FA54-5339-327A-250501@203,1,141,1.00,11,19,0,0,5.00e-10,3.10e-09,3.16,129,130,9.90e-09,1.99e-08,2.90e-09,4.30e-09
FA54-5339-327A-250501@203,1,142,1.00,12,19,0,1.00e-08,8.00e-10,2.30e-09,3.15,129,129,1.16e-08,2.25e-08,5.50e-09,5.40e-09
FA54-5339-327A-250501@203,2,1,1.00,11,5,0,0,0,4.00e-10,3.41,130,130,1.03e-08,1.99e-08,3.80e-09,0
FA54-5339-327A-250501@203,2,2,1.00,14,6,0,0,7.00e-10,8.00e-10,3.38,130,130,1.07e-08,2.00e-08,5.20e-09,4.70e-09
FA54-5339-327A-250501@203,2,3,1.00,13,6,0,0,6.00e-10,1.40e-09,3.31,130,130,1.02e-08,1.94e-08,6.10e-09,3.00e-09
FA54-5339-327A-250501@203,2,4,1.00,12,6,0,1.00e-08,3.00e-10,1.40e-09,3.36,130,130,1.09e-08,2.06e-08,2.50e-09,2.10e-09
FA54-5339-327A-250501@203,2,5,1.00,11,6,0,0,2.80e-09,9.00e-10,3.32,130,130,1.10e-08,1.99e-08,1.30e-09,3.30e-09
FA54-5339-327A-250501@203,2,6,1.00,10,6,0,0,1.00e-09,3.30e-09,3.32,130,130,1.15e-08,2.14e-08,4.60e-09,7.20e-09
FA54-5339-327A-250501@203,2,7,1.00,9,6,0,0,5.00e-10,4.20e-09,3.28,130,130,1.08e-08,2.18e-08,1.30e-09,1.00e-09
FA54-5339-327A-250501@203,2,8,1.00,7,7,0,1.00e-08,3.00e-10,1.30e-09,3.20,130,130,1.10e-08,1.80e-08,1.60e-09,3.90e-09
FA54-5339-327A-250501@203,2,9,1.00,8,7,0.00,1.00e-08,3.60e-09,9.00e-10,3.24,130,130,1.13e-08,2.14e-08,7.40e-09,2.50e-09
FA54-5339-327A-250501@203,2,10,1.00,9,7,0,0,2.10e-09,3.30e-09,3.24,130,130,1.20e-08,1.98e-08,2.80e-09,3.30e-09
FA54-5339-327A-250501@203,2,11,1.00,10,7,0,0,1.40e-09,3.00e-09,3.25,130,130,1.08e-08,2.12e-08,3.40e-09,1.00e-09
FA54-5339-327A-250501@203,2,12,1.00,11,7,0,0,1.10e-09,8.00e-10,3.35,130,130,9.20e-09,1.98e-08,2.90e-09,2.80e-09
FA54-5339-327A-250501@203,2,13,1.00,12,7,0,0,2.70e-09,2.10e-09,3.32,130,130,1.10e-08,1.96e-08,6.40e-09,3.00e-10
FA54-5339-327A-250501@203,2,14,1.00,13,7,0,0,2.30e-09,4.60e-09,3.46,130,130,1.11e-08,1.70e-08,2.90e-09,7.10e-09
FA54-5339-327A-250501@203,2,15,1.00,14,7,0,0,2.50e-09,0,3.33,130,130,1.09e-08,1.95e-08,2.50e-09,5.10e-09
FA54-5339-327A-250501@203,2,16,1.00,15,7,0,0,3.60e-09,1.00e-09,3.32,130,130,1.08e-08,1.92e-08,1.40e-09,2.10e-09
FA54-5339-327A-250501@203,2,17,1.00,16,8,0,0,1.10e-09,4.00e-09,3.32,130,130,1.14e-08,1.92e-08,5.60e-09,1.90e-09
FA54-5339-327A-250501@203,2,18,1.00,15,8,0,1.00e-08,3.20e-09,2.00e-10,3.31,130,130,1.07e-08,1.83e-08,3.00e-09,4.50e-09
FA54-5339-327A-250501@203,2,19,1.00,14,8,0.00,0,8.00e-10,1.20e-09,3.35,130,130,1.03e-08,1.84e-08,9.00e-10,1.00e-09
FA54-5339-327A-250501@203,2,20,1.00,13,8,0,1.00e-08,2.80e-09,1.70e-09,3.49,130,130,9.50e-09,1.84e-08,6.30e-09,5.10e-09
FA54-5339-327A-250501@203,2,21,1.00,12,8,0,2.00e-08,1.50e-09,3.00e-09,3.43,130,130,1.17e-08,1.86e-08,4.00e-09,2.60e-09
FA54-5339-327A-250501@203,2,22,1.00,11,8,0,0,2.60e-09,6.50e-09,3.39,130,130,1.19e-08,1.97e-08,3.30e-09,1.50e-09
FA54-5339-327A-250501@203,2,23,1.00,10,8,0,1.00e-08,7.00e-10,9.00e-10,3.37,130,130,1.20e-08,1.91e-08,3.60e-09,4.30e-09
FA54-5339-327A-250501@203,2,24,1.00,9,8,0,1.00e-08,1.70e-09,7.00e-10,3.26,130,130,1.08e-08,2.00e-08,3.20e-09,3.30e-09
FA54-5339-327A-250501@203,2,25,1.00,8,8,0,0,5.40e-09,2.20e-09,3.30,130,130,1.14e-08,2.11e-08,3.40e-09,4.30e-09
FA54-5339-327A-250501@203,2,26,1.00,7,8,0,0,2.40e-09,4.20e-09,3.21,130,130,1.14e-08,2.25e-08,0,1.70e-09
